Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,GRANULES, EQ, 23-Aug-2019,88.55,88.55,89.85,87.0,88.2,87.95,88.58,379713,336.36,3972,179342,47.23
2019-10-01,GRANULES, EQ, 01-Oct-2019,104.7,106.05,109.4,103.05,104.5,104.85,105.99,1410549,1494.99,8647,472743,33.51
2019-10-03,GRANULES, EQ, 03-Oct-2019,104.85,103.5,104.9,102.0,103.15,103.3,103.01,243660,250.99,3327,88567,36.35
2019-10-04,GRANULES, EQ, 04-Oct-2019,103.3,102.3,105.5,102.3,104.25,104.65,103.88,329825,342.63,10955,200872,60.9
2019-10-07,GRANULES, EQ, 07-Oct-2019,104.65,105.0,105.55,102.9,105.0,104.05,104.0,1094700,1138.5,4706,1001640,91.5
2019-10-09,GRANULES, EQ, 09-Oct-2019,104.05,104.0,105.1,101.4,101.65,101.8,102.6,308826,316.86,2210,200464,64.91
2019-10-10,GRANULES, EQ, 10-Oct-2019,101.8,101.5,103.0,99.05,102.5,102.75,101.02,294009,297.02,5311,159053,54.1
2019-10-11,GRANULES, EQ, 11-Oct-2019,102.75,102.6,102.6,100.5,100.75,101.1,101.33,220761,223.69,2928,120191,54.44
2019-10-14,GRANULES, EQ, 14-Oct-2019,101.1,101.25,103.2,100.15,100.2,100.35,101.34,447115,453.13,4591,169841,37.99
2019-10-15,GRANULES, EQ, 15-Oct-2019,100.35,100.9,100.95,96.15,96.75,96.8,98.38,317694,312.55,2884,197384,62.13
2019-10-16,GRANULES, EQ, 16-Oct-2019,96.8,96.8,98.5,96.8,96.85,97.25,97.54,218812,213.44,2512,105811,48.36
2019-10-17,GRANULES, EQ, 17-Oct-2019,97.25,97.25,98.3,95.0,98.1,97.8,96.75,348951,337.6,3124,176419,50.56
2019-10-18,GRANULES, EQ, 18-Oct-2019,97.8,97.8,102.4,97.3,102.0,101.5,100.46,416701,418.63,4804,245393,58.89
2019-10-22,GRANULES, EQ, 22-Oct-2019,101.5,102.9,119.85,102.55,114.0,114.3,114.3,8718050,9964.43,61858,2244300,25.74
2019-10-23,GRANULES, EQ, 23-Oct-2019,114.3,116.0,118.8,113.2,116.0,115.7,116.21,2383219,2769.43,19817,793614,33.3
2019-10-24,GRANULES, EQ, 24-Oct-2019,115.7,117.2,125.8,117.0,124.75,124.35,122.78,5807745,7130.76,46477,1637413,28.19
2019-10-25,GRANULES, EQ, 25-Oct-2019,124.35,125.05,129.25,122.1,123.85,124.2,125.58,2687410,3374.94,25014,783298,29.15
2019-10-27,GRANULES, EQ, 27-Oct-2019,124.2,124.75,126.9,124.2,126.0,125.7,125.43,365443,458.39,3111,226021,61.85
2019-10-29,GRANULES, EQ, 29-Oct-2019,125.7,126.0,131.85,126.0,129.0,129.1,129.38,2575039,3331.55,21451,961027,37.32
2019-10-30,GRANULES, EQ, 30-Oct-2019,129.1,129.0,133.75,126.5,129.0,129.25,131.13,1838460,2410.83,36094,698034,37.97
2019-10-31,GRANULES, EQ, 31-Oct-2019,129.25,129.25,130.5,124.25,125.0,125.25,127.79,954336,1219.55,10944,472053,49.46
2019-11-01,GRANULES, EQ, 01-Nov-2019,125.25,125.0,127.4,119.05,121.1,121.15,122.29,885497,1082.91,9019,481877,54.42
2019-11-04,GRANULES, EQ, 04-Nov-2019,121.15,121.0,125.9,121.0,122.8,123.4,123.74,1069250,1323.05,12200,440397,41.19
2019-11-05,GRANULES, EQ, 05-Nov-2019,123.4,123.4,123.75,118.8,119.9,119.65,120.53,762432,918.96,14619,420528,55.16
2019-11-06,GRANULES, EQ, 06-Nov-2019,119.65,123.0,123.0,118.0,118.4,118.9,119.99,874285,1049.01,5482,506035,57.88
2019-11-07,GRANULES, EQ, 07-Nov-2019,118.9,119.05,122.0,118.3,121.5,119.9,119.52,577518,690.24,4652,272095,47.11
2019-11-08,GRANULES, EQ, 08-Nov-2019,119.9,120.55,128.2,119.0,120.0,120.1,123.3,2750197,3391.07,19971,1012765,36.83
2019-11-11,GRANULES, EQ, 11-Nov-2019,120.1,120.1,123.3,120.0,120.15,121.1,121.62,1149196,1397.67,10760,504388,43.89
2019-11-13,GRANULES, EQ, 13-Nov-2019,121.1,120.3,121.95,117.0,119.0,119.15,119.88,819857,982.89,8559,402644,49.11
2019-11-14,GRANULES, EQ, 14-Nov-2019,119.15,119.8,125.0,118.1,125.0,124.0,122.05,1310083,1598.95,11377,607777,46.39
2019-11-15,GRANULES, EQ, 15-Nov-2019,124.0,124.85,126.2,122.5,123.3,123.5,124.3,1049656,1304.75,9660,507802,48.38
2019-11-18,GRANULES, EQ, 18-Nov-2019,123.5,123.0,129.35,123.0,128.25,128.25,127.22,1935072,2461.79,14495,727290,37.58
2019-11-19,GRANULES, EQ, 19-Nov-2019,128.25,128.6,129.7,126.6,128.6,128.55,128.39,1233934,1584.23,9501, 693475, 56.20
2019-11-20,GRANULES, EQ, 20-Nov-2019,128.55,129.0,133.9,128.7,129.0,129.15,131.16,2171620,2848.3,15637, 831516, 38.29
2019-11-21,GRANULES, EQ, 21-Nov-2019,129.15,129.2,132.3,128.6,130.9,130.7,130.78,1432125,1872.87,19944,708824,49.49
2019-11-22,GRANULES, EQ, 22-Nov-2019,130.7,131.0,131.8,129.1,130.7,130.85,130.52,1426134,1861.34,12670,561387,39.36
2019-11-25,GRANULES, EQ, 25-Nov-2019,130.85,131.0,133.75,130.0,130.8,131.3,132.02,1143128,1509.15,9665,517144,45.24
2019-11-26,GRANULES, EQ, 26-Nov-2019,131.3,131.0,131.8,125.5,126.0,125.85,128.17,1170410,1500.15,13496, 754577, 64.47
2019-11-27,GRANULES, EQ, 27-Nov-2019,125.85,127.5,129.9,126.35,129.3,127.9,127.57,1323394,1688.2,5814,948501,71.67
2019-11-28,GRANULES, EQ, 28-Nov-2019,127.9,135.0,135.9,128.2,130.0,129.35,131.79,3886838,5122.64,26280,1166760,30.02
2019-11-29,GRANULES, EQ, 29-Nov-2019,129.35,129.2,132.1,126.0,127.25,127.75,129.17,1777161,2295.48,13759,585267,32.93
2019-12-02,GRANULES, EQ, 02-Dec-2019,127.75,128.35,128.5,119.0,123.0,123.45,123.52,1856346,2293.0,14738, 1138567, 61.33
2019-12-03,GRANULES, EQ, 03-Dec-2019,123.45,123.85,128.45,123.1,127.65,127.65,126.3,914412,1154.88,9743,330007,36.09
2019-12-04,GRANULES, EQ, 04-Dec-2019,127.65,126.5,128.0,125.1,128.0,127.2,126.88,958398,1215.98,5505,690987,72.1
2019-12-05,GRANULES, EQ, 05-Dec-2019,127.2,127.6,128.2,125.85,126.9,127.15,126.97,1020225,1295.41,9526,723895,70.95
2019-12-06,GRANULES, EQ, 06-Dec-2019,127.15,127.0,130.0,120.55,121.75,121.5,123.26,2665285,3285.31,16227,1585262,59.48
2019-12-09,GRANULES, EQ, 09-Dec-2019,121.5,121.65,124.2,118.85,121.9,122.35,122.54,1067602,1308.29,8623,780789,73.13
2019-12-10,GRANULES, EQ, 10-Dec-2019,122.35,122.7,125.5,121.4,124.95,124.9,123.73,1670039,2066.39,9779,1250203,74.86
2019-12-11,GRANULES, EQ, 11-Dec-2019,124.9,124.6,126.0,122.8,124.35,125.0,124.32,904301,1124.27,4892,687371,76.01
2019-12-12,GRANULES, EQ, 12-Dec-2019,125.0,124.5,130.0,124.1,129.8,129.5,128.26,1741922,2234.18,14512,1106623,63.53
2019-12-13,GRANULES, EQ, 13-Dec-2019,129.5,129.9,133.0,128.55,130.75,131.0,131.53,1659177,2182.28,15342,1050370,63.31
2019-12-16,GRANULES, EQ, 16-Dec-2019,131.0,132.2,133.4,129.9,130.55,130.65,131.08,1326115,1738.24,9351,807543,60.9
2019-12-17,GRANULES, EQ, 17-Dec-2019,130.65,130.9,131.0,125.3,126.15,126.35,127.24,1027005,1306.79,6682,737954,71.85
2019-12-18,GRANULES, EQ, 18-Dec-2019,126.35,126.95,128.5,126.35,128.0,128.05,127.56,340697,434.6,5478,144203,42.33
2019-12-19,GRANULES, EQ, 19-Dec-2019,128.05,127.9,131.2,126.2,127.9,128.15,128.43,398659,512.01,5085,121671,30.52
