Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,GRASIM, EQ, 23-Aug-2019,688.55,691.4,740.0,680.05,720.0,719.45,715.51,3098860,22172.62,63341,636035,20.52,Cement
2019-10-01,GRASIM, EQ, 01-Oct-2019,730.1,736.8,736.8,690.0,693.5,693.15,702.82,3452533,24265.05,69983,1614686,46.77,Cement
2019-10-03,GRASIM, EQ, 03-Oct-2019,693.15,691.0,695.95,670.0,676.25,679.65,682.3,3048990,20803.3,102216,1114749,36.56,Cement
2019-10-04,GRASIM, EQ, 04-Oct-2019,679.65,677.35,681.75,650.05,651.05,654.4,664.01,3253162,21601.29,81480,872656,26.82,Cement
2019-10-07,GRASIM, EQ, 07-Oct-2019,654.4,654.4,654.4,633.6,646.05,649.0,645.56,2397704,15478.54,46021,513288,21.41,Cement
2019-10-09,GRASIM, EQ, 09-Oct-2019,649.0,650.0,677.9,642.9,675.0,670.4,663.3,2386332,15828.54,47830,346921,14.54,Cement
2019-10-10,GRASIM, EQ, 10-Oct-2019,670.4,680.0,726.85,680.0,695.0,696.6,698.22,7589225,52989.65,127899,2756557,36.32,Cement
2019-10-11,GRASIM, EQ, 11-Oct-2019,696.6,696.1,705.8,688.0,692.0,691.4,695.8,1699910,11828.03,30336,275062,16.18,Cement
2019-10-14,GRASIM, EQ, 14-Oct-2019,691.4,693.95,707.9,688.0,699.5,698.65,700.39,1646833,11534.26,26320,447685,27.18,Cement
2019-10-15,GRASIM, EQ, 15-Oct-2019,698.65,699.55,706.15,691.1,702.5,703.7,700.56,939647,6582.83,17777,191495,20.38,Cement
2019-10-16,GRASIM, EQ, 16-Oct-2019,703.7,708.1,734.45,708.1,728.15,730.85,727.34,2820075,20511.43,67468,614785,21.8,Cement
2019-10-17,GRASIM, EQ, 17-Oct-2019,730.85,728.15,730.85,712.0,725.5,724.55,720.3,1876216,13514.45,42257,278413,14.84,Cement
2019-10-18,GRASIM, EQ, 18-Oct-2019,724.55,725.5,749.0,718.3,746.0,746.5,736.31,2263929,16669.63,37393,617868,27.29,Cement
2019-10-22,GRASIM, EQ, 22-Oct-2019,746.5,745.95,772.0,742.45,755.0,756.05,761.49,2174300,16557.14,47547,419539,19.3,Cement
2019-10-23,GRASIM, EQ, 23-Oct-2019,756.05,755.0,755.0,735.3,741.0,743.15,744.99,1147367,8547.81,33369,272879,23.78,Cement
2019-10-24,GRASIM, EQ, 24-Oct-2019,743.15,743.0,743.0,663.45,697.7,705.6,700.58,7394585,51804.89,135760,1798346,24.32,Cement
2019-10-25,GRASIM, EQ, 25-Oct-2019,705.6,699.95,716.8,689.1,711.0,709.95,705.38,2914804,20560.49,48461,453999,15.58,Cement
2019-10-27,GRASIM, EQ, 27-Oct-2019,709.95,711.5,715.75,694.0,703.1,703.0,700.77,588272,4122.44,12247,91399,15.54,Cement
2019-10-29,GRASIM, EQ, 29-Oct-2019,703.0,699.05,720.9,687.9,717.1,714.75,709.16,2908854,20628.3,57960,662176,22.76,Cement
2019-10-30,GRASIM, EQ, 30-Oct-2019,714.75,725.45,741.3,714.7,740.1,734.95,728.3,2260375,16462.22,44489,386543,17.1,Cement
2019-10-31,GRASIM, EQ, 31-Oct-2019,734.95,740.1,774.9,735.85,770.0,768.75,758.31,3856582,29244.74,63277,787408,20.42,Cement
2019-11-01,GRASIM, EQ, 01-Nov-2019,768.75,768.7,798.0,763.6,778.4,775.7,780.53,4557725,35574.28,75050,893427,19.6,Cement
2019-11-04,GRASIM, EQ, 04-Nov-2019,775.7,784.45,795.9,780.0,784.5,783.8,787.13,2504708,19715.41,46079,666631,26.62,Cement
2019-11-05,GRASIM, EQ, 05-Nov-2019,783.8,785.0,795.0,759.55,769.0,768.6,774.16,2742795,21233.64,55055,494809,18.04,Cement
2019-11-06,GRASIM, EQ, 06-Nov-2019,768.6,770.0,782.6,761.0,772.8,773.25,772.76,1903692,14711.02,31433,547638,28.77,Cement
2019-11-07,GRASIM, EQ, 07-Nov-2019,773.25,778.0,782.0,771.4,777.9,777.85,776.77,1133781,8806.87,21973,327530,28.89,Cement
2019-11-08,GRASIM, EQ, 08-Nov-2019,777.85,775.4,785.9,770.0,773.75,774.0,777.09,1346108,10460.42,27389,209312,15.55,Cement
2019-11-11,GRASIM, EQ, 11-Nov-2019,774.0,770.0,771.75,755.25,762.9,767.1,763.75,1627591,12430.73,29004,267525,16.44,Cement
2019-11-13,GRASIM, EQ, 13-Nov-2019,767.1,760.0,768.85,736.25,739.0,739.55,751.55,2160990,16240.86,38408,490139,22.68,Cement
2019-11-14,GRASIM, EQ, 14-Nov-2019,739.55,713.1,756.85,712.0,738.0,733.95,735.41,4263295,31352.79,78756,649948,15.25,Cement
2019-11-15,GRASIM, EQ, 15-Nov-2019,733.95,735.0,768.0,724.8,756.35,755.15,750.95,4573144,34341.9,75012,920231,20.12,Cement
2019-11-18,GRASIM, EQ, 18-Nov-2019,755.15,750.0,785.9,750.0,768.0,769.5,774.25,4178751,32353.85,71727,536207,12.83,Cement
2019-11-19,GRASIM, EQ, 19-Nov-2019,769.5,775.0,793.5,772.0,789.0,786.15,780.58,3857258,30108.92,54290,893022,23.15,Cement
2019-11-20,GRASIM, EQ, 20-Nov-2019,786.15,791.0,801.0,781.0,788.05,789.65,789.25,3157623,24921.48,49980,1030560,32.64,Cement
2019-11-21,GRASIM, EQ, 21-Nov-2019,789.65,795.3,797.0,775.3,777.4,778.95,782.31,1794807,14040.97,29872,337543,18.81,Cement
2019-11-22,GRASIM, EQ, 22-Nov-2019,778.95,778.4,796.9,770.25,792.1,793.2,785.04,1457907,11445.09,26608,238108,16.33,Cement
2019-11-25,GRASIM, EQ, 25-Nov-2019,793.2,794.0,824.9,792.2,822.45,822.9,811.74,3719171,30190.01,59032,544345,14.64,Cement
2019-11-26,GRASIM, EQ, 26-Nov-2019,822.9,822.9,825.25,784.05,787.0,791.05,799.57,3919231,31336.86,72247,1295780,33.06,Cement
2019-11-27,GRASIM, EQ, 27-Nov-2019,791.05,787.0,802.8,785.0,787.65,788.1,794.07,1863654,14798.74,32590,286416,15.37,Cement
2019-11-28,GRASIM, EQ, 28-Nov-2019,788.1,791.9,802.7,783.05,800.45,800.15,794.41,2148249,17065.98,38254,518335,24.13,Cement
2019-11-29,GRASIM, EQ, 29-Nov-2019,800.15,796.0,809.0,784.45,786.2,787.05,795.11,2199611,17489.22,39262,396114,18.01,Cement
2019-12-02,GRASIM, EQ, 02-Dec-2019,787.05,810.0,822.0,802.25,805.0,807.25,811.89,5088611,41314.14,80524,748355,14.71,Cement
2019-12-03,GRASIM, EQ, 03-Dec-2019,807.25,805.0,805.0,779.05,781.05,782.3,788.12,2450605,19313.75,44583,607025,24.77,Cement
2019-12-04,GRASIM, EQ, 04-Dec-2019,782.3,781.05,790.65,775.55,783.65,785.4,783.39,1612350,12630.92,41695,330472,20.5,Cement
2019-12-05,GRASIM, EQ, 05-Dec-2019,785.4,780.0,789.85,766.9,770.9,769.3,778.27,1750196,13621.24,26944,335727,19.18,Cement
2019-12-06,GRASIM, EQ, 06-Dec-2019,769.3,775.0,779.65,764.1,766.1,768.0,771.85,1707058,13175.95,31792,171504,10.05,Cement
2019-12-09,GRASIM, EQ, 09-Dec-2019,768.0,771.0,774.0,762.35,765.9,766.3,767.92,1209386,9287.13,30651,323432,26.74,Cement
2019-12-10,GRASIM, EQ, 10-Dec-2019,766.3,766.0,782.0,764.7,770.6,770.2,775.47,2100125,16285.74,40592,228720,10.89,Cement
2019-12-11,GRASIM, EQ, 11-Dec-2019,770.2,770.2,774.6,759.5,768.2,767.4,765.49,1340370,10260.43,35768,251689,18.78,Cement
2019-12-12,GRASIM, EQ, 12-Dec-2019,767.4,772.1,779.0,769.55,776.0,774.2,774.46,993437,7693.76,23802,280576,28.24,Cement
2019-12-13,GRASIM, EQ, 13-Dec-2019,774.2,776.05,787.6,774.75,782.2,782.3,782.17,1454897,11379.75,29204,377878,25.97,Cement
2019-12-16,GRASIM, EQ, 16-Dec-2019,782.3,780.0,783.2,761.4,763.75,763.1,768.51,1543113,11858.95,44053,352084,22.82,Cement
2019-12-17,GRASIM, EQ, 17-Dec-2019,763.1,765.8,772.95,756.85,769.4,768.8,767.02,1825062,13998.54,34264,485100,26.58,Cement
2019-12-18,GRASIM, EQ, 18-Dec-2019,768.8,773.6,776.4,751.5,754.5,754.2,759.61,1674043,12716.13,36207,461945,27.59,Cement
2019-12-19,GRASIM, EQ, 19-Dec-2019,754.2,754.9,760.6,736.55,741.8,742.95,743.91,3571680,26569.96,52139,931304,26.07,Cement
2019-12-20,GRASIM, EQ, 20-Dec-2019,742.95,743.5,748.05,740.95,744.0,745.6,745.44,1606946,11978.75,33439,625965,38.95,Cement
2019-12-23,GRASIM, EQ, 23-Dec-2019,745.6,744.0,753.0,735.0,743.0,742.35,742.72,2488969,18486.1,38324,868926,34.91,Cement
2019-12-24,GRASIM, EQ, 24-Dec-2019,742.35,746.0,749.0,737.15,738.5,738.5,741.4,1481308,10982.36,27221,401512,27.11,Cement
2019-12-26,GRASIM, EQ, 26-Dec-2019,738.5,739.6,745.8,734.0,734.0,736.75,740.35,1298363,9612.48,21771,381807,29.41,Cement
2019-12-27,GRASIM, EQ, 27-Dec-2019,736.75,737.5,744.0,735.6,739.3,739.75,739.88,1054753,7803.92,20514,391343,37.1,Cement
2019-12-30,GRASIM, EQ, 30-Dec-2019,739.75,742.0,745.9,732.8,736.35,736.75,737.61,1307872,9647.03,20058,399678,30.56,Cement
2019-12-31,GRASIM, EQ, 31-Dec-2019,736.75,737.0,746.1,732.9,745.0,743.65,740.29,1683709,12464.37,30417,613492,36.44,Cement
2020-01-01,GRASIM, EQ, 01-Jan-2020,743.65,746.8,747.4,738.6,742.7,742.5,742.83,685313,5090.74,11402,47464,6.93,Cement
2020-01-02,GRASIM, EQ, 02-Jan-2020,742.5,742.0,768.5,741.0,765.3,766.35,759.06,2413731,18321.55,35565,415238,17.2,Cement
2020-01-03,GRASIM, EQ, 03-Jan-2020,766.35,769.95,769.95,751.5,756.45,756.65,759.61,1411458,10721.52,24417,283619,20.09,Cement
2020-01-06,GRASIM, EQ, 06-Jan-2020,756.65,755.4,755.8,735.0,735.0,737.0,741.97,957541,7104.66,18763,200062,20.89,Cement
2020-01-07,GRASIM, EQ, 07-Jan-2020,737.0,738.2,756.0,735.5,742.3,742.3,743.67,1104012,8210.25,19977,150669,13.65,Cement
2020-01-08,GRASIM, EQ, 08-Jan-2020,742.3,735.4,749.9,733.6,742.7,742.65,743.64,1312487,9760.18,20705,198427,15.12,Cement
2020-01-09,GRASIM, EQ, 09-Jan-2020,742.65,752.95,761.3,750.05,755.2,757.3,756.4,1471931,11133.76,27280,541953,36.82,Cement
2020-01-10,GRASIM, EQ, 10-Jan-2020,757.3,756.8,766.5,751.0,755.4,756.25,758.37,1261460,9566.53,22582,320599,25.41,Cement
2020-01-13,GRASIM, EQ, 13-Jan-2020,756.25,757.0,765.0,757.0,761.4,759.6,761.58,832679,6341.52,13743,165586,19.89,Cement
2020-01-14,GRASIM, EQ, 14-Jan-2020,759.6,762.8,767.9,753.1,759.9,759.9,760.6,1186220,9022.35,24735,287194,24.21,Cement
2020-01-15,GRASIM, EQ, 15-Jan-2020,759.9,758.0,769.0,747.5,767.9,766.4,756.72,1516061,11472.34,22328,487311,32.14,Cement
2020-01-16,GRASIM, EQ, 16-Jan-2020,766.4,767.35,771.0,753.1,755.9,756.05,760.86,1037376,7892.99,20850,245865,23.7,Cement
2020-01-17,GRASIM, EQ, 17-Jan-2020,756.05,715.0,772.0,711.0,767.9,768.25,757.21,4918914,37246.49,77808,875366,17.8,Cement
2020-01-20,GRASIM, EQ, 20-Jan-2020,768.25,767.6,777.5,762.45,772.4,772.8,771.14,1575278,12147.53,27949,263802,16.75,Cement
2020-01-21,GRASIM, EQ, 21-Jan-2020,772.8,779.0,781.1,763.45,770.0,771.65,770.36,1661273,12797.71,26036,419972,25.28,Cement
2020-01-22,GRASIM, EQ, 22-Jan-2020,771.65,770.85,799.0,767.1,792.0,792.9,787.36,3081732,24264.3,48288,570777,18.52,Cement
2020-01-23,GRASIM, EQ, 23-Jan-2020,792.9,785.0,811.95,783.0,809.6,808.9,802.94,2587185,20773.44,42901,447300,17.29,Cement
2020-01-24,GRASIM, EQ, 24-Jan-2020,808.9,808.0,824.4,795.95,821.55,822.0,816.24,1925862,15719.67,33434,326181,16.94,Cement
2020-01-27,GRASIM, EQ, 27-Jan-2020,822.0,815.0,836.9,810.0,811.35,813.1,824.3,2808890,23153.79,46281,619977,22.07,Cement
2020-01-28,GRASIM, EQ, 28-Jan-2020,813.1,817.5,823.85,797.25,810.0,808.9,813.6,1783600,14511.3,39452,429487,24.08,Cement
2020-01-29,GRASIM, EQ, 29-Jan-2020,808.9,814.0,822.85,800.0,804.2,802.3,814.83,1833108,14936.7,30512,654094,35.68,Cement
2020-01-30,GRASIM, EQ, 30-Jan-2020,802.3,809.0,809.0,787.25,791.0,791.25,794.77,1325227,10532.46,25394,408912,30.86,Cement
2020-01-31,GRASIM, EQ, 31-Jan-2020,791.25,793.1,797.95,775.55,777.5,778.9,783.81,1299292,10184.04,24847,359229,27.65,Cement
2020-02-01,GRASIM, EQ, 01-Feb-2020,778.9,775.0,789.75,754.55,761.2,759.4,770.45,1136808,8758.52,18436,359143,31.59,Cement
2020-02-03,GRASIM, EQ, 03-Feb-2020,759.4,759.0,783.0,750.25,777.0,780.4,768.16,1534961,11790.94,45570,500173,32.59,Cement
2020-02-04,GRASIM, EQ, 04-Feb-2020,780.4,780.05,796.35,780.05,792.8,793.7,790.2,1071567,8467.52,20505,126966,11.85,Cement
2020-02-05,GRASIM, EQ, 05-Feb-2020,793.7,793.7,802.1,788.05,798.45,799.9,795.11,1058399,8415.39,29763,325804,30.78,Cement
2020-02-06,GRASIM, EQ, 06-Feb-2020,799.9,802.4,806.65,793.3,799.5,801.0,800.9,1217580,9751.58,31723,339473,27.88,Cement
2020-02-07,GRASIM, EQ, 07-Feb-2020,801.0,801.0,803.6,785.55,786.5,787.65,793.05,1082529,8584.99,17016,283669,26.2,Cement
2020-02-10,GRASIM, EQ, 10-Feb-2020,787.65,787.0,789.7,752.0,753.85,757.55,766.09,4243828,32511.36,65425,1020588,24.05,Cement
2020-02-11,GRASIM, EQ, 11-Feb-2020,757.55,760.0,769.0,754.1,758.8,759.3,760.05,3381311,25699.54,84051,1461027,43.21,Cement
2020-02-12,GRASIM, EQ, 12-Feb-2020,759.3,762.1,774.45,754.5,755.4,755.35,763.38,1845607,14089.0,31588,540885,29.31,Cement
2020-02-13,GRASIM, EQ, 13-Feb-2020,755.35,755.35,764.95,745.3,754.5,752.25,755.03,1877016,14171.98,27887,646259,34.43,Cement
2020-02-14,GRASIM, EQ, 14-Feb-2020,752.25,754.5,770.85,737.1,741.05,743.05,753.99,3399473,25631.59,54660,511041,15.03,Cement
2020-02-17,GRASIM, EQ, 17-Feb-2020,743.05,743.0,750.0,733.5,737.3,737.4,740.78,1516432,11233.36,26980,416833,27.49,Cement
2020-02-18,GRASIM, EQ, 18-Feb-2020,737.4,737.35,741.2,715.55,723.55,723.9,723.96,1750918,12675.91,28809,480559,27.45,Cement
2020-02-19,GRASIM, EQ, 19-Feb-2020,723.9,730.0,759.75,726.3,755.8,757.15,746.77,2067868,15442.28,40522,304053,14.7,Cement
