Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,GUJGASLTD, EQ, 23-Aug-2019,179.15,179.1,179.75,173.25,176.45,175.9,176.72,206647,365.19,8381,81073,39.23,Others
2019-10-01,GUJGASLTD, EQ, 01-Oct-2019,177.3,176.55,178.0,169.35,171.5,171.65,174.55,972791,1697.98,4834,895247,92.03,Others
2019-10-03,GUJGASLTD, EQ, 03-Oct-2019,171.65,171.65,171.8,167.6,169.0,169.2,170.01,148136,251.85,6223,105873,71.47,Others
2019-10-04,GUJGASLTD, EQ, 04-Oct-2019,169.2,170.85,177.5,169.0,174.85,174.9,171.64,1677558,2879.41,13325,1568027,93.47,Others
2019-10-07,GUJGASLTD, EQ, 07-Oct-2019,174.9,176.1,179.65,172.5,173.5,173.9,175.38,278182,487.86,6651,147569,53.05,Others
2019-10-09,GUJGASLTD, EQ, 09-Oct-2019,173.9,178.0,178.0,173.9,174.75,175.0,175.17,504974,884.57,11584,382530,75.75,Others
2019-10-10,GUJGASLTD, EQ, 10-Oct-2019,175.0,176.9,176.9,168.5,169.05,169.85,173.04,1654578,2863.15,23931,952753,57.58,Others
2019-10-11,GUJGASLTD, EQ, 11-Oct-2019,169.85,170.4,172.75,169.3,171.2,171.2,171.08,545774,933.7,5803,388485,71.18,Others
2019-10-14,GUJGASLTD, EQ, 14-Oct-2019,171.2,173.3,175.5,171.85,173.9,174.05,173.61,861074,1494.94,16063,595412,69.15,Others
2019-10-15,GUJGASLTD, EQ, 15-Oct-2019,174.05,175.0,175.45,172.8,175.2,175.1,174.79,286829,501.36,5178,220168,76.76,Others
2019-10-16,GUJGASLTD, EQ, 16-Oct-2019,175.1,176.0,176.0,173.5,176.0,174.85,174.96,494061,864.39,18927,415089,84.02,Others
2019-10-17,GUJGASLTD, EQ, 17-Oct-2019,174.85,176.0,180.65,175.3,175.8,176.55,178.04,634708,1130.02,19346,423857,66.78,Others
2019-10-18,GUJGASLTD, EQ, 18-Oct-2019,176.55,177.6,178.6,175.15,177.7,177.85,177.13,593140,1050.64,15598,420065,70.82,Others
2019-10-22,GUJGASLTD, EQ, 22-Oct-2019,177.85,178.95,182.25,177.0,181.5,181.7,180.09,361998,651.93,6511,229347,63.36,Others
2019-10-23,GUJGASLTD, EQ, 23-Oct-2019,181.7,182.2,183.75,178.4,178.5,178.95,180.57,296444,535.28,4693,203171,68.54,Others
2019-10-24,GUJGASLTD, EQ, 24-Oct-2019,178.95,179.45,181.15,176.55,179.1,179.45,179.01,193344,346.11,5737,100633,52.05,Others
2019-10-25,GUJGASLTD, EQ, 25-Oct-2019,179.45,180.0,181.4,176.45,177.5,178.0,179.58,228100,409.62,5847,149093,65.36,Others
2019-10-27,GUJGASLTD, EQ, 27-Oct-2019,178.0,180.0,186.9,180.0,184.75,184.7,184.52,186465,344.06,3189,105003,56.31,Others
2019-10-29,GUJGASLTD, EQ, 29-Oct-2019,184.7,186.8,188.0,185.15,186.25,186.1,186.31,235914,439.52,4898,122666,52.0,Others
2019-10-30,GUJGASLTD, EQ, 30-Oct-2019,186.1,186.95,202.5,186.55,195.8,195.7,196.4,1197477,2351.83,22251,390828,32.64,Others
2019-10-31,GUJGASLTD, EQ, 31-Oct-2019,195.7,198.5,207.0,192.75,196.2,196.15,197.66,1360584,2689.35,22142,590972,43.44,Others
2019-11-01,GUJGASLTD, EQ, 01-Nov-2019,196.15,197.75,199.2,194.05,197.0,196.35,195.88,667315,1307.12,9489,487295,73.02,Others
2019-11-04,GUJGASLTD, EQ, 04-Nov-2019,196.35,198.65,207.95,197.0,207.7,205.4,203.29,1132433,2302.17,17105,520410,45.96,Others
2019-11-05,GUJGASLTD, EQ, 05-Nov-2019,205.4,209.0,213.0,203.05,205.0,205.15,207.24,1844098,3821.75,36880,1110645,60.23,Others
2019-11-06,GUJGASLTD, EQ, 06-Nov-2019,205.15,210.0,215.0,194.1,195.6,195.75,201.94,4090492,8260.14,58330,2143002,52.39,Others
2019-11-07,GUJGASLTD, EQ, 07-Nov-2019,195.75,196.05,198.0,192.8,193.5,194.15,194.95,738762,1440.25,23704,400218,54.17,Others
2019-11-08,GUJGASLTD, EQ, 08-Nov-2019,194.15,193.15,201.8,190.0,196.0,196.35,195.79,1472105,2882.24,29969,825311,56.06,Others
2019-11-11,GUJGASLTD, EQ, 11-Nov-2019,196.35,195.0,200.8,194.85,198.4,199.0,198.62,415011,824.29,7807,241618,58.22,Others
2019-11-13,GUJGASLTD, EQ, 13-Nov-2019,199.0,199.0,204.6,197.1,198.05,198.6,201.11,812531,1634.1,17288,311817,38.38,Others
2019-11-14,GUJGASLTD, EQ, 14-Nov-2019,198.6,199.5,200.35,196.1,197.25,196.7,197.9,244152,483.17,5078,123827,50.72,Others
2019-11-15,GUJGASLTD, EQ, 15-Nov-2019,196.7,197.9,198.0,193.2,193.65,193.85,194.86,281857,549.24,7189,192894,68.44,Others
2019-11-18,GUJGASLTD, EQ, 18-Nov-2019,193.85,194.75,195.75,193.0,193.5,193.65,194.49,328976,639.82,5765,203709,61.92,Others
2019-11-19,GUJGASLTD, EQ, 19-Nov-2019,193.65,194.5,197.15,193.0,194.0,194.4,195.08,358622,699.6,12251,213517,59.54,Others
2019-11-20,GUJGASLTD, EQ, 20-Nov-2019,194.4,194.75,194.8,192.5,193.5,193.75,193.66,170211,329.62,3199,105261,61.84,Others
2019-11-21,GUJGASLTD, EQ, 21-Nov-2019,193.75,193.8,197.9,193.05,193.25,193.9,195.4,447972,875.36,13350,244834,54.65,Others
2019-11-22,GUJGASLTD, EQ, 22-Nov-2019,193.9,194.5,197.8,193.6,194.95,194.6,195.88,293035,574.0,9840,168211,57.4,Others
2019-11-25,GUJGASLTD, EQ, 25-Nov-2019,194.6,195.0,195.25,189.0,190.25,191.15,191.37,586819,1122.99,11507,416652,71.0,Others
2019-11-26,GUJGASLTD, EQ, 26-Nov-2019,191.15,196.0,210.0,195.25,205.55,206.5,203.11,3026728,6147.63,45173,978884,32.34,Others
2019-11-27,GUJGASLTD, EQ, 27-Nov-2019,206.5,207.0,208.0,201.55,203.85,203.7,204.49,633367,1295.19,16207,287423,45.38,Others
2019-11-28,GUJGASLTD, EQ, 28-Nov-2019,203.7,204.0,208.0,204.0,204.25,204.8,205.97,439028,904.25,7277,173502,39.52,Others
2019-11-29,GUJGASLTD, EQ, 29-Nov-2019,204.8,205.4,214.3,203.25,212.3,212.6,211.26,1705655,3603.32,19021,798906,46.84,Others
2019-12-02,GUJGASLTD, EQ, 02-Dec-2019,212.6,213.2,220.9,212.0,216.1,216.7,217.36,1882636,4092.13,29669,928487,49.32,Others
2019-12-03,GUJGASLTD, EQ, 03-Dec-2019,216.7,217.2,217.75,210.0,213.8,213.65,212.38,918651,1951.03,13170,485203,52.82,Others
2019-12-04,GUJGASLTD, EQ, 04-Dec-2019,213.65,214.0,219.85,213.65,216.95,216.8,216.69,903566,1957.93,20615,356854,39.49,Others
2019-12-05,GUJGASLTD, EQ, 05-Dec-2019,216.8,218.0,227.85,218.0,223.3,223.3,223.82,1872866,4191.8,29551,789749,42.17,Others
2019-12-06,GUJGASLTD, EQ, 06-Dec-2019,223.3,223.85,228.25,220.25,227.5,227.25,224.58,1005006,2257.04,17760,566339,56.35,Others
2019-12-09,GUJGASLTD, EQ, 09-Dec-2019,227.25,228.5,231.7,227.5,230.3,230.3,229.35,1967870,4513.21,20179,1362200,69.22,Others
2019-12-10,GUJGASLTD, EQ, 10-Dec-2019,230.3,228.95,230.75,223.15,228.0,226.05,227.61,1222930,2783.52,15272,952620,77.9,Others
2019-12-11,GUJGASLTD, EQ, 11-Dec-2019,226.05,228.0,231.45,216.3,222.15,222.05,224.9,725791,1632.3,12494,371957,51.25,Others
