Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HAL, EQ, 23-Aug-2019,650.0,636.0,650.0,634.0,643.5,645.85,642.58,7662,49.23,734,5864,76.53
2019-10-01,HAL, EQ, 01-Oct-2019,706.3,717.9,718.0,688.0,700.1,694.7,699.57,16077,112.47,1370,11336,70.51
2019-10-03,HAL, EQ, 03-Oct-2019,694.7,693.0,709.6,686.0,699.0,703.75,694.67,7157,49.72,1008,3543,49.5
2019-10-04,HAL, EQ, 04-Oct-2019,703.75,703.0,709.75,661.5,694.5,695.65,697.44,7394,51.57,944,4173,56.44
2019-10-07,HAL, EQ, 07-Oct-2019,695.65,700.0,703.75,689.0,692.35,691.25,695.88,8819,61.37,2106,5426,61.53
2019-10-09,HAL, EQ, 09-Oct-2019,691.25,703.0,708.0,696.5,700.0,700.15,701.59,12274,86.11,1479,6868,55.96
2019-10-10,HAL, EQ, 10-Oct-2019,700.15,700.15,701.9,687.7,700.0,700.05,694.97,6316,43.89,653,4458,70.58
2019-10-11,HAL, EQ, 11-Oct-2019,700.05,693.0,727.65,693.0,721.8,720.15,719.78,21536,155.01,2524,10208,47.4
2019-10-14,HAL, EQ, 14-Oct-2019,720.15,716.0,720.0,701.5,715.4,714.95,710.42,19164,136.14,2507,7497,39.12
2019-10-15,HAL, EQ, 15-Oct-2019,714.95,710.0,728.55,701.95,722.0,723.05,714.14,15709,112.18,2442,7799,49.65
2019-10-16,HAL, EQ, 16-Oct-2019,723.05,714.8,719.0,701.65,707.0,707.25,711.92,6393,45.51,871,2625,41.06
2019-10-17,HAL, EQ, 17-Oct-2019,707.25,714.0,717.3,707.5,708.0,709.85,712.78,3555,25.34,614,2015,56.68
2019-10-18,HAL, EQ, 18-Oct-2019,709.85,715.1,717.0,706.55,710.0,709.55,712.43,8568,61.04,970,5067,59.14
2019-10-22,HAL, EQ, 22-Oct-2019,709.55,706.7,721.0,706.7,713.0,713.3,714.06,11700,83.54,1228,8636,73.81
2019-10-23,HAL, EQ, 23-Oct-2019,713.3,721.0,725.0,711.2,716.85,715.35,717.44,10040,72.03,1369,4964,49.44
2019-10-24,HAL, EQ, 24-Oct-2019,715.35,718.4,722.05,714.5,715.7,718.15,716.88,5235,37.53,702,3471,66.3
2019-10-25,HAL, EQ, 25-Oct-2019,718.15,715.05,741.0,714.0,739.25,737.55,732.32,21270,155.76,3302,10537,49.54
