Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HAVELLS, EQ, 23-Aug-2019,657.2,658.0,659.4,629.0,648.45,647.2,645.59,1669934,10780.95,46912,193568,11.59
2019-10-01,HAVELLS, EQ, 01-Oct-2019,718.3,722.8,731.8,702.35,709.1,709.55,717.66,1603395,11506.98,52122,467042,29.13
2019-10-03,HAVELLS, EQ, 03-Oct-2019,709.55,708.95,711.0,697.05,699.95,702.0,703.62,965453,6793.16,48573,309376,32.04
2019-10-04,HAVELLS, EQ, 04-Oct-2019,702.0,702.0,708.9,675.35,680.05,679.2,692.89,854195,5918.65,25398,245563,28.75
2019-10-07,HAVELLS, EQ, 07-Oct-2019,679.2,682.2,682.6,660.0,661.3,662.75,667.07,1111458,7414.23,47809,429266,38.62
2019-10-09,HAVELLS, EQ, 09-Oct-2019,662.75,662.75,676.0,655.65,671.75,671.45,665.42,785908,5229.56,29097,188611,24.0
2019-10-10,HAVELLS, EQ, 10-Oct-2019,671.45,669.8,669.8,652.05,660.1,662.65,658.74,1133005,7463.59,31125,380588,33.59
2019-10-11,HAVELLS, EQ, 11-Oct-2019,662.65,662.65,667.15,654.3,659.75,660.7,660.74,884947,5847.2,31555,263726,29.8
2019-10-14,HAVELLS, EQ, 14-Oct-2019,660.7,661.95,664.4,650.55,654.0,653.9,655.21,1102177,7221.59,45726,445462,40.42
2019-10-15,HAVELLS, EQ, 15-Oct-2019,653.9,655.2,675.4,655.2,669.15,666.9,668.56,1402183,9374.37,29244,259720,18.52
2019-10-16,HAVELLS, EQ, 16-Oct-2019,666.9,670.0,674.0,665.2,673.0,671.65,669.74,742871,4975.29,24296,193169,26.0
2019-10-17,HAVELLS, EQ, 17-Oct-2019,671.65,674.0,687.15,668.75,686.0,685.8,680.11,1607024,10929.58,39111,296062,18.42
2019-10-18,HAVELLS, EQ, 18-Oct-2019,685.8,686.0,694.7,679.7,687.15,689.6,688.66,1104118,7603.62,28163,229399,20.78
2019-10-22,HAVELLS, EQ, 22-Oct-2019,689.6,690.0,692.95,670.5,678.0,678.2,681.72,976609,6657.79,24027,287342,29.42
2019-10-23,HAVELLS, EQ, 23-Oct-2019,678.2,674.0,682.0,657.55,663.9,673.15,670.46,4148758,27815.81,86186,668464,16.11
2019-10-24,HAVELLS, EQ, 24-Oct-2019,673.15,660.0,678.65,655.0,669.4,669.9,665.8,3271591,21782.28,70709,1260190,38.52
2019-10-25,HAVELLS, EQ, 25-Oct-2019,669.9,650.0,668.75,650.0,665.4,664.8,664.07,931283,6184.35,22880,174930,18.78
2019-10-27,HAVELLS, EQ, 27-Oct-2019,664.8,666.7,674.2,664.25,666.1,667.75,669.01,140511,940.04,5317,48646,34.62
2019-10-29,HAVELLS, EQ, 29-Oct-2019,667.75,668.7,672.45,663.6,668.55,668.2,667.35,1035190,6908.35,37271,477313,46.11
2019-10-30,HAVELLS, EQ, 30-Oct-2019,668.2,675.0,697.5,670.05,689.35,689.65,685.7,2432177,16677.51,56229,563659,23.18
2019-10-31,HAVELLS, EQ, 31-Oct-2019,689.65,693.0,699.0,685.45,690.6,691.85,692.74,1425499,9875.02,28370,435437,30.55
2019-11-01,HAVELLS, EQ, 01-Nov-2019,691.85,693.9,697.9,687.0,687.85,688.35,691.04,540561,3735.47,13763,123609,22.87
2019-11-04,HAVELLS, EQ, 04-Nov-2019,688.35,689.65,697.0,685.8,693.7,693.7,692.73,830617,5753.9,17721,280224,33.74
2019-11-05,HAVELLS, EQ, 05-Nov-2019,693.7,695.35,696.9,680.1,686.5,687.05,685.11,829450,5682.65,28855,281251,33.91
2019-11-06,HAVELLS, EQ, 06-Nov-2019,687.05,687.1,693.9,675.25,689.0,689.25,685.01,828409,5674.67,24792,147353,17.79
2019-11-07,HAVELLS, EQ, 07-Nov-2019,689.25,694.8,714.6,690.8,713.9,710.0,707.53,2760947,19534.57,67906,580268,21.02
2019-11-08,HAVELLS, EQ, 08-Nov-2019,710.0,714.35,717.25,702.8,703.75,707.5,712.34,1129079,8042.84,25415,193750,17.16
2019-11-11,HAVELLS, EQ, 11-Nov-2019,707.5,703.5,708.7,690.1,693.55,692.65,699.68,791314,5536.7,21345,155394,19.64
2019-11-13,HAVELLS, EQ, 13-Nov-2019,692.65,693.5,704.1,671.7,674.25,674.3,685.32,1229427,8425.52,28205,341127,27.75
2019-11-14,HAVELLS, EQ, 14-Nov-2019,674.3,675.9,683.55,668.15,671.8,672.2,674.7,975688,6582.97,24766,208473,21.37
2019-11-15,HAVELLS, EQ, 15-Nov-2019,672.2,674.4,682.9,671.1,671.6,672.85,675.89,549025,3710.79,17595,166998,30.42
2019-11-18,HAVELLS, EQ, 18-Nov-2019,672.85,673.3,677.25,663.05,667.2,667.35,669.93,874088,5855.8,21924,223389,25.56
2019-11-19,HAVELLS, EQ, 19-Nov-2019,667.35,670.8,673.7,661.8,664.45,665.75,667.41,717667,4789.81,17491, 223749, 31.18
2019-11-20,HAVELLS, EQ, 20-Nov-2019,665.75,666.0,675.6,660.45,671.1,671.65,670.28,1111197,7448.13,24439, 440982, 39.69
2019-11-21,HAVELLS, EQ, 21-Nov-2019,671.65,671.65,675.7,651.0,651.05,653.7,661.78,1467627,9712.51,34899,591842,40.33
2019-11-22,HAVELLS, EQ, 22-Nov-2019,653.7,650.0,653.3,636.0,637.55,638.55,643.59,1606769,10341.08,44109,377687,23.51
2019-11-25,HAVELLS, EQ, 25-Nov-2019,638.55,638.55,669.25,637.55,665.0,665.1,657.4,2178172,14319.35,45775,703101,32.28
2019-11-26,HAVELLS, EQ, 26-Nov-2019,665.1,669.0,680.5,661.45,668.05,670.7,672.85,2521989,16969.22,47855, 1307982, 51.86
2019-11-27,HAVELLS, EQ, 27-Nov-2019,670.7,672.0,680.0,663.5,677.6,677.6,673.95,1306539,8805.37,27752,529603,40.53
2019-11-28,HAVELLS, EQ, 28-Nov-2019,677.6,675.1,683.55,670.05,673.6,673.6,676.9,1328679,8993.88,24236,307167,23.12
2019-11-29,HAVELLS, EQ, 29-Nov-2019,673.6,673.6,677.0,660.0,667.1,667.45,666.7,823893,5492.87,20868,219917,26.69
2019-12-02,HAVELLS, EQ, 02-Dec-2019,667.45,667.45,673.2,660.2,671.95,671.35,668.04,779145,5204.97,21571, 245304, 31.48
2019-12-03,HAVELLS, EQ, 03-Dec-2019,671.35,670.0,675.6,665.35,668.0,670.0,671.07,657306,4411.01,18216,196674,29.92
2019-12-04,HAVELLS, EQ, 04-Dec-2019,670.0,670.0,674.25,660.25,671.85,672.8,668.1,869810,5811.19,24001,235194,27.04
2019-12-05,HAVELLS, EQ, 05-Dec-2019,672.8,674.0,676.7,666.0,669.0,670.4,669.96,717262,4805.39,16139,268604,37.45
2019-12-06,HAVELLS, EQ, 06-Dec-2019,670.4,670.95,670.95,652.35,660.0,661.4,661.12,993467,6567.97,20479,312992,31.51
2019-12-09,HAVELLS, EQ, 09-Dec-2019,661.4,663.6,665.0,655.75,657.5,658.4,659.88,557229,3677.04,14360,205894,36.95
2019-12-10,HAVELLS, EQ, 10-Dec-2019,658.4,658.35,658.35,645.1,645.75,647.4,650.24,808226,5255.37,17634,279453,34.58
2019-12-11,HAVELLS, EQ, 11-Dec-2019,647.4,645.0,645.0,631.1,637.1,635.45,636.67,1812960,11542.65,46680,666273,36.75
2019-12-12,HAVELLS, EQ, 12-Dec-2019,635.45,640.1,653.5,637.75,652.15,652.3,646.46,1196192,7732.88,34972,478051,39.96
2019-12-13,HAVELLS, EQ, 13-Dec-2019,652.3,653.65,660.05,650.25,653.0,654.5,655.6,895607,5871.57,23644,252575,28.2
2019-12-16,HAVELLS, EQ, 16-Dec-2019,654.5,656.8,657.75,646.5,649.15,648.6,652.62,601125,3923.05,20415,256384,42.65
2019-12-17,HAVELLS, EQ, 17-Dec-2019,648.6,649.0,649.15,639.5,642.65,642.4,643.39,809881,5210.69,29568,330002,40.75
2019-12-18,HAVELLS, EQ, 18-Dec-2019,642.4,644.8,655.0,636.05,652.4,652.05,644.97,1325539,8549.32,26912,498298,37.59
2019-12-19,HAVELLS, EQ, 19-Dec-2019,652.05,649.25,652.15,643.4,646.55,646.9,647.78,942613,6106.04,19797,184770,19.6
2019-12-20,HAVELLS, EQ, 20-Dec-2019,646.9,649.9,656.25,640.0,641.6,641.2,646.14,1107531,7156.24,22080,454152,41.01
2019-12-23,HAVELLS, EQ, 23-Dec-2019,641.2,641.2,652.0,632.2,649.0,649.85,642.82,1613405,10371.29,34634,205394,12.73
2019-12-24,HAVELLS, EQ, 24-Dec-2019,649.85,648.75,653.1,645.2,647.1,648.1,648.8,803333,5212.02,20395,149050,18.55
2019-12-26,HAVELLS, EQ, 26-Dec-2019,648.1,649.2,651.0,640.0,641.6,640.95,644.44,540646,3484.12,13043,191457,35.41
2019-12-27,HAVELLS, EQ, 27-Dec-2019,640.95,643.9,650.0,640.5,645.05,646.7,645.25,662742,4276.37,13744,224522,33.88
2019-12-30,HAVELLS, EQ, 30-Dec-2019,646.7,648.0,659.0,646.6,653.0,652.8,654.89,1294264,8475.94,22311,291836,22.55
2019-12-31,HAVELLS, EQ, 31-Dec-2019,652.8,652.8,657.55,646.25,647.3,647.15,651.67,481645,3138.75,11693,157820,32.77
2020-01-01,HAVELLS, EQ, 01-Jan-2020,647.15,649.75,653.35,645.65,649.5,649.5,649.11,492348,3195.9,18862,97747,19.85
2020-01-02,HAVELLS, EQ, 02-Jan-2020,649.5,650.0,655.75,647.8,654.0,654.45,653.16,435382,2843.72,9504,101856,23.39
2020-01-03,HAVELLS, EQ, 03-Jan-2020,654.45,654.0,665.65,651.15,661.55,660.5,661.67,1316546,8711.25,28173,203670,15.47
2020-01-06,HAVELLS, EQ, 06-Jan-2020,660.5,660.0,660.0,642.5,643.1,647.15,649.24,569453,3697.14,13540,156784,27.53
2020-01-07,HAVELLS, EQ, 07-Jan-2020,647.15,648.25,656.9,639.0,640.2,640.4,644.23,877010,5649.99,15362,430833,49.13
2020-01-08,HAVELLS, EQ, 08-Jan-2020,640.4,636.5,638.0,624.5,629.6,629.45,629.16,1865051,11734.07,40561,551475,29.57
2020-01-09,HAVELLS, EQ, 09-Jan-2020,629.45,635.2,641.6,632.35,639.75,639.2,636.34,1767768,11248.95,22236,1095061,61.95
2020-01-10,HAVELLS, EQ, 10-Jan-2020,639.2,641.5,649.0,638.0,644.0,644.95,644.88,1078909,6957.69,27479,342559,31.75
2020-01-13,HAVELLS, EQ, 13-Jan-2020,644.95,646.05,654.8,646.05,651.2,651.2,650.98,703391,4578.97,17104,264421,37.59
2020-01-14,HAVELLS, EQ, 14-Jan-2020,651.2,652.95,654.3,643.2,649.55,650.75,650.13,897474,5834.73,20357,329793,36.75
2020-01-15,HAVELLS, EQ, 15-Jan-2020,650.75,650.3,650.3,637.1,643.4,642.35,642.04,1638831,10521.89,26906,677531,41.34
2020-01-16,HAVELLS, EQ, 16-Jan-2020,642.35,643.7,649.95,638.1,639.45,639.5,641.12,1228864,7878.48,29140,589303,47.96
2020-01-17,HAVELLS, EQ, 17-Jan-2020,639.5,639.5,651.6,637.7,638.7,638.7,643.72,2587519,16656.49,44230, 1523409, 58.88
2020-01-20,HAVELLS, EQ, 20-Jan-2020,638.7,640.1,643.45,622.35,623.0,625.3,628.04,3540418,22235.06,68388,1868970,52.79
2020-01-21,HAVELLS, EQ, 21-Jan-2020,625.3,623.0,632.65,612.85,614.0,616.95,622.61,5330031,33185.31,91231,1231672,23.11
2020-01-22,HAVELLS, EQ, 22-Jan-2020,616.95,604.5,618.6,588.3,599.7,600.5,603.32,13896645,83841.14,171058,3509524,25.25
2020-01-23,HAVELLS, EQ, 23-Jan-2020,600.5,600.5,621.0,600.5,619.5,619.85,612.72,3365852,20623.21,56416,1304858,38.77
2020-01-24,HAVELLS, EQ, 24-Jan-2020,619.85,620.0,627.9,614.05,624.8,622.9,623.35,1487093,9269.78,29822,398823,26.82
2020-01-27,HAVELLS, EQ, 27-Jan-2020,622.9,622.0,626.6,616.8,622.95,622.15,620.82,1382244,8581.24,23394,671247,48.56
2020-01-28,HAVELLS, EQ, 28-Jan-2020,622.15,622.15,625.0,609.0,616.9,616.2,615.45,1238644,7623.22,24272,291413,23.53
2020-01-29,HAVELLS, EQ, 29-Jan-2020,616.2,618.0,621.05,611.45,615.4,616.0,615.47,1668628,10269.9,31179,819447,49.11
2020-01-30,HAVELLS, EQ, 30-Jan-2020,616.0,616.0,617.05,603.8,607.8,606.9,612.12,912666,5586.62,19150,403830,44.25
2020-01-31,HAVELLS, EQ, 31-Jan-2020,606.9,610.5,613.8,600.2,603.8,602.8,607.09,1171667,7113.04,31662,529428,45.19
2020-02-01,HAVELLS, EQ, 01-Feb-2020,602.8,603.0,609.85,585.5,596.4,591.2,600.45,1233521,7406.72,27227,511401,41.46
2020-02-03,HAVELLS, EQ, 03-Feb-2020,591.2,594.85,605.0,586.05,595.7,594.35,593.22,1615206,9581.69,35357,812091,50.28
2020-02-04,HAVELLS, EQ, 04-Feb-2020,594.35,600.0,615.7,600.0,609.9,608.05,609.01,6574159,40037.06,50271,3821798,58.13
2020-02-05,HAVELLS, EQ, 05-Feb-2020,608.05,613.4,630.0,610.7,619.1,621.1,619.88,2174566,13479.73,43622,614243,28.25
2020-02-06,HAVELLS, EQ, 06-Feb-2020,621.1,626.8,633.85,623.7,631.4,631.65,629.25,1828910,11508.5,34557,774551,42.35
2020-02-07,HAVELLS, EQ, 07-Feb-2020,631.65,632.0,634.4,626.5,628.4,630.0,629.64,729667,4594.25,18996,207953,28.5
2020-02-10,HAVELLS, EQ, 10-Feb-2020,630.0,627.9,629.0,616.1,620.95,622.4,621.67,601397,3738.69,16384,230796,38.38
2020-02-11,HAVELLS, EQ, 11-Feb-2020,622.4,624.0,635.0,615.1,618.1,618.85,625.1,975440,6097.47,27117,252501,25.89
2020-02-12,HAVELLS, EQ, 12-Feb-2020,618.85,622.75,622.75,611.6,617.9,617.65,616.15,1487002,9162.21,31664,774128,52.06
2020-02-13,HAVELLS, EQ, 13-Feb-2020,617.65,617.65,621.95,612.15,617.0,617.55,618.23,897770,5550.29,35317,402526,44.84
2020-02-14,HAVELLS, EQ, 14-Feb-2020,617.55,618.1,623.5,608.85,612.75,611.65,615.74,1009884,6218.22,23859, 325325, 32.21
2020-02-17,HAVELLS, EQ, 17-Feb-2020,611.65,613.0,613.95,600.0,603.0,602.75,607.01,1035220,6283.84,21929,297961,28.78
2020-02-18,HAVELLS, EQ, 18-Feb-2020,602.75,602.5,603.45,589.0,602.0,600.5,594.03,2800102,16633.42,54437,1936710,69.17
2020-02-19,HAVELLS, EQ, 19-Feb-2020,600.5,606.8,621.0,604.6,621.0,618.55,614.48,1864746,11458.45,39694, 953910, 51.15
2020-02-20,HAVELLS, EQ, 20-Feb-2020,618.55,621.2,631.35,620.05,623.1,622.75,626.15,1229373,7697.68,34811,278679,22.67
2020-02-24,HAVELLS, EQ, 24-Feb-2020,622.75,619.95,633.95,614.0,631.0,626.65,627.56,1965644,12335.51,44972,1078284,54.86
2020-02-25,HAVELLS, EQ, 25-Feb-2020,626.65,634.0,647.65,631.0,643.05,643.6,641.35,3491818,22394.85,75571,1075416,30.8
2020-02-26,HAVELLS, EQ, 26-Feb-2020,643.6,640.55,652.7,636.0,644.6,646.8,645.9,1824325,11783.29,44703,518434,28.42
2020-02-27,HAVELLS, EQ, 27-Feb-2020,646.8,647.0,647.4,632.6,638.0,638.7,638.98,984423,6290.29,26855,234200,23.79
2020-02-28,HAVELLS, EQ, 28-Feb-2020,638.7,616.0,631.8,610.0,613.0,613.05,618.69,1785458,11046.45,45244,774985,43.41
2020-03-02,HAVELLS, EQ, 02-Mar-2020,613.05,620.05,647.8,620.05,623.2,627.6,637.48,2333347,14874.71,61590,771133,33.05
2020-03-03,HAVELLS, EQ, 03-Mar-2020,627.6,629.0,645.0,618.0,639.0,638.55,633.33,1520126,9627.44,40605,272370,17.92
2020-03-04,HAVELLS, EQ, 04-Mar-2020,638.55,641.0,642.75,619.25,633.5,632.95,633.19,1304147,8257.76,31067,389702,29.88
2020-03-05,HAVELLS, EQ, 05-Mar-2020,632.95,637.9,639.5,626.7,632.85,635.3,634.13,913452,5792.43,25963,272768,29.86
2020-03-06,HAVELLS, EQ, 06-Mar-2020,635.3,620.0,637.9,613.0,632.55,635.05,624.05,1574882,9828.03,26574,851439,54.06
2020-03-09,HAVELLS, EQ, 09-Mar-2020,635.05,620.0,626.85,593.3,612.0,610.2,610.84,1919270,11723.69,37869,757440,39.47
2020-03-11,HAVELLS, EQ, 11-Mar-2020,610.2,610.0,618.3,601.75,612.95,613.2,611.72,1335433,8169.13,31608,627554,46.99
2020-03-12,HAVELLS, EQ, 12-Mar-2020,613.2,590.0,596.95,514.65,583.0,578.7,562.95,4202510,23658.22,89475,1773143,42.19
2020-03-13,HAVELLS, EQ, 13-Mar-2020,578.7,532.5,623.45,531.95,600.5,600.5,584.92,1997455,11683.51,63615,716874,35.89
2020-03-16,HAVELLS, EQ, 16-Mar-2020,600.5,584.9,607.5,562.75,566.7,565.85,584.38,1397941,8169.26,53668,475216,33.99
2020-03-17,HAVELLS, EQ, 17-Mar-2020,565.85,565.9,585.45,561.0,570.0,569.85,574.27,1352460,7766.76,50239,517111,38.23
2020-03-18,HAVELLS, EQ, 18-Mar-2020,569.85,575.0,579.05,552.2,558.6,560.0,566.17,2536297,14359.69,91156,1362394,53.72
2020-03-19,HAVELLS, EQ, 19-Mar-2020,560.0,540.0,559.25,516.25,540.0,535.2,535.75,2727642,14613.39,58796,1087289,39.86
2020-03-20,HAVELLS, EQ, 20-Mar-2020,535.2,537.0,554.9,521.35,537.8,537.8,540.68,1910422,10329.3,67512,708811,37.1
2020-03-23,HAVELLS, EQ, 23-Mar-2020,537.8,499.9,527.9,484.1,493.0,498.5,497.67,1711503,8517.56,33683,1065278,62.24
2020-03-24,HAVELLS, EQ, 24-Mar-2020,498.5,494.0,508.65,481.0,489.5,489.95,496.61,2024491,10053.86,72942,892017,44.06
2020-03-25,HAVELLS, EQ, 25-Mar-2020,489.95,476.15,495.95,465.6,473.4,473.65,478.34,1615671,7728.37,54223,648606,40.14
2020-03-26,HAVELLS, EQ, 26-Mar-2020,473.65,475.25,507.4,474.1,493.0,493.45,495.27,1484714,7353.41,57273,504035,33.95
2020-03-27,HAVELLS, EQ, 27-Mar-2020,493.45,499.0,519.4,486.55,511.0,511.15,501.96,3822048,19185.15,67745,2599562,68.01
2020-03-30,HAVELLS, EQ, 30-Mar-2020,511.15,503.95,505.6,465.25,470.0,467.35,482.9,1622137,7833.25,52625,606386,37.38
2020-03-31,HAVELLS, EQ, 31-Mar-2020,467.35,474.0,488.0,458.05,476.0,480.45,475.79,1862236,8860.38,49567,494405,26.55
2020-04-01,HAVELLS, EQ, 01-Apr-2020,480.45,480.0,489.0,466.5,481.0,484.6,477.16,1414588,6749.88,40245,528078,37.33
