Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HCLTECH, EQ, 23-Aug-2019,1078.9,1079.0,1097.45,1077.6,1086.0,1087.0,1087.55,1659577,18048.73,66484,861585,51.92
2019-10-01,HCLTECH, EQ, 01-Oct-2019,1080.6,1081.0,1081.0,1053.2,1063.0,1059.55,1060.84,2095348,22228.29,82920,1260531,60.16
2019-10-03,HCLTECH, EQ, 03-Oct-2019,1059.55,1058.0,1090.0,1054.15,1076.25,1076.8,1078.25,1717651,18520.63,65339,823368,47.94
2019-10-04,HCLTECH, EQ, 04-Oct-2019,1076.8,1076.0,1081.8,1064.65,1078.0,1079.1,1075.04,1347094,14481.8,95794,819915,60.87
2019-10-07,HCLTECH, EQ, 07-Oct-2019,1079.1,1085.75,1091.0,1068.9,1074.0,1074.4,1076.25,955249,10280.83,71994,549426,57.52
2019-10-09,HCLTECH, EQ, 09-Oct-2019,1074.4,1070.05,1073.95,1040.15,1051.05,1051.1,1048.75,1875270,19666.92,92823,1170840,62.44
2019-10-10,HCLTECH, EQ, 10-Oct-2019,1051.1,1051.05,1066.1,1041.4,1064.0,1063.5,1056.99,1353776,14309.24,41073,616423,45.53
2019-10-11,HCLTECH, EQ, 11-Oct-2019,1063.5,1050.0,1090.0,1048.0,1078.4,1079.5,1077.7,2156390,23239.31,58642,1245562,57.76
2019-10-14,HCLTECH, EQ, 14-Oct-2019,1079.5,1082.4,1099.8,1074.0,1083.05,1086.8,1090.51,1390602,15164.7,51762,775574,55.77
2019-10-15,HCLTECH, EQ, 15-Oct-2019,1086.8,1089.1,1099.15,1079.45,1088.0,1084.5,1090.36,1501035,16366.74,54526,951510,63.39
2019-10-16,HCLTECH, EQ, 16-Oct-2019,1084.5,1089.0,1107.0,1083.1,1100.8,1100.9,1093.42,1509394,16504.09,81915,793337,52.56
2019-10-17,HCLTECH, EQ, 17-Oct-2019,1100.9,1100.0,1102.2,1084.55,1089.2,1093.05,1091.08,776139,8468.31,35914,348532,44.91
2019-10-18,HCLTECH, EQ, 18-Oct-2019,1093.05,1094.95,1105.45,1088.4,1094.95,1095.5,1097.68,823815,9042.88,37449,378232,45.91
2019-10-22,HCLTECH, EQ, 22-Oct-2019,1095.5,1090.2,1095.9,1051.5,1064.9,1064.45,1065.65,2751243,29318.62,75630,1602157,58.23
2019-10-23,HCLTECH, EQ, 23-Oct-2019,1064.45,1070.0,1103.95,1068.0,1102.0,1095.15,1091.75,3914537,42736.8,141402,2093059,53.47
2019-10-24,HCLTECH, EQ, 24-Oct-2019,1095.15,1155.1,1159.0,1110.5,1118.55,1119.05,1127.62,6751080,76126.75,191806,1824988,27.03
2019-10-25,HCLTECH, EQ, 25-Oct-2019,1119.05,1121.0,1137.25,1098.1,1134.05,1134.05,1123.25,2293610,25762.91,73743,1114971,48.61
2019-10-27,HCLTECH, EQ, 27-Oct-2019,1134.05,1138.0,1139.65,1125.1,1130.9,1130.5,1133.62,151960,1722.65,6614,70109,46.14
2019-10-29,HCLTECH, EQ, 29-Oct-2019,1130.5,1130.9,1145.85,1127.95,1140.0,1139.75,1140.02,1609103,18344.12,90464,1042084,64.76
2019-10-30,HCLTECH, EQ, 30-Oct-2019,1139.75,1150.0,1150.0,1138.2,1143.15,1146.75,1144.26,1220876,13969.94,75967,796284,65.22
2019-10-31,HCLTECH, EQ, 31-Oct-2019,1146.75,1145.75,1170.0,1138.55,1156.0,1162.75,1155.92,2924499,33804.76,104535,1961480,67.07
2019-11-01,HCLTECH, EQ, 01-Nov-2019,1162.75,1158.9,1167.0,1143.4,1152.05,1152.0,1151.56,1065855,12273.91,55936,558246,52.38
2019-11-04,HCLTECH, EQ, 04-Nov-2019,1152.0,1160.05,1166.3,1152.05,1153.7,1155.9,1159.2,1511084,17516.5,109548,908501,60.12
2019-11-05,HCLTECH, EQ, 05-Nov-2019,1155.9,1156.1,1160.6,1143.35,1157.0,1158.7,1153.54,1439050,16600.04,67214,909940,63.23
2019-11-06,HCLTECH, EQ, 06-Nov-2019,1158.7,1160.0,1160.05,1141.2,1148.55,1148.35,1147.34,2288329,26254.83,81020,1682433,73.52
2019-11-07,HCLTECH, EQ, 07-Nov-2019,1148.35,1149.0,1154.2,1136.1,1149.0,1148.45,1145.93,1269319,14545.54,50615,698359,55.02
2019-11-08,HCLTECH, EQ, 08-Nov-2019,1148.45,1148.35,1164.4,1146.1,1148.8,1150.1,1153.38,2013290,23220.86,40596,1423296,70.7
2019-11-11,HCLTECH, EQ, 11-Nov-2019,1150.1,1150.0,1153.7,1130.2,1145.95,1145.95,1139.24,953320,10860.56,42428,454632,47.69
2019-11-13,HCLTECH, EQ, 13-Nov-2019,1145.95,1150.0,1156.1,1134.7,1142.9,1138.6,1146.58,1689175,19367.72,48195,1113536,65.92
2019-11-14,HCLTECH, EQ, 14-Nov-2019,1138.6,1141.5,1157.4,1135.1,1149.0,1147.8,1147.24,1270462,14575.22,67142,629341,49.54
2019-11-15,HCLTECH, EQ, 15-Nov-2019,1147.8,1150.95,1159.8,1140.0,1143.15,1142.3,1149.66,1530856,17599.63,39519,1052656,68.76
2019-11-18,HCLTECH, EQ, 18-Nov-2019,1142.3,1148.0,1149.7,1138.8,1140.5,1141.1,1144.22,1242157,14213.02,40156,838205,67.48
2019-11-19,HCLTECH, EQ, 19-Nov-2019,1141.1,1139.0,1143.5,1128.65,1133.9,1134.65,1134.93,1182510,13420.64,77856, 827310, 69.96
2019-11-20,HCLTECH, EQ, 20-Nov-2019,1134.65,1135.0,1137.7,1125.5,1132.2,1132.8,1131.89,1112518,12592.5,42930, 685028, 61.57
2019-11-21,HCLTECH, EQ, 21-Nov-2019,1132.8,1138.6,1148.5,1131.55,1135.5,1136.6,1139.32,1938092,22081.11,94771,1272728,65.67
2019-11-22,HCLTECH, EQ, 22-Nov-2019,1136.6,1130.45,1134.95,1108.95,1117.5,1114.75,1114.96,1298964,14482.97,44429,814156,62.68
2019-11-25,HCLTECH, EQ, 25-Nov-2019,1114.75,1117.0,1126.1,1106.05,1125.0,1124.75,1115.26,846601,9441.77,28998,422467,49.9
2019-11-26,HCLTECH, EQ, 26-Nov-2019,1124.75,1126.5,1134.5,1098.45,1109.75,1108.05,1115.03,3229962,36015.09,92295, 2582049, 79.94
2019-11-27,HCLTECH, EQ, 27-Nov-2019,1108.05,1109.0,1134.4,1109.0,1123.7,1128.25,1124.5,1677156,18859.64,48391,951912,56.76
2019-11-28,HCLTECH, EQ, 28-Nov-2019,1128.25,1139.0,1143.4,1125.5,1134.0,1132.65,1134.07,1206558,13683.17,37217,640793,53.11
2019-11-29,HCLTECH, EQ, 29-Nov-2019,1132.65,1136.0,1136.85,1125.1,1127.5,1127.65,1129.76,1193851,13487.69,39262,833709,69.83
