Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HDFCAMC, EQ, 23-Aug-2019,2138.2,2125.3,2187.85,2075.1,2174.6,2175.7,2126.4,370875,7886.28,30661,94809,25.56
2019-10-01,HDFCAMC, EQ, 01-Oct-2019,2801.7,2819.0,2827.5,2706.0,2747.0,2744.65,2764.68,228980,6330.56,23629,103823,45.34
2019-10-03,HDFCAMC, EQ, 03-Oct-2019,2744.65,2720.0,2750.0,2650.05,2700.1,2706.1,2712.47,185453,5030.36,27574,79408,42.82
2019-10-04,HDFCAMC, EQ, 04-Oct-2019,2706.1,2706.0,2722.7,2657.0,2679.0,2677.0,2699.47,245864,6637.01,22238,97995,39.86
2019-10-07,HDFCAMC, EQ, 07-Oct-2019,2677.0,2677.0,2756.0,2635.6,2688.5,2691.75,2707.28,366377,9918.85,26646,156997,42.85
2019-10-09,HDFCAMC, EQ, 09-Oct-2019,2691.75,2715.0,2798.2,2685.1,2703.0,2708.35,2744.98,515266,14143.94,59290,193682,37.59
2019-10-10,HDFCAMC, EQ, 10-Oct-2019,2708.35,2712.9,2760.9,2710.0,2729.25,2723.55,2738.34,293179,8028.25,37023,153790,52.46
2019-10-11,HDFCAMC, EQ, 11-Oct-2019,2723.55,2740.0,2749.9,2710.05,2727.0,2726.0,2735.22,157294,4302.34,23931,69074,43.91
2019-10-14,HDFCAMC, EQ, 14-Oct-2019,2726.0,2743.0,2758.0,2723.75,2740.0,2733.2,2744.66,228841,6280.92,30632,159423,69.67
2019-10-15,HDFCAMC, EQ, 15-Oct-2019,2733.2,2730.0,2744.0,2701.6,2711.9,2705.0,2719.88,234345,6373.91,43357,174321,74.39
2019-10-16,HDFCAMC, EQ, 16-Oct-2019,2705.0,2721.0,2729.7,2711.0,2716.0,2720.5,2723.78,215012,5856.46,42889,146675,68.22
2019-10-17,HDFCAMC, EQ, 17-Oct-2019,2720.5,2728.0,2735.15,2709.4,2715.0,2717.25,2720.16,178958,4867.94,36389,129271,72.24
2019-10-18,HDFCAMC, EQ, 18-Oct-2019,2717.25,2727.95,2927.85,2671.0,2886.0,2882.65,2825.3,1299013,36700.96,73727,495049,38.11
2019-10-22,HDFCAMC, EQ, 22-Oct-2019,2882.65,2890.0,3074.7,2884.5,3010.0,3020.6,3006.13,806845,24254.79,57249,236337,29.29
2019-10-23,HDFCAMC, EQ, 23-Oct-2019,3020.6,3031.0,3118.0,2951.0,3109.7,3086.05,3043.95,530214,16139.45,42314,131801,24.86
2019-10-24,HDFCAMC, EQ, 24-Oct-2019,3086.05,3130.0,3139.0,2985.0,2998.0,3000.6,3048.95,459723,14016.71,41822,213140,46.36
2019-10-25,HDFCAMC, EQ, 25-Oct-2019,3000.6,3000.0,3002.05,2882.0,2899.95,2898.55,2941.39,453274,13332.54,44778,238883,52.7
2019-10-27,HDFCAMC, EQ, 27-Oct-2019,2898.55,2938.95,3089.95,2926.35,3068.0,3056.7,3036.25,345475,10489.48,25947,107058,30.99
2019-10-29,HDFCAMC, EQ, 29-Oct-2019,3056.7,3068.0,3068.0,2991.0,3008.9,3012.3,3020.7,423926,12805.52,56724,186523,44.0
2019-10-30,HDFCAMC, EQ, 30-Oct-2019,3012.3,3010.1,3049.95,2975.1,2986.95,2985.85,3011.76,329710,9930.06,36172,159466,48.37
2019-10-31,HDFCAMC, EQ, 31-Oct-2019,2985.85,3009.0,3014.5,2970.0,2991.7,2994.3,2996.23,246841,7395.91,27351,142201,57.61
2019-11-01,HDFCAMC, EQ, 01-Nov-2019,2994.3,3005.0,3005.0,2961.3,2968.0,2970.1,2980.82,201716,6012.79,27209,110976,55.02
2019-11-04,HDFCAMC, EQ, 04-Nov-2019,2970.1,2985.0,2985.0,2929.0,2930.0,2946.95,2962.47,230017,6814.19,28627,115834,50.36
2019-11-05,HDFCAMC, EQ, 05-Nov-2019,2946.95,2955.0,3072.5,2936.05,3001.0,3008.3,3019.63,1221743,36892.1,88952,413325,33.83
2019-11-06,HDFCAMC, EQ, 06-Nov-2019,3008.3,3007.75,3012.85,2924.45,2930.0,2933.95,2959.73,736147,21787.98,60562,377953,51.34
2019-11-07,HDFCAMC, EQ, 07-Nov-2019,2933.95,2952.0,3039.0,2892.3,3018.0,3016.75,2967.27,1272330,37753.42,69620,414790,32.6
2019-11-08,HDFCAMC, EQ, 08-Nov-2019,3016.75,3035.0,3248.9,3018.0,3198.0,3191.55,3170.42,2262911,71743.85,164882,890583,39.36
2019-11-11,HDFCAMC, EQ, 11-Nov-2019,3191.55,3205.0,3360.0,3199.95,3354.0,3346.8,3319.63,1413551,46924.64,113191,398281,28.18
2019-11-13,HDFCAMC, EQ, 13-Nov-2019,3346.8,3385.0,3650.0,3376.05,3644.95,3595.95,3532.21,1766176,62384.97,131629,556993,31.54
2019-11-14,HDFCAMC, EQ, 14-Nov-2019,3595.95,3698.0,3774.0,3537.05,3604.0,3604.0,3630.81,1585360,57561.47,109046,484225,30.54
2019-11-15,HDFCAMC, EQ, 15-Nov-2019,3604.0,3625.0,3639.9,3483.1,3486.0,3498.5,3522.21,925254,32589.38,89964,434033,46.91
