Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HDFCBANK, EQ, 23-Aug-2019,2174.1,2161.0,2177.0,2139.6,2164.9,2162.7,2157.09,5024904,108391.85,198523,3284413,65.36
2019-10-01,HDFCBANK, EQ, 01-Oct-2019,1227.45,1231.5,1255.0,1221.1,1250.2,1248.8,1241.11,9384176,116467.64,237310,4624217,49.28
2019-10-03,HDFCBANK, EQ, 03-Oct-2019,1248.8,1239.95,1243.8,1216.35,1222.9,1223.55,1227.27,8149438,100015.93,288240,4297804,52.74
2019-10-04,HDFCBANK, EQ, 04-Oct-2019,1223.55,1236.65,1239.6,1185.3,1189.75,1189.7,1209.48,9201816,111293.84,257533,4831347,52.5
2019-10-07,HDFCBANK, EQ, 07-Oct-2019,1189.7,1201.2,1219.85,1181.15,1184.55,1186.9,1201.38,11256610,135234.7,216482,5007897,44.49
2019-10-09,HDFCBANK, EQ, 09-Oct-2019,1186.9,1197.1,1229.9,1190.0,1228.2,1228.15,1211.14,8713635,105534.03,241068,4674399,53.64
2019-10-10,HDFCBANK, EQ, 10-Oct-2019,1228.15,1221.8,1225.95,1197.2,1203.0,1200.55,1204.54,5778429,69603.22,173146,3089486,53.47
2019-10-11,HDFCBANK, EQ, 11-Oct-2019,1200.55,1213.4,1224.0,1188.95,1198.15,1198.8,1206.12,8593159,103644.08,195427,4487710,52.22
2019-10-14,HDFCBANK, EQ, 14-Oct-2019,1198.8,1209.0,1219.9,1197.4,1204.4,1204.4,1211.27,6133901,74297.84,159516,3049256,49.71
2019-10-15,HDFCBANK, EQ, 15-Oct-2019,1204.4,1207.0,1225.0,1206.85,1223.7,1223.05,1217.66,4200187,51143.8,121277,2048447,48.77
2019-10-16,HDFCBANK, EQ, 16-Oct-2019,1223.05,1231.65,1235.0,1210.1,1221.5,1221.1,1222.27,5293408,64699.99,158557,2351286,44.42
2019-10-17,HDFCBANK, EQ, 17-Oct-2019,1221.1,1227.5,1229.85,1213.1,1221.5,1220.0,1221.84,6121807,74798.43,174349,3289207,53.73
2019-10-18,HDFCBANK, EQ, 18-Oct-2019,1220.0,1225.45,1233.85,1220.35,1229.0,1229.0,1227.68,5616903,68957.83,126554,3117700,55.51
2019-10-22,HDFCBANK, EQ, 22-Oct-2019,1229.0,1257.0,1257.0,1232.6,1239.9,1239.3,1244.3,10003114,124468.73,235749,5139082,51.37
2019-10-23,HDFCBANK, EQ, 23-Oct-2019,1239.3,1246.85,1249.75,1233.0,1245.0,1241.6,1242.17,5095107,63290.05,165735,2808097,55.11
2019-10-24,HDFCBANK, EQ, 24-Oct-2019,1241.6,1248.0,1254.15,1226.35,1235.0,1236.1,1241.78,6553747,81382.86,169086,2964030,45.23
2019-10-25,HDFCBANK, EQ, 25-Oct-2019,1236.1,1240.0,1246.85,1220.0,1227.9,1229.0,1234.93,6496771,80230.46,168865,3674313,56.56
2019-10-27,HDFCBANK, EQ, 27-Oct-2019,1229.0,1239.95,1241.9,1235.0,1238.0,1237.7,1238.06,875425,10838.24,32899,478938,54.71
2019-10-29,HDFCBANK, EQ, 29-Oct-2019,1237.7,1238.0,1257.35,1237.7,1242.55,1242.5,1246.85,7116284,88729.15,163100,4595216,64.57
2019-10-30,HDFCBANK, EQ, 30-Oct-2019,1242.5,1246.9,1262.7,1243.0,1249.8,1248.35,1253.11,6005683,75257.61,153142,3382532,56.32
2019-10-31,HDFCBANK, EQ, 31-Oct-2019,1248.35,1257.7,1263.9,1227.1,1230.0,1230.35,1247.19,6608853,82425.06,149423,3851537,58.28
2019-11-01,HDFCBANK, EQ, 01-Nov-2019,1230.35,1239.0,1243.75,1227.6,1243.0,1240.05,1235.87,5756130,71138.25,144831,3699600,64.27
2019-11-04,HDFCBANK, EQ, 04-Nov-2019,1240.05,1246.45,1250.0,1229.05,1237.95,1236.85,1239.18,4967588,61557.41,160851,2736666,55.09
2019-11-05,HDFCBANK, EQ, 05-Nov-2019,1236.85,1241.0,1244.8,1229.05,1240.0,1239.5,1236.72,6183905,76477.53,116040,4013870,64.91
2019-11-06,HDFCBANK, EQ, 06-Nov-2019,1239.5,1242.45,1259.0,1228.05,1256.5,1256.65,1243.91,6065168,75445.16,106886,3530632,58.21
2019-11-07,HDFCBANK, EQ, 07-Nov-2019,1256.65,1261.0,1269.7,1250.0,1262.05,1263.7,1260.3,8481517,106892.27,158059,5309958,62.61
2019-11-08,HDFCBANK, EQ, 08-Nov-2019,1263.7,1259.0,1267.0,1251.45,1254.85,1255.6,1258.28,6625748,83370.7,123060,4276184,64.54
2019-11-11,HDFCBANK, EQ, 11-Nov-2019,1255.6,1252.55,1268.5,1250.5,1265.3,1264.75,1260.58,7143305,90047.04,87967,5175501,72.45
