Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HDFCLIFE, EQ, 23-Aug-2019,528.45,530.0,531.8,512.75,517.4,517.2,521.28,4611285,24037.85,157445,2267090,49.16
2019-10-01,HDFCLIFE, EQ, 01-Oct-2019,601.15,604.2,608.0,590.35,596.2,598.2,595.88,3176809,18930.11,46993,1119907,35.25
2019-10-03,HDFCLIFE, EQ, 03-Oct-2019,598.2,596.3,597.85,575.5,592.0,592.9,588.89,3634620,21403.85,82476,1668441,45.9
2019-10-04,HDFCLIFE, EQ, 04-Oct-2019,592.9,593.25,594.7,582.05,583.95,584.45,590.07,2889488,17050.09,46001,1827923,63.26
2019-10-07,HDFCLIFE, EQ, 07-Oct-2019,584.45,584.5,584.5,572.05,575.0,575.45,576.89,3237005,18674.07,86738,1689391,52.19
2019-10-09,HDFCLIFE, EQ, 09-Oct-2019,575.45,575.2,586.75,573.7,579.4,580.5,581.39,1579192,9181.32,43954,851094,53.89
2019-10-10,HDFCLIFE, EQ, 10-Oct-2019,580.5,577.5,589.0,575.0,583.35,583.8,582.65,1556208,9067.32,25824,877587,56.39
2019-10-11,HDFCLIFE, EQ, 11-Oct-2019,583.8,585.0,599.7,584.0,590.5,590.65,591.65,4147792,24540.33,49632,2574778,62.08
2019-10-14,HDFCLIFE, EQ, 14-Oct-2019,590.65,586.0,589.7,580.0,582.0,582.3,585.14,1659110,9708.12,58601,851344,51.31
2019-10-15,HDFCLIFE, EQ, 15-Oct-2019,582.3,581.0,595.85,580.6,593.0,592.75,591.93,1429097,8459.29,35770,619099,43.32
2019-10-16,HDFCLIFE, EQ, 16-Oct-2019,592.75,594.8,615.85,594.0,609.9,610.6,609.38,3769552,22971.08,75624,1364191,36.19
2019-10-17,HDFCLIFE, EQ, 17-Oct-2019,610.6,612.95,622.0,610.0,615.0,615.15,616.64,2893199,17840.76,59164,1243857,42.99
2019-10-18,HDFCLIFE, EQ, 18-Oct-2019,615.15,615.7,616.5,607.0,607.75,608.45,610.12,1922910,11731.97,63890,1047844,54.49
2019-10-22,HDFCLIFE, EQ, 22-Oct-2019,608.45,609.95,624.25,605.5,612.5,611.3,615.16,2673829,16448.32,61740,1364604,51.04
2019-10-23,HDFCLIFE, EQ, 23-Oct-2019,611.3,614.8,625.9,601.0,607.0,607.85,613.15,5606504,34376.38,108017,1830604,32.65
2019-10-24,HDFCLIFE, EQ, 24-Oct-2019,607.85,609.9,618.9,607.6,615.4,615.35,613.24,2865137,17570.18,68135,1636503,57.12
2019-10-25,HDFCLIFE, EQ, 25-Oct-2019,615.35,617.4,619.8,608.1,610.4,610.5,612.65,1982250,12144.26,31056,1250012,63.06
2019-10-27,HDFCLIFE, EQ, 27-Oct-2019,610.5,614.9,622.0,612.35,621.95,619.65,618.46,890503,5507.39,21459,499694,56.11
2019-10-29,HDFCLIFE, EQ, 29-Oct-2019,619.65,620.85,621.0,609.1,609.45,610.75,613.28,2288088,14032.43,64009,1401303,61.24
2019-10-30,HDFCLIFE, EQ, 30-Oct-2019,610.75,581.2,643.65,581.1,635.0,632.45,618.61,27156751,167995.12,309362,9916171,36.51
2019-10-31,HDFCLIFE, EQ, 31-Oct-2019,632.45,636.9,646.4,622.0,625.7,626.2,634.53,4487728,28475.97,87502,2132074,47.51
2019-11-01,HDFCLIFE, EQ, 01-Nov-2019,626.2,626.0,636.0,608.1,609.6,612.7,621.59,4002384,24878.49,80696,2581904,64.51
2019-11-04,HDFCLIFE, EQ, 04-Nov-2019,612.7,612.5,615.7,588.4,596.0,593.3,595.76,12053809,71811.39,250887,7545634,62.6
2019-11-05,HDFCLIFE, EQ, 05-Nov-2019,593.3,596.0,602.0,580.15,582.9,583.65,588.81,6170402,36332.23,197045,3006231,48.72
2019-11-06,HDFCLIFE, EQ, 06-Nov-2019,583.65,584.0,590.9,580.1,584.0,584.95,586.04,3840924,22509.16,104425,1867260,48.61
2019-11-07,HDFCLIFE, EQ, 07-Nov-2019,584.95,587.9,588.75,576.15,579.75,580.15,581.14,3217588,18698.69,78973,1898768,59.01
2019-11-08,HDFCLIFE, EQ, 08-Nov-2019,580.15,580.0,585.2,566.5,568.0,567.9,574.81,3630548,20868.71,128849,2070442,57.03
2019-11-11,HDFCLIFE, EQ, 11-Nov-2019,567.9,569.95,584.0,565.0,570.55,571.0,575.1,3419720,19666.9,87578,1405983,41.11
2019-11-13,HDFCLIFE, EQ, 13-Nov-2019,571.0,572.0,593.0,572.0,591.0,589.15,586.61,6532837,38322.02,135347,3465314,53.04
2019-11-14,HDFCLIFE, EQ, 14-Nov-2019,589.15,592.5,594.9,581.5,585.25,586.35,587.8,2663642,15656.78,50581,1278012,47.98
2019-11-15,HDFCLIFE, EQ, 15-Nov-2019,586.35,588.35,588.35,576.1,578.45,577.5,581.63,1959586,11397.55,67797,1084046,55.32
2019-11-18,HDFCLIFE, EQ, 18-Nov-2019,577.5,574.95,574.95,567.5,570.3,570.45,570.96,3112232,17769.61,75267,2104702,67.63
2019-11-19,HDFCLIFE, EQ, 19-Nov-2019,570.45,571.0,577.5,565.6,570.1,570.7,570.27,3791275,21620.68,74204, 2288913, 60.37
2019-11-20,HDFCLIFE, EQ, 20-Nov-2019,570.7,572.0,579.5,568.5,574.55,574.7,573.18,3822519,21909.96,58442, 2346445, 61.38
2019-11-21,HDFCLIFE, EQ, 21-Nov-2019,574.7,576.4,592.35,573.0,589.55,589.25,583.39,3752775,21893.16,60213,1884484,50.22
2019-11-22,HDFCLIFE, EQ, 22-Nov-2019,589.25,591.8,593.9,581.25,585.75,586.4,587.01,2275245,13355.88,68411,1175487,51.66
2019-11-25,HDFCLIFE, EQ, 25-Nov-2019,586.4,585.85,599.85,585.0,598.0,597.8,596.35,3802000,22673.3,85416,2121915,55.81
2019-11-26,HDFCLIFE, EQ, 26-Nov-2019,597.8,600.0,607.75,592.0,597.0,597.6,599.46,5918113,35476.83,76755, 4309693, 72.82
2019-11-27,HDFCLIFE, EQ, 27-Nov-2019,597.6,598.1,599.4,582.75,585.05,584.95,588.56,2154255,12679.15,47515,1221899,56.72
2019-11-28,HDFCLIFE, EQ, 28-Nov-2019,584.95,588.0,588.65,575.0,576.75,576.2,579.29,2761394,15996.54,109947,1870630,67.74
