Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HEROMOTOCO, EQ, 23-Aug-2019,2626.25,2625.0,2670.0,2612.6,2639.95,2640.2,2646.32,1202938,31833.55,106422,517904,43.05
2019-10-01,HEROMOTOCO, EQ, 01-Oct-2019,2704.75,2715.7,2738.9,2637.0,2677.1,2688.35,2693.76,865901,23325.27,55435,253950,29.33
2019-10-03,HEROMOTOCO, EQ, 03-Oct-2019,2688.35,2710.0,2734.0,2655.0,2659.0,2667.45,2687.78,937439,25196.32,51457,301701,32.18
2019-10-04,HEROMOTOCO, EQ, 04-Oct-2019,2667.45,2681.8,2715.0,2659.0,2669.0,2668.3,2692.81,689443,18565.37,44934,135468,19.65
2019-10-07,HEROMOTOCO, EQ, 07-Oct-2019,2668.3,2649.0,2684.0,2606.3,2680.05,2674.0,2653.68,581314,15426.24,34310,82867,14.26
2019-10-09,HEROMOTOCO, EQ, 09-Oct-2019,2674.0,2680.0,2690.0,2583.0,2599.0,2604.35,2623.08,1065595,27951.43,54338,475194,44.59
2019-10-10,HEROMOTOCO, EQ, 10-Oct-2019,2604.35,2604.35,2635.0,2581.15,2599.4,2601.85,2609.24,654085,17066.64,31495,115085,17.59
2019-10-11,HEROMOTOCO, EQ, 11-Oct-2019,2601.85,2614.85,2635.0,2567.9,2594.9,2597.85,2600.85,594047,15450.27,39357,128767,21.68
2019-10-14,HEROMOTOCO, EQ, 14-Oct-2019,2597.85,2590.0,2628.45,2571.85,2607.8,2609.2,2600.52,708591,18427.03,39191,176801,24.95
2019-10-15,HEROMOTOCO, EQ, 15-Oct-2019,2609.2,2620.15,2699.95,2610.0,2678.0,2675.7,2670.58,1011239,27005.95,47021,168589,16.67
2019-10-16,HEROMOTOCO, EQ, 16-Oct-2019,2675.7,2692.4,2692.4,2592.3,2600.05,2602.35,2626.49,926034,24322.16,62586,266351,28.76
2019-10-17,HEROMOTOCO, EQ, 17-Oct-2019,2602.35,2609.0,2644.0,2582.0,2631.0,2629.2,2605.39,1107128,28845.03,60755,403814,36.47
2019-10-18,HEROMOTOCO, EQ, 18-Oct-2019,2629.2,2629.0,2662.05,2605.85,2645.0,2646.15,2640.52,1179162,31135.96,66328,505887,42.9
2019-10-22,HEROMOTOCO, EQ, 22-Oct-2019,2646.15,2660.0,2713.45,2641.2,2670.05,2674.65,2687.97,799030,21477.71,65087,263653,33.0
2019-10-23,HEROMOTOCO, EQ, 23-Oct-2019,2674.65,2670.05,2738.0,2634.0,2707.0,2712.9,2708.34,1119172,30310.94,79326,349427,31.22
2019-10-24,HEROMOTOCO, EQ, 24-Oct-2019,2712.9,2730.0,2749.75,2650.0,2690.45,2696.0,2698.25,1427292,38511.92,79661,507388,35.55
2019-10-25,HEROMOTOCO, EQ, 25-Oct-2019,2696.0,2705.0,2708.0,2630.0,2657.25,2657.55,2658.62,799469,21254.86,60065,307257,38.43
2019-10-27,HEROMOTOCO, EQ, 27-Oct-2019,2657.55,2662.0,2691.95,2650.0,2672.7,2668.9,2674.88,69656,1863.21,4252,19354,27.79
2019-10-29,HEROMOTOCO, EQ, 29-Oct-2019,2668.9,2684.5,2720.0,2665.75,2700.0,2701.55,2702.24,1088620,29417.07,60080,656871,60.34
2019-10-30,HEROMOTOCO, EQ, 30-Oct-2019,2701.55,2717.0,2717.0,2677.0,2680.0,2684.5,2697.1,739316,19940.06,62476,330374,44.69
2019-10-31,HEROMOTOCO, EQ, 31-Oct-2019,2684.5,2695.0,2716.0,2689.45,2709.8,2704.2,2703.77,673886,18220.32,43091,326678,48.48
2019-11-01,HEROMOTOCO, EQ, 01-Nov-2019,2704.2,2708.0,2759.0,2671.1,2705.65,2707.15,2723.85,1427332,38878.37,79308,695777,48.75
2019-11-04,HEROMOTOCO, EQ, 04-Nov-2019,2707.15,2712.0,2714.95,2638.0,2641.0,2643.5,2661.72,760461,20241.34,62153,276501,36.36
2019-11-05,HEROMOTOCO, EQ, 05-Nov-2019,2643.5,2659.0,2679.0,2638.05,2667.4,2665.0,2662.24,508321,13532.75,43173,171565,33.75
