Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,HINDALCO, EQ, 23-Aug-2019,176.55,173.6,181.95,172.15,181.6,180.25,176.96,7073375,12516.72,45261,694850,9.82,Metals
2019-10-01,HINDALCO, EQ, 01-Oct-2019,191.35,191.3,194.55,186.75,189.45,189.75,190.67,6163235,11751.38,48620,1151929,18.69,Metals
2019-10-03,HINDALCO, EQ, 03-Oct-2019,189.75,186.5,187.95,180.0,182.15,182.6,182.92,13862733,25357.65,66218,3572348,25.77,Metals
2019-10-04,HINDALCO, EQ, 04-Oct-2019,182.6,184.0,185.75,181.55,182.05,182.1,183.87,6277398,11542.52,41663,1798478,28.65,Metals
2019-10-07,HINDALCO, EQ, 07-Oct-2019,182.1,182.25,185.15,181.1,182.1,182.3,183.16,4525369,8288.66,27863,944487,20.87,Metals
2019-10-09,HINDALCO, EQ, 09-Oct-2019,182.3,182.05,187.15,180.7,186.35,186.05,184.17,4536877,8355.67,33783,1040337,22.93,Metals
2019-10-10,HINDALCO, EQ, 10-Oct-2019,186.05,184.45,185.95,181.8,182.55,182.25,182.9,4351508,7958.82,30522,1437607,33.04,Metals
2019-10-11,HINDALCO, EQ, 11-Oct-2019,182.25,183.5,189.2,183.3,187.3,187.2,186.82,7642682,14277.74,49649,1506791,19.72,Metals
2019-10-14,HINDALCO, EQ, 14-Oct-2019,187.2,189.5,191.0,187.05,188.4,188.7,189.06,5222539,9873.64,28636,1071665,20.52,Metals
2019-10-15,HINDALCO, EQ, 15-Oct-2019,188.7,187.9,195.55,185.9,192.2,192.55,190.97,6691660,12779.37,37382,1342848,20.07,Metals
2019-10-16,HINDALCO, EQ, 16-Oct-2019,192.55,192.5,194.15,187.15,188.0,187.95,188.76,8082988,15257.27,51427,3146575,38.93,Metals
