Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,HINDCOPPER, EQ, 23-Aug-2019,28.8,29.0,29.7,27.85,29.4,29.5,28.91,731882,211.59,2767,214893,29.36
2019-10-01,HINDCOPPER, EQ, 01-Oct-2019,35.2,35.0,36.3,33.05,34.05,33.8,34.07,2103524,716.6,5404,897741,42.68
2019-10-03,HINDCOPPER, EQ, 03-Oct-2019,33.8,33.7,34.3,32.4,33.35,32.75,33.04,865095,285.82,3106,415213,48.0
2019-10-04,HINDCOPPER, EQ, 04-Oct-2019,32.75,33.4,34.8,32.3,32.3,32.7,33.62,2033901,683.72,6615,786658,38.68
2019-10-07,HINDCOPPER, EQ, 07-Oct-2019,32.7,32.75,33.2,31.5,31.55,31.65,32.26,830670,268.01,3372,434692,52.33
2019-10-09,HINDCOPPER, EQ, 09-Oct-2019,31.65,31.65,32.3,28.6,29.0,28.95,29.57,3166415,936.31,8460,1819926,57.48
2019-10-10,HINDCOPPER, EQ, 10-Oct-2019,28.95,29.0,30.5,29.0,29.65,29.7,29.84,1231693,367.54,4759,455638,36.99
2019-10-11,HINDCOPPER, EQ, 11-Oct-2019,29.7,30.8,30.8,29.7,29.95,29.9,30.17,962329,290.31,3164,370549,38.51
2019-10-14,HINDCOPPER, EQ, 14-Oct-2019,29.9,30.3,30.8,30.1,30.35,30.4,30.47,619900,188.9,2322,304405,49.11
2019-10-15,HINDCOPPER, EQ, 15-Oct-2019,30.4,30.4,32.1,29.65,31.65,31.75,31.16,1364837,425.26,4248,602139,44.12
2019-10-16,HINDCOPPER, EQ, 16-Oct-2019,31.75,31.95,33.45,31.5,32.65,32.7,32.82,1851029,607.42,5772,642999,34.74
2019-10-17,HINDCOPPER, EQ, 17-Oct-2019,32.7,32.9,32.9,31.7,32.2,32.3,32.25,555392,179.09,2379,200864,36.17
2019-10-18,HINDCOPPER, EQ, 18-Oct-2019,32.3,32.45,38.75,32.45,38.75,38.55,37.36,10141035,3788.85,28282,2240411,22.09
2019-10-22,HINDCOPPER, EQ, 22-Oct-2019,38.55,39.65,41.7,38.65,39.7,39.3,40.24,3658476,1472.03,11649,1180696,32.27
2019-10-23,HINDCOPPER, EQ, 23-Oct-2019,39.3,39.9,39.9,38.25,38.65,38.85,38.87,1102234,428.43,4345,342051,31.03
2019-10-24,HINDCOPPER, EQ, 24-Oct-2019,38.85,39.4,39.8,37.0,38.2,38.15,38.22,956488,365.59,3683,303588,31.74
2019-10-25,HINDCOPPER, EQ, 25-Oct-2019,38.15,38.65,38.65,37.3,38.2,38.0,37.89,1247107,472.48,2876,673532,54.01
2019-10-27,HINDCOPPER, EQ, 27-Oct-2019,38.0,38.35,39.45,38.35,39.0,39.1,38.94,379395,147.72,1916,199239,52.51
2019-10-29,HINDCOPPER, EQ, 29-Oct-2019,39.1,38.75,40.4,38.4,39.8,40.1,39.69,1459545,579.35,5179,493170,33.79
2019-10-30,HINDCOPPER, EQ, 30-Oct-2019,40.1,42.15,43.15,42.0,42.4,42.4,42.6,2985135,1271.54,11234,1069076,35.81
2019-10-31,HINDCOPPER, EQ, 31-Oct-2019,42.4,42.75,43.55,41.25,41.45,41.4,42.43,1358655,576.48,4931,527232,38.81
2019-11-01,HINDCOPPER, EQ, 01-Nov-2019,41.4,41.45,44.2,40.9,43.0,43.5,42.7,2590400,1106.05,8592,723477,27.93
2019-11-04,HINDCOPPER, EQ, 04-Nov-2019,43.5,43.7,44.7,43.0,43.35,43.45,43.75,1941898,849.55,6841,557044,28.69
2019-11-05,HINDCOPPER, EQ, 05-Nov-2019,43.45,43.7,43.85,41.8,42.1,42.15,42.65,866408,369.56,3319,317481,36.64
2019-11-06,HINDCOPPER, EQ, 06-Nov-2019,42.15,42.0,42.3,41.0,41.1,41.15,41.55,844678,350.96,3328,236392,27.99
