Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,HINDPETRO, EQ, 23-Aug-2019,226.45,227.0,242.5,223.75,239.75,238.3,234.09,5739378,13435.27,95248,2638009,45.96,Others
2019-10-01,HINDPETRO, EQ, 01-Oct-2019,301.7,310.0,322.1,300.3,309.4,309.45,311.7,16142528,50316.57,174247,4620052,28.62,Others
2019-10-03,HINDPETRO, EQ, 03-Oct-2019,309.45,310.5,327.45,310.5,323.8,322.95,320.09,12775386,40893.37,122392,2896058,22.67,Others
2019-10-04,HINDPETRO, EQ, 04-Oct-2019,322.95,327.75,328.75,313.2,320.55,320.7,319.91,7476013,23916.62,81004,1679494,22.47,Others
2019-10-07,HINDPETRO, EQ, 07-Oct-2019,320.7,316.2,317.85,306.3,307.85,307.35,310.39,6569663,20391.33,41561,2876930,43.79,Others
2019-10-09,HINDPETRO, EQ, 09-Oct-2019,307.35,307.95,319.8,302.1,314.4,314.5,313.13,6099024,19098.03,56736,1901367,31.17,Others
2019-10-10,HINDPETRO, EQ, 10-Oct-2019,314.5,314.0,316.55,307.6,310.3,311.15,311.9,3553996,11084.84,27504,1335011,37.56,Others
2019-10-11,HINDPETRO, EQ, 11-Oct-2019,311.15,310.3,313.95,302.1,308.6,308.45,308.3,5158308,15903.2,51204,1508048,29.24,Others
2019-10-14,HINDPETRO, EQ, 14-Oct-2019,308.45,309.95,320.7,308.4,310.15,310.5,313.56,5465692,17138.39,38271,1573206,28.78,Others
2019-10-15,HINDPETRO, EQ, 15-Oct-2019,310.5,312.45,315.15,309.65,311.3,311.05,312.01,3823070,11928.2,37115,1264982,33.09,Others
2019-10-16,HINDPETRO, EQ, 16-Oct-2019,311.05,315.5,321.9,309.25,313.55,313.15,314.98,6738842,21226.14,66926,1347898,20.0,Others
2019-10-17,HINDPETRO, EQ, 17-Oct-2019,313.15,314.95,315.0,306.55,313.05,313.95,311.37,4882673,15203.35,50066,1634584,33.48,Others
2019-10-18,HINDPETRO, EQ, 18-Oct-2019,313.95,313.0,322.35,310.65,313.0,313.85,316.89,6703804,21243.45,67836,2826143,42.16,Others
2019-10-22,HINDPETRO, EQ, 22-Oct-2019,313.85,316.95,320.45,312.3,316.9,316.9,316.07,6171806,19507.46,63773,2298295,37.24,Others
