Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,HINDUNILVR, EQ, 23-Aug-2019,1872.1,1874.75,1877.35,1850.65,1865.5,1860.0,1862.24,1278546,23809.62,78542,645855,50.51,Others
2019-10-01,HINDUNILVR, EQ, 01-Oct-2019,1981.95,1989.0,2019.9,1983.0,1993.2,1990.3,1999.2,1080409,21599.54,66962,517399,47.89,Others
2019-10-03,HINDUNILVR, EQ, 03-Oct-2019,1990.3,1984.75,1985.3,1958.35,1961.1,1962.05,1969.15,1423468,28030.18,124100,1039605,73.03,Others
2019-10-04,HINDUNILVR, EQ, 04-Oct-2019,1962.05,1966.0,1977.3,1939.1,1942.7,1944.2,1952.89,1723988,33667.52,96119,1171733,67.97,Others
2019-10-07,HINDUNILVR, EQ, 07-Oct-2019,1944.2,1943.95,1962.95,1927.65,1940.0,1940.05,1945.29,880275,17123.88,64593,514570,58.46,Others
2019-10-09,HINDUNILVR, EQ, 09-Oct-2019,1940.05,1950.0,1962.7,1941.25,1947.0,1948.0,1950.69,1066739,20808.8,52180,587689,55.09,Others
2019-10-10,HINDUNILVR, EQ, 10-Oct-2019,1948.0,1948.0,1982.5,1935.6,1980.0,1968.75,1967.21,1492290,29356.52,64879,704970,47.24,Others
2019-10-11,HINDUNILVR, EQ, 11-Oct-2019,1968.75,1985.85,2016.9,1975.5,2007.0,2004.65,1997.82,1934337,38644.58,64490,1032660,53.39,Others
2019-10-14,HINDUNILVR, EQ, 14-Oct-2019,2004.65,2022.4,2031.45,2006.25,2009.0,2014.25,2016.67,2135148,43058.92,81031,999774,46.82,Others
2019-10-15,HINDUNILVR, EQ, 15-Oct-2019,2014.25,2050.0,2077.3,2025.8,2060.05,2064.4,2051.69,5761733,118212.69,197466,2648122,45.96,Others
2019-10-16,HINDUNILVR, EQ, 16-Oct-2019,2064.4,2065.3,2080.0,2052.6,2078.95,2071.0,2068.81,1661705,34377.53,102952,964878,58.07,Others
2019-10-17,HINDUNILVR, EQ, 17-Oct-2019,2071.0,2067.5,2108.0,2061.95,2106.5,2103.85,2091.57,2001245,41857.43,78047,1160652,58.0,Others
2019-10-18,HINDUNILVR, EQ, 18-Oct-2019,2103.85,2100.0,2116.0,2090.7,2108.0,2106.85,2107.77,2202270,46418.77,77935,1454996,66.07,Others
2019-10-22,HINDUNILVR, EQ, 22-Oct-2019,2106.85,2120.0,2149.0,2112.0,2131.7,2127.35,2132.45,1737401,37049.27,101380,1321300,76.05,Others
2019-10-23,HINDUNILVR, EQ, 23-Oct-2019,2127.35,2119.45,2137.45,2098.0,2136.3,2133.25,2114.55,1535786,32474.97,87953,939348,61.16,Others
2019-10-24,HINDUNILVR, EQ, 24-Oct-2019,2133.25,2141.0,2150.0,2118.05,2140.0,2133.35,2131.04,973453,20744.66,77257,552236,56.73,Others
2019-10-25,HINDUNILVR, EQ, 25-Oct-2019,2133.35,2147.55,2156.5,2129.3,2141.0,2145.1,2143.62,1612038,34555.97,100871,1152788,71.51,Others
2019-10-27,HINDUNILVR, EQ, 27-Oct-2019,2145.1,2148.0,2148.0,2134.5,2141.5,2139.75,2140.03,85187,1823.03,5513,44202,51.89,Others
