Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ICICIBANK, EQ, 23-Aug-2019,399.1,389.0,403.5,385.8,395.9,395.4,394.27,26883695,105995.59,308663,9028951,33.59
2019-10-01,ICICIBANK, EQ, 01-Oct-2019,433.7,436.95,443.2,416.7,425.6,424.6,431.03,30623906,131999.44,264954,11218749,36.63
2019-10-03,ICICIBANK, EQ, 03-Oct-2019,424.6,424.0,434.6,422.3,427.5,427.3,428.76,23275379,99796.1,205747,9379526,40.3
2019-10-04,ICICIBANK, EQ, 04-Oct-2019,427.3,428.5,429.3,412.05,413.1,413.9,420.96,17952697,75574.13,170246,4716245,26.27
2019-10-07,ICICIBANK, EQ, 07-Oct-2019,413.9,415.1,423.5,411.5,416.1,416.1,418.29,21933703,91746.23,151810,8495585,38.73
2019-10-09,ICICIBANK, EQ, 09-Oct-2019,416.1,420.25,438.4,417.1,436.5,436.7,428.51,34533981,147982.68,204220,14852469,43.01
2019-10-10,ICICIBANK, EQ, 10-Oct-2019,436.7,430.0,431.5,420.5,424.5,423.7,424.8,19074005,81026.11,164265,7680646,40.27
2019-10-11,ICICIBANK, EQ, 11-Oct-2019,423.7,427.95,433.25,422.1,427.9,428.55,428.28,18004922,77111.25,172683,4231714,23.5
2019-10-14,ICICIBANK, EQ, 14-Oct-2019,428.55,430.0,436.4,426.0,427.6,428.85,431.06,17211042,74190.59,143230,6892214,40.05
2019-10-15,ICICIBANK, EQ, 15-Oct-2019,428.85,430.0,435.45,428.2,432.2,431.85,431.73,14971985,64638.82,134995,6091322,40.68
2019-10-16,ICICIBANK, EQ, 16-Oct-2019,431.85,434.5,439.5,431.15,435.8,435.3,435.67,17833051,77692.52,161578,7258697,40.7
2019-10-17,ICICIBANK, EQ, 17-Oct-2019,435.3,436.0,443.35,433.7,440.75,440.6,438.8,12452421,54641.34,133501,3907584,31.38
2019-10-18,ICICIBANK, EQ, 18-Oct-2019,440.6,437.7,443.7,435.25,437.1,437.8,438.89,15988455,70172.07,123664,6675835,41.75
2019-10-22,ICICIBANK, EQ, 22-Oct-2019,437.8,440.5,458.7,437.55,451.75,451.15,451.14,34966169,157744.71,290446,13093450,37.45
2019-10-23,ICICIBANK, EQ, 23-Oct-2019,451.15,452.0,459.0,448.2,456.35,455.1,455.16,25196183,114682.95,340998,11332291,44.98
2019-10-24,ICICIBANK, EQ, 24-Oct-2019,455.1,457.4,459.0,451.0,455.5,454.75,454.66,23542540,107038.32,261128,12429939,52.8
2019-10-25,ICICIBANK, EQ, 25-Oct-2019,454.75,457.7,470.65,454.4,469.2,469.1,463.16,34397573,159314.21,253652,15782658,45.88
2019-10-27,ICICIBANK, EQ, 27-Oct-2019,469.1,471.0,473.5,465.0,467.8,469.55,469.07,8207818,38500.09,70202,1819147,22.16
