Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,ICICIGI, EQ, 23-Aug-2019,1139.45,1141.95,1194.4,1126.55,1184.45,1179.9,1165.46,847309,9875.06,44807,675853,79.76,Others
2019-10-01,ICICIGI, EQ, 01-Oct-2019,1209.85,1210.0,1218.3,1186.2,1204.5,1203.2,1206.25,392433,4733.72,46053,234466,59.75,Others
2019-10-03,ICICIGI, EQ, 03-Oct-2019,1203.2,1199.65,1204.5,1170.3,1187.25,1193.7,1191.49,216338,2577.64,32898,110283,50.98,Others
2019-10-04,ICICIGI, EQ, 04-Oct-2019,1193.7,1195.5,1202.8,1176.0,1176.0,1179.6,1191.16,372478,4436.81,17484,317671,85.29,Others
2019-10-07,ICICIGI, EQ, 07-Oct-2019,1179.6,1180.0,1184.6,1156.0,1158.0,1159.15,1171.0,208728,2444.2,13345,145287,69.61,Others
2019-10-09,ICICIGI, EQ, 09-Oct-2019,1159.15,1157.0,1173.5,1146.35,1168.05,1165.9,1157.87,546424,6326.89,39723,412300,75.45,Others
2019-10-10,ICICIGI, EQ, 10-Oct-2019,1165.9,1165.9,1200.0,1165.9,1198.65,1193.35,1185.76,249137,2954.18,15061,148439,59.58,Others
2019-10-11,ICICIGI, EQ, 11-Oct-2019,1193.35,1199.9,1220.0,1185.05,1207.0,1206.85,1208.57,393916,4760.74,23299,230141,58.42,Others
2019-10-14,ICICIGI, EQ, 14-Oct-2019,1206.85,1214.4,1244.0,1208.75,1244.0,1241.25,1236.61,480194,5938.11,21202,269509,56.13,Others
2019-10-15,ICICIGI, EQ, 15-Oct-2019,1241.25,1245.5,1270.0,1245.5,1270.0,1265.9,1260.55,520386,6559.71,38190,361784,69.52,Others
2019-10-16,ICICIGI, EQ, 16-Oct-2019,1265.9,1240.0,1247.9,1175.1,1204.45,1207.25,1183.92,29006294,343411.73,113683,22457757,77.42,Others
2019-10-17,ICICIGI, EQ, 17-Oct-2019,1207.25,1208.9,1249.0,1208.5,1239.9,1244.95,1231.29,1516873,18677.05,48502,938632,61.88,Others
2019-10-18,ICICIGI, EQ, 18-Oct-2019,1244.95,1252.0,1264.4,1231.0,1243.95,1244.05,1245.68,696248,8673.05,42859,391472,56.23,Others
2019-10-22,ICICIGI, EQ, 22-Oct-2019,1244.05,1237.0,1306.35,1237.0,1296.75,1294.8,1286.44,2328823,29959.02,112763,1585244,68.07,Others
2019-10-23,ICICIGI, EQ, 23-Oct-2019,1294.8,1298.0,1335.75,1293.0,1316.8,1311.8,1318.12,1207126,15911.42,63344,761867,63.11,Others
2019-10-24,ICICIGI, EQ, 24-Oct-2019,1311.8,1322.9,1350.0,1319.45,1348.0,1343.3,1340.92,843328,11308.39,72148,514686,61.03,Others
2019-10-25,ICICIGI, EQ, 25-Oct-2019,1343.3,1349.9,1364.9,1311.1,1330.0,1329.25,1340.32,464205,6221.84,49153,253661,54.64,Others
2019-10-27,ICICIGI, EQ, 27-Oct-2019,1329.25,1340.05,1370.0,1339.0,1369.0,1361.85,1356.02,134665,1826.08,7639,49137,36.49,Others
2019-10-29,ICICIGI, EQ, 29-Oct-2019,1361.85,1367.0,1369.0,1331.75,1352.0,1351.35,1346.2,614276,8269.38,46205,441319,71.84,Others
2019-10-30,ICICIGI, EQ, 30-Oct-2019,1351.35,1371.0,1399.0,1355.0,1370.0,1367.0,1371.28,685256,9396.79,40639,409541,59.76,Others
2019-10-31,ICICIGI, EQ, 31-Oct-2019,1367.0,1370.0,1379.35,1331.65,1336.0,1342.8,1355.35,568262,7701.96,41583,365354,64.29,Others
2019-11-01,ICICIGI, EQ, 01-Nov-2019,1342.8,1343.0,1351.9,1316.4,1343.0,1343.35,1335.49,330121,4408.75,23686,179456,54.36,Others
2019-11-04,ICICIGI, EQ, 04-Nov-2019,1343.35,1333.0,1339.9,1311.0,1323.5,1322.75,1321.73,355312,4696.28,21689,247197,69.57,Others
2019-11-05,ICICIGI, EQ, 05-Nov-2019,1322.75,1330.0,1345.45,1290.0,1307.75,1305.35,1307.75,506519,6623.98,40180,325935,64.35,Others
2019-11-06,ICICIGI, EQ, 06-Nov-2019,1305.35,1312.0,1318.55,1282.5,1284.0,1290.35,1299.42,289836,3766.2,29765,193360,66.71,Others
2019-11-07,ICICIGI, EQ, 07-Nov-2019,1290.35,1298.4,1334.6,1293.05,1318.0,1319.6,1319.49,551972,7283.2,45982,388624,70.41,Others
2019-11-08,ICICIGI, EQ, 08-Nov-2019,1319.6,1320.5,1334.0,1310.0,1319.0,1320.45,1325.49,627350,8315.43,64223,348179,55.5,Others
2019-11-11,ICICIGI, EQ, 11-Nov-2019,1320.45,1320.0,1348.0,1320.0,1344.55,1338.8,1339.94,523849,7019.29,33121,343547,65.58,Others
2019-11-13,ICICIGI, EQ, 13-Nov-2019,1338.8,1345.2,1369.0,1342.95,1365.55,1365.5,1357.83,602252,8177.56,29770,413258,68.62,Others
2019-11-14,ICICIGI, EQ, 14-Nov-2019,1365.5,1371.0,1379.85,1357.0,1372.85,1373.55,1370.83,455000,6237.26,27588,320949,70.54,Others
2019-11-15,ICICIGI, EQ, 15-Nov-2019,1373.55,1380.0,1394.0,1370.1,1376.95,1379.65,1383.16,385802,5336.24,27880,250901,65.03,Others
