Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ICICIPRULI, EQ, 23-Aug-2019,382.6,379.9,390.4,373.45,385.0,386.6,383.31,2052764,7868.43,51371,882026,42.97
2019-10-01,ICICIPRULI, EQ, 01-Oct-2019,463.5,466.6,470.9,462.7,467.1,466.85,466.84,2560669,11954.2,106384,1186620,46.34
2019-10-03,ICICIPRULI, EQ, 03-Oct-2019,466.85,465.4,474.0,464.1,468.1,468.75,468.86,2153461,10096.8,74035,946186,43.94
2019-10-04,ICICIPRULI, EQ, 04-Oct-2019,468.75,468.75,470.85,452.15,455.4,453.6,458.18,2195030,10057.13,97419,1064190,48.48
2019-10-07,ICICIPRULI, EQ, 07-Oct-2019,453.6,455.0,458.9,450.0,453.05,452.5,455.28,1130878,5148.69,40803,433342,38.32
2019-10-09,ICICIPRULI, EQ, 09-Oct-2019,452.5,455.9,457.0,441.45,450.0,449.75,448.02,3125053,14000.78,107107,1883264,60.26
2019-10-10,ICICIPRULI, EQ, 10-Oct-2019,449.75,449.8,454.25,443.45,445.5,446.55,449.02,2259559,10145.91,70496,971130,42.98
2019-10-11,ICICIPRULI, EQ, 11-Oct-2019,446.55,438.3,451.8,435.7,440.1,440.8,446.4,2602717,11618.53,42814,1361916,52.33
2019-10-14,ICICIPRULI, EQ, 14-Oct-2019,440.8,445.25,458.0,442.9,448.75,449.55,450.08,2732743,12299.6,66062,1431309,52.38
2019-10-15,ICICIPRULI, EQ, 15-Oct-2019,449.55,452.05,460.0,448.75,455.5,455.0,455.88,1700845,7753.75,52772,630887,37.09
2019-10-16,ICICIPRULI, EQ, 16-Oct-2019,455.0,455.95,470.15,455.75,465.55,465.85,465.6,2371707,11042.69,53286,798594,33.67
2019-10-17,ICICIPRULI, EQ, 17-Oct-2019,465.85,467.95,474.75,464.65,472.5,472.6,470.57,2527748,11894.73,46249,890739,35.24
2019-10-18,ICICIPRULI, EQ, 18-Oct-2019,472.6,472.5,478.0,467.2,477.15,476.75,474.91,2194880,10423.67,68067,1064154,48.48
2019-10-22,ICICIPRULI, EQ, 22-Oct-2019,476.75,478.35,488.45,473.4,480.1,480.05,480.74,2590137,12451.78,61511,1289953,49.8
2019-10-23,ICICIPRULI, EQ, 23-Oct-2019,480.05,481.1,487.9,478.4,484.5,485.2,483.92,3220051,15582.31,123691,1763867,54.78
2019-10-24,ICICIPRULI, EQ, 24-Oct-2019,485.2,486.0,488.8,477.0,479.5,479.65,482.09,2034503,9808.09,63651,1257531,61.81
2019-10-25,ICICIPRULI, EQ, 25-Oct-2019,479.65,480.0,487.8,474.0,483.75,483.9,480.33,1915211,9199.42,65674,961158,50.19
2019-10-27,ICICIPRULI, EQ, 27-Oct-2019,483.9,487.4,488.9,483.0,485.0,485.15,485.9,248519,1207.56,6220,123096,49.53
