Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,IDEA, EQ, 23-Aug-2019,5.3,5.2,5.9,5.0,5.85,5.75,5.52,138118662,7620.75,46956,34078763,24.67
2019-10-01,IDEA, EQ, 01-Oct-2019,6.15,6.3,6.3,5.2,5.45,5.4,5.54,219653425,12177.74,101352,68552400,31.21
2019-10-03,IDEA, EQ, 03-Oct-2019,5.4,5.35,5.4,5.0,5.15,5.1,5.15,119493478,6151.51,40175,53176401,44.5
2019-10-04,IDEA, EQ, 04-Oct-2019,5.1,5.15,5.35,5.0,5.0,5.05,5.12,83128782,4258.43,41242,29245421,35.18
2019-10-07,IDEA, EQ, 07-Oct-2019,5.05,5.1,5.55,5.0,5.1,5.15,5.21,101637294,5297.92,96220,21731350,21.38
2019-10-09,IDEA, EQ, 09-Oct-2019,5.15,5.2,6.0,5.15,5.85,5.85,5.61,207235307,11633.1,57061,67474891,32.56
2019-10-10,IDEA, EQ, 10-Oct-2019,5.85,6.4,6.9,5.75,6.15,6.2,6.36,422660153,26877.29,131662,159658620,37.77
2019-10-11,IDEA, EQ, 11-Oct-2019,6.2,6.0,6.15,5.85,6.05,6.0,6.0,122282409,7342.21,82693,37193543,30.42
2019-10-14,IDEA, EQ, 14-Oct-2019,6.0,6.05,6.5,5.9,6.35,6.4,6.28,135922704,8533.87,177334,29683244,21.84
2019-10-15,IDEA, EQ, 15-Oct-2019,6.4,6.4,6.45,6.1,6.2,6.15,6.21,107234406,6656.23,108029,30671819,28.6
2019-10-16,IDEA, EQ, 16-Oct-2019,6.15,6.2,6.75,6.15,6.5,6.55,6.5,292185105,18994.46,120287,129588915,44.35
2019-10-17,IDEA, EQ, 17-Oct-2019,6.55,6.4,6.4,5.95,6.35,6.3,6.2,165817016,10286.49,108221,43244902,26.08
2019-10-18,IDEA, EQ, 18-Oct-2019,6.3,6.35,6.6,6.25,6.4,6.4,6.4,103591923,6624.75,103949,32203239,31.09
2019-10-22,IDEA, EQ, 22-Oct-2019,6.4,6.4,6.55,6.0,6.15,6.1,6.33,128095442,8102.96,57189,45377875,35.43
2019-10-23,IDEA, EQ, 23-Oct-2019,6.1,6.2,6.25,5.55,5.65,5.65,5.83,159051328,9275.91,92886,56758647,35.69
2019-10-24,IDEA, EQ, 24-Oct-2019,5.65,5.6,5.65,4.1,4.15,4.35,4.81,755710087,36386.76,254332,280816438,37.16
2019-10-25,IDEA, EQ, 25-Oct-2019,4.35,4.15,4.2,3.65,4.15,4.1,3.99,420424858,16776.22,152713,170947764,40.66
2019-10-27,IDEA, EQ, 27-Oct-2019,4.1,4.15,4.4,3.8,4.15,4.2,4.13,84384206,3482.76,38257,25174174,29.83
2019-10-29,IDEA, EQ, 29-Oct-2019,4.2,4.1,4.1,3.65,3.9,3.85,3.87,343083942,13261.86,102681,160030757,46.64
2019-10-30,IDEA, EQ, 30-Oct-2019,3.85,4.0,4.2,3.75,3.85,3.8,3.95,270109253,10679.64,152259,99678242,36.9
2019-10-31,IDEA, EQ, 31-Oct-2019,3.8,3.8,4.0,3.3,3.85,3.9,3.63,414804276,15049.85,121963,129175815,31.14
2019-11-01,IDEA, EQ, 01-Nov-2019,3.9,3.85,4.8,3.65,4.2,4.3,4.37,794271990,34708.4,213969,252145023,31.75
2019-11-04,IDEA, EQ, 04-Nov-2019,4.3,4.5,4.75,4.4,4.55,4.5,4.58,179149168,8208.61,147472,53932912,30.11
2019-11-05,IDEA, EQ, 05-Nov-2019,4.5,4.5,4.65,4.1,4.15,4.2,4.33,119281067,5163.19,67744,39983906,33.52
2019-11-06,IDEA, EQ, 06-Nov-2019,4.2,4.1,4.15,3.8,3.85,3.85,3.94,168131372,6624.03,68451,65268841,38.82
2019-11-07,IDEA, EQ, 07-Nov-2019,3.85,3.9,4.15,3.8,3.95,3.9,3.98,171478878,6825.77,88291,59590493,34.75
2019-11-08,IDEA, EQ, 08-Nov-2019,3.9,3.9,4.05,3.7,3.8,3.75,3.85,229885771,8845.45,94615,82242463,35.78
2019-11-11,IDEA, EQ, 11-Nov-2019,3.75,3.8,4.05,3.75,3.95,4.0,3.92,106625599,4175.46,103975,37010416,34.71
2019-11-13,IDEA, EQ, 13-Nov-2019,4.0,3.75,4.0,3.65,3.7,3.7,3.81,219386908,8365.91,81945,98444981,44.87
2019-11-14,IDEA, EQ, 14-Nov-2019,3.7,3.35,3.45,2.85,3.0,2.95,3.05,585724890,17883.26,146405,266546614,45.51
2019-11-15,IDEA, EQ, 15-Nov-2019,2.95,2.7,3.9,2.4,3.75,3.65,3.28,826173911,27113.97,165425,174032058,21.06
2019-11-18,IDEA, EQ, 18-Nov-2019,3.65,3.95,4.55,3.9,4.55,4.45,4.35,553187407,24068.0,150807,162183304,29.32
2019-11-19,IDEA, EQ, 19-Nov-2019,4.45,4.85,6.4,4.85,6.15,6.05,5.65,1030107961,58152.2,285844, -, -
2019-11-20,IDEA, EQ, 20-Nov-2019,6.05,6.65,8.15,6.65,7.15,7.05,7.28,1822988748,132699.73,435746, -, -
2019-11-21,IDEA, EQ, 21-Nov-2019,7.05,7.75,7.95,6.15,6.65,6.65,6.85,879935477,60240.26,254786,234947388,26.7
2019-11-22,IDEA, EQ, 22-Nov-2019,6.65,6.6,6.95,6.05,6.55,6.55,6.57,455277632,29905.74,206777,85788497,18.84
