Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,IDFCFIRSTB, EQ, 23-Aug-2019,43.0,43.0,44.0,41.7,43.35,43.5,43.12,17691784,7628.79,21950,5843999,33.03
2019-10-01,IDFCFIRSTB, EQ, 01-Oct-2019,40.2,40.2,40.7,36.2,38.1,38.65,38.26,57435614,21972.91,82106,21008100,36.58
2019-10-03,IDFCFIRSTB, EQ, 03-Oct-2019,38.65,38.0,38.0,36.25,37.2,37.15,37.1,26646414,9886.92,42706,10651885,39.97
2019-10-04,IDFCFIRSTB, EQ, 04-Oct-2019,37.15,37.4,38.4,36.9,37.9,38.05,37.5,22670636,8500.55,38617,8146674,35.93
2019-10-07,IDFCFIRSTB, EQ, 07-Oct-2019,38.05,38.25,38.6,36.5,37.55,37.45,37.21,20846366,7756.33,38831,8461759,40.59
2019-10-09,IDFCFIRSTB, EQ, 09-Oct-2019,37.45,37.45,38.8,37.1,38.25,38.4,37.94,16641167,6314.41,31452,5525999,33.21
2019-10-10,IDFCFIRSTB, EQ, 10-Oct-2019,38.4,38.1,38.4,36.55,36.95,36.95,37.38,18558701,6936.58,42012,7806932,42.07
2019-10-11,IDFCFIRSTB, EQ, 11-Oct-2019,36.95,37.2,37.75,37.1,37.5,37.45,37.35,16696623,6235.7,22471,6484227,38.84
2019-10-14,IDFCFIRSTB, EQ, 14-Oct-2019,37.45,37.5,38.3,37.5,37.8,37.75,37.95,12529104,4754.29,21357,4887446,39.01
2019-10-15,IDFCFIRSTB, EQ, 15-Oct-2019,37.75,37.95,38.5,37.7,38.4,38.45,38.15,11399042,4348.86,16902,4176397,36.64
2019-10-16,IDFCFIRSTB, EQ, 16-Oct-2019,38.45,38.55,39.3,38.5,39.15,39.2,39.02,11809887,4607.89,15694,4465721,37.81
2019-10-17,IDFCFIRSTB, EQ, 17-Oct-2019,39.2,39.5,40.1,38.6,40.0,39.95,39.41,11887889,4685.12,21932,3200886,26.93
2019-10-18,IDFCFIRSTB, EQ, 18-Oct-2019,39.95,40.1,40.65,39.5,39.65,39.7,40.05,14532569,5819.75,24102,5862155,40.34
2019-10-22,IDFCFIRSTB, EQ, 22-Oct-2019,39.7,39.7,40.45,39.5,39.75,39.8,40.01,9561077,3825.63,15552,3703922,38.74
2019-10-23,IDFCFIRSTB, EQ, 23-Oct-2019,39.8,40.05,40.05,38.5,39.65,39.65,39.26,10752970,4222.15,18383,3503697,32.58
2019-10-24,IDFCFIRSTB, EQ, 24-Oct-2019,39.65,39.8,40.25,38.25,39.2,38.85,39.38,14853535,5849.48,26115,4209464,28.34
2019-10-25,IDFCFIRSTB, EQ, 25-Oct-2019,38.85,40.75,42.0,39.75,40.7,40.65,41.08,38015186,15615.59,59669,7389552,19.44
