Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,IEX, EQ, 23-Aug-2019,134.4,134.4,135.0,130.65,135.0,134.3,133.34,238275,317.71,4549,228356,95.84,Others
2019-10-01,IEX, EQ, 01-Oct-2019,120.65,121.5,121.95,118.9,120.85,120.85,120.36,118872,143.08,9367,90986,76.54,Others
2019-10-03,IEX, EQ, 03-Oct-2019,120.85,120.0,124.0,119.5,123.0,123.0,122.27,98639,120.61,8486,69167,70.12,Others
2019-10-04,IEX, EQ, 04-Oct-2019,123.0,123.2,124.4,120.05,120.2,121.3,123.09,249822,307.51,18303,184625,73.9,Others
2019-10-07,IEX, EQ, 07-Oct-2019,121.3,122.65,123.0,119.85,121.3,121.7,121.91,73066,89.07,2782,49777,68.13,Others
2019-10-09,IEX, EQ, 09-Oct-2019,121.7,120.2,124.95,120.2,124.95,124.35,122.66,51911,63.67,1419,35511,68.41,Others
2019-10-10,IEX, EQ, 10-Oct-2019,124.35,123.2,126.8,122.25,124.0,124.5,124.05,67494,83.72,2457,39388,58.36,Others
2019-10-11,IEX, EQ, 11-Oct-2019,124.5,124.15,128.5,123.15,125.0,124.95,125.23,72410,90.68,2139,51882,71.65,Others
2019-10-14,IEX, EQ, 14-Oct-2019,124.95,124.2,126.9,120.3,121.0,121.3,123.27,160530,197.89,3330,125858,78.4,Others
2019-10-15,IEX, EQ, 15-Oct-2019,121.3,122.55,123.15,120.55,122.0,121.9,121.66,63138,76.81,1696,44841,71.02,Others
2019-10-16,IEX, EQ, 16-Oct-2019,121.9,122.95,127.5,120.65,126.25,124.65,123.45,207268,255.88,14353,124687,60.16,Others
2019-10-17,IEX, EQ, 17-Oct-2019,124.65,122.7,145.0,118.25,132.7,135.45,127.29,1155948,1471.38,26142,278222,24.07,Others
2019-10-18,IEX, EQ, 18-Oct-2019,135.45,133.0,149.4,130.7,149.2,146.65,142.38,1077726,1534.46,19700,568481,52.75,Others
2019-10-22,IEX, EQ, 22-Oct-2019,146.65,146.0,152.2,140.95,145.45,146.45,146.66,362102,531.07,14634,191698,52.94,Others
2019-10-23,IEX, EQ, 23-Oct-2019,146.45,145.95,148.65,142.85,143.6,144.8,145.03,83824,121.57,1824,45981,54.85,Others
2019-10-24,IEX, EQ, 24-Oct-2019,144.8,146.3,147.0,136.8,143.0,140.25,143.38,142583,204.43,4366,98701,69.22,Others
2019-10-25,IEX, EQ, 25-Oct-2019,140.25,141.0,146.0,136.8,140.35,138.35,141.31,316152,446.77,12017,230667,72.96,Others
2019-10-27,IEX, EQ, 27-Oct-2019,138.35,139.0,141.65,137.05,138.3,138.15,138.61,29952,41.52,531,24056,80.32,Others
2019-10-29,IEX, EQ, 29-Oct-2019,138.15,139.75,144.5,138.5,141.0,141.9,141.6,180319,255.33,3778,137163,76.07,Others
2019-10-30,IEX, EQ, 30-Oct-2019,141.9,142.7,143.9,140.95,142.0,142.35,142.46,87916,125.24,3769,67905,77.24,Others
2019-10-31,IEX, EQ, 31-Oct-2019,142.35,142.05,145.95,142.0,144.95,144.95,144.93,849178,1230.72,6836,789938,93.02,Others
2019-11-01,IEX, EQ, 01-Nov-2019,144.95,144.05,149.0,140.05,145.0,144.8,145.31,859643,1249.15,5920,777058,90.39,Others
2019-11-04,IEX, EQ, 04-Nov-2019,144.8,144.05,145.8,138.3,140.8,143.25,144.67,415436,601.0,12605,328210,79.0,Others
2019-11-05,IEX, EQ, 05-Nov-2019,143.25,141.8,146.0,140.05,145.0,145.0,144.87,575792,834.13,7513,499287,86.71,Others
2019-11-06,IEX, EQ, 06-Nov-2019,145.0,144.7,149.8,138.9,143.25,144.7,144.58,1302428,1883.05,9212,1172066,89.99,Others
2019-11-07,IEX, EQ, 07-Nov-2019,144.7,143.15,145.25,143.15,145.0,144.95,144.96,1027041,1488.8,6948,984500,95.86,Others
2019-11-08,IEX, EQ, 08-Nov-2019,144.95,144.95,145.0,140.65,144.0,143.4,144.86,506286,733.42,2533,465867,92.02,Others
2019-11-11,IEX, EQ, 11-Nov-2019,143.4,144.95,144.95,140.15,143.95,143.85,142.53,116664,166.28,4888,64138,54.98,Others
2019-11-13,IEX, EQ, 13-Nov-2019,143.85,140.0,144.0,139.1,141.25,142.05,141.86,130603,185.27,6878,46997,35.98,Others
2019-11-14,IEX, EQ, 14-Nov-2019,142.05,141.85,144.0,140.95,142.0,143.6,142.86,101329,144.76,7832,64999,64.15,Others
2019-11-15,IEX, EQ, 15-Nov-2019,143.6,142.5,143.5,141.6,141.6,143.0,142.98,458535,655.63,1189,436736,95.25,Others
2019-11-18,IEX, EQ, 18-Nov-2019,143.0,143.0,144.85,141.25,143.8,143.1,143.09,494690,707.86,8491,454384,91.85,Others
2019-11-19,IEX, EQ, 19-Nov-2019,143.1,143.3,144.1,142.65,143.9,143.35,143.07,581239,831.6,4340,555020,95.49,Others
2019-11-20,IEX, EQ, 20-Nov-2019,143.35,143.35,144.15,141.9,143.1,143.15,142.98,81811,116.97,1616,51647,63.13,Others
2019-11-21,IEX, EQ, 21-Nov-2019,143.15,143.7,145.0,142.65,145.0,144.8,143.84,153001,220.08,4212,114582,74.89,Others
2019-11-22,IEX, EQ, 22-Nov-2019,144.8,144.2,149.8,142.0,142.8,145.5,144.96,272405,394.89,8968,181096,66.48,Others
2019-11-25,IEX, EQ, 25-Nov-2019,145.5,144.0,145.25,142.5,144.0,144.45,144.96,950181,1377.36,5736,878368,92.44,Others
2019-11-26,IEX, EQ, 26-Nov-2019,144.45,143.1,145.25,136.1,137.0,141.0,141.82,1105341,1567.61,14551,950206,85.96,Others
2019-11-27,IEX, EQ, 27-Nov-2019,141.0,136.95,142.9,136.1,140.6,141.85,139.32,129558,180.5,6537,54459,42.03,Others
2019-11-28,IEX, EQ, 28-Nov-2019,141.85,141.75,146.8,140.55,143.45,144.95,144.64,3135716,4535.61,4203,2952088,94.14,Others
2019-11-29,IEX, EQ, 29-Nov-2019,144.95,145.5,145.5,139.0,139.75,139.85,140.97,374568,528.01,8568,270401,72.19,Others
2019-12-02,IEX, EQ, 02-Dec-2019,139.85,139.0,141.5,137.05,139.05,139.1,139.04,178778,248.56,5011,113645,63.57,Others
2019-12-03,IEX, EQ, 03-Dec-2019,139.1,138.4,145.0,138.4,140.6,142.0,142.75,263946,376.78,4624,85470,32.38,Others
