Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,IGL, EQ, 23-Aug-2019,321.95,320.6,328.5,318.3,323.75,324.6,324.19,1098404,3560.93,16575,254962,23.21
2019-10-01,IGL, EQ, 01-Oct-2019,349.7,354.4,359.2,342.55,349.95,350.15,351.61,2477526,8711.29,39676,879282,35.49
2019-10-03,IGL, EQ, 03-Oct-2019,350.15,350.2,353.75,346.35,351.8,352.3,350.83,1038828,3644.5,24520,391025,37.64
2019-10-04,IGL, EQ, 04-Oct-2019,352.3,353.5,358.9,346.45,348.65,347.9,351.95,1427327,5023.43,27273,316394,22.17
2019-10-07,IGL, EQ, 07-Oct-2019,347.9,348.8,352.7,345.05,351.8,350.65,349.12,1043897,3644.44,20059,308483,29.55
2019-10-09,IGL, EQ, 09-Oct-2019,350.65,352.35,363.0,352.3,362.45,361.35,357.82,2474216,8853.33,31477,768659,31.07
2019-10-10,IGL, EQ, 10-Oct-2019,361.35,363.3,374.6,363.3,372.0,370.6,369.11,3551423,13108.78,51898,903833,25.45
2019-10-11,IGL, EQ, 11-Oct-2019,370.6,372.9,377.95,370.55,372.95,372.4,374.27,2854274,10682.74,32840,780946,27.36
2019-10-14,IGL, EQ, 14-Oct-2019,372.4,377.0,380.4,373.0,376.9,376.4,376.43,2002191,7536.8,34415,414991,20.73
2019-10-15,IGL, EQ, 15-Oct-2019,376.4,376.9,376.9,367.6,368.9,368.55,370.45,1643283,6087.57,37095,810001,49.29
2019-10-16,IGL, EQ, 16-Oct-2019,368.55,368.9,375.0,364.6,374.65,373.8,369.14,1352960,4994.29,25447,432842,31.99
2019-10-17,IGL, EQ, 17-Oct-2019,373.8,375.2,375.2,367.8,370.2,371.05,370.34,949685,3517.07,20459,400471,42.17
2019-10-18,IGL, EQ, 18-Oct-2019,371.05,369.0,381.5,369.0,379.0,379.8,377.7,1822157,6882.36,22038,443117,24.32
2019-10-22,IGL, EQ, 22-Oct-2019,379.8,379.8,380.0,370.9,373.65,372.1,374.39,763499,2858.49,12836,305361,39.99
2019-10-23,IGL, EQ, 23-Oct-2019,372.1,371.2,371.45,364.1,365.25,365.35,366.07,1626369,5953.68,18132,875564,53.84
