Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,INDHOTEL, EQ, 23-Aug-2019,126.15,125.0,136.6,121.3,136.0,135.95,129.61,1865418,2417.71,33154,1269600,68.06
2019-10-01,INDHOTEL, EQ, 01-Oct-2019,159.8,160.0,160.1,152.3,153.55,153.35,157.07,532635,836.62,13735,244809,45.96
2019-10-03,INDHOTEL, EQ, 03-Oct-2019,153.35,154.0,156.5,153.0,154.85,154.6,155.61,2963464,4611.39,12783,2739809,92.45
2019-10-04,INDHOTEL, EQ, 04-Oct-2019,154.6,155.9,159.0,153.2,155.5,156.05,155.67,2846231,4430.8,55067,2439356,85.7
2019-10-07,INDHOTEL, EQ, 07-Oct-2019,156.05,156.6,157.0,154.2,156.9,156.2,155.72,1340343,2087.18,12510,1175639,87.71
2019-10-09,INDHOTEL, EQ, 09-Oct-2019,156.2,156.4,158.8,152.65,154.5,154.05,156.3,2016860,3152.25,21288,1670821,82.84
2019-10-10,INDHOTEL, EQ, 10-Oct-2019,154.05,153.55,156.3,150.3,151.35,151.85,153.76,1719136,2643.28,9688,1438746,83.69
2019-10-11,INDHOTEL, EQ, 11-Oct-2019,151.85,152.35,153.8,149.2,150.3,150.65,151.81,1003177,1522.94,8260,783142,78.07
2019-10-14,INDHOTEL, EQ, 14-Oct-2019,150.65,151.0,153.15,150.25,152.0,152.0,152.14,549640,836.22,8509,437251,79.55
2019-10-15,INDHOTEL, EQ, 15-Oct-2019,152.0,152.95,153.5,148.0,148.75,149.05,149.8,1028285,1540.38,8859,850330,82.69
2019-10-16,INDHOTEL, EQ, 16-Oct-2019,149.05,149.55,149.95,146.3,149.1,149.0,147.58,1330935,1964.14,17937,1106885,83.17
2019-10-17,INDHOTEL, EQ, 17-Oct-2019,149.0,149.95,153.2,147.35,151.8,151.85,149.53,992660,1484.28,13182,723603,72.9
2019-10-18,INDHOTEL, EQ, 18-Oct-2019,151.85,151.85,153.45,148.0,149.1,149.4,150.97,1353287,2043.04,14998,1036420,76.59
2019-10-22,INDHOTEL, EQ, 22-Oct-2019,149.4,149.8,153.2,148.15,151.75,152.3,150.63,926734,1395.89,24551,618584,66.75
2019-10-23,INDHOTEL, EQ, 23-Oct-2019,152.3,152.4,155.0,149.8,150.25,150.4,152.36,990214,1508.71,38807,517568,52.27
2019-10-24,INDHOTEL, EQ, 24-Oct-2019,150.4,151.0,152.15,149.4,151.75,151.35,150.43,840309,1264.04,26998,580914,69.13
2019-10-25,INDHOTEL, EQ, 25-Oct-2019,151.35,152.15,152.25,149.5,150.5,150.85,150.73,776488,1170.44,14267,652571,84.04
2019-10-27,INDHOTEL, EQ, 27-Oct-2019,150.85,153.3,153.8,151.0,152.7,152.15,152.31,139980,213.2,2207,91708,65.52
2019-10-29,INDHOTEL, EQ, 29-Oct-2019,152.15,152.75,154.7,150.75,151.0,151.25,152.81,920934,1407.3,20449,605906,65.79
2019-10-30,INDHOTEL, EQ, 30-Oct-2019,151.25,152.4,153.5,149.3,149.9,150.0,151.66,1167865,1771.16,28779,798847,68.4
2019-10-31,INDHOTEL, EQ, 31-Oct-2019,150.0,150.9,153.45,149.25,153.0,152.0,151.29,809168,1224.16,10551,597933,73.89
2019-11-01,INDHOTEL, EQ, 01-Nov-2019,152.0,152.85,154.35,150.5,150.8,151.1,152.33,1124427,1712.85,8622,725739,64.54
2019-11-04,INDHOTEL, EQ, 04-Nov-2019,151.1,150.8,153.65,150.8,152.6,152.55,152.35,1514268,2306.97,7083,1281013,84.6
2019-11-05,INDHOTEL, EQ, 05-Nov-2019,152.55,155.0,158.0,150.6,151.3,151.5,153.59,1516772,2329.67,19228,596711,39.34
2019-11-06,INDHOTEL, EQ, 06-Nov-2019,151.5,151.35,152.15,149.5,151.65,151.3,150.45,615467,926.0,4617,403874,65.62
2019-11-07,INDHOTEL, EQ, 07-Nov-2019,151.3,151.9,152.0,150.25,150.8,150.85,150.85,267324,403.26,6108,90837,33.98
2019-11-08,INDHOTEL, EQ, 08-Nov-2019,150.85,150.4,151.25,149.0,149.4,149.35,149.75,265291,397.27,6242,159513,60.13
2019-11-11,INDHOTEL, EQ, 11-Nov-2019,149.35,149.0,150.5,144.6,146.0,146.55,147.16,703499,1035.28,10854,389429,55.36
2019-11-13,INDHOTEL, EQ, 13-Nov-2019,146.55,151.0,157.9,148.5,155.6,155.9,154.13,4819293,7427.89,45314,3330037,69.1
2019-11-14,INDHOTEL, EQ, 14-Nov-2019,155.9,156.8,157.8,150.45,155.05,155.25,154.65,1764991,2729.61,11634,1362256,77.18
2019-11-15,INDHOTEL, EQ, 15-Nov-2019,155.25,155.0,157.9,152.2,153.8,154.65,154.83,839257,1299.42,10486,474429,56.53
2019-11-18,INDHOTEL, EQ, 18-Nov-2019,154.65,154.6,155.4,152.5,154.3,154.35,153.74,326937,502.64,5103,153409,46.92
2019-11-19,INDHOTEL, EQ, 19-Nov-2019,154.35,155.0,155.1,150.7,153.25,153.3,152.27,1377273,2097.15,34482, 930405, 67.55
2019-11-20,INDHOTEL, EQ, 20-Nov-2019,153.3,153.9,153.9,151.85,151.85,152.2,152.51,787051,1200.29,12593, 544962, 69.24
2019-11-21,INDHOTEL, EQ, 21-Nov-2019,152.2,151.2,153.95,150.9,151.65,151.8,152.1,574226,873.42,11923,356733,62.12
2019-11-22,INDHOTEL, EQ, 22-Nov-2019,151.8,152.35,152.35,149.0,149.2,149.6,150.25,488918,734.59,7208,326761,66.83
2019-11-25,INDHOTEL, EQ, 25-Nov-2019,149.6,150.0,152.8,149.1,150.75,151.8,150.56,1575980,2372.84,8473,1356337,86.06
2019-11-26,INDHOTEL, EQ, 26-Nov-2019,151.8,152.8,153.0,146.5,148.0,148.1,149.67,1117541,1672.64,9822, 784132, 70.17
2019-11-27,INDHOTEL, EQ, 27-Nov-2019,148.1,148.8,151.9,147.5,151.9,149.65,149.18,1014628,1513.63,9591,657659,64.82
2019-11-28,INDHOTEL, EQ, 28-Nov-2019,149.65,150.0,151.3,148.15,148.7,148.75,149.4,535571,800.12,10899,353839,66.07
2019-11-29,INDHOTEL, EQ, 29-Nov-2019,148.75,148.95,151.75,147.4,148.75,149.4,149.53,989659,1479.86,11641,665075,67.2
2019-12-02,INDHOTEL, EQ, 02-Dec-2019,149.4,149.0,149.8,148.0,148.6,148.8,148.65,598317,889.4,21153, 400624, 66.96
2019-12-03,INDHOTEL, EQ, 03-Dec-2019,148.8,148.8,150.2,148.2,148.75,148.65,148.78,384561,572.14,2050,272963,70.98
2019-12-04,INDHOTEL, EQ, 04-Dec-2019,148.65,149.0,149.4,147.75,148.65,148.65,148.62,886563,1317.59,5019,767603,86.58
2019-12-05,INDHOTEL, EQ, 05-Dec-2019,148.65,150.0,151.0,147.2,148.05,148.15,148.59,567820,843.72,7024,365724,64.41
2019-12-06,INDHOTEL, EQ, 06-Dec-2019,148.15,148.95,149.4,146.2,148.5,148.35,148.1,778578,1153.07,9921,513568,65.96
2019-12-09,INDHOTEL, EQ, 09-Dec-2019,148.35,148.35,151.3,147.2,148.0,148.15,149.64,541662,810.55,5991,210437,38.85
2019-12-10,INDHOTEL, EQ, 10-Dec-2019,148.15,148.05,148.9,145.5,147.0,146.65,146.92,425078,624.54,10594,257178,60.5
2019-12-11,INDHOTEL, EQ, 11-Dec-2019,146.65,147.0,147.7,138.3,147.0,146.45,142.95,3305428,4725.05,48289,2274866,68.82
2019-12-12,INDHOTEL, EQ, 12-Dec-2019,146.45,146.1,147.0,140.8,143.5,143.5,143.41,1101731,1579.95,9628,723097,65.63
2019-12-13,INDHOTEL, EQ, 13-Dec-2019,143.5,144.0,147.9,143.3,147.55,146.65,145.8,1426877,2080.41,12600,1022879,71.69
2019-12-16,INDHOTEL, EQ, 16-Dec-2019,146.65,146.75,149.8,144.2,146.2,146.25,146.93,540664,794.42,10048,280663,51.91
2019-12-17,INDHOTEL, EQ, 17-Dec-2019,146.25,147.3,150.0,145.4,149.9,149.5,148.43,1208730,1794.12,22878,857548,70.95
2019-12-18,INDHOTEL, EQ, 18-Dec-2019,149.5,150.15,150.15,144.3,145.05,145.2,146.53,1666489,2441.84,17867,1326839,79.62
2019-12-19,INDHOTEL, EQ, 19-Dec-2019,145.2,143.0,145.85,141.2,142.0,142.0,143.19,559636,801.35,7798,362312,64.74
2019-12-20,INDHOTEL, EQ, 20-Dec-2019,142.0,142.15,143.5,138.15,139.4,141.0,141.11,1620184,2286.17,11945,1373343,84.76
2019-12-23,INDHOTEL, EQ, 23-Dec-2019,141.0,140.3,144.8,139.3,143.95,143.65,143.54,1056867,1516.98,9717,764358,72.32
2019-12-24,INDHOTEL, EQ, 24-Dec-2019,143.65,144.0,145.7,142.55,144.55,145.0,144.67,859359,1243.22,8680,449537,52.31
2019-12-26,INDHOTEL, EQ, 26-Dec-2019,145.0,144.6,145.75,140.7,143.1,143.6,143.48,1163484,1669.31,15711,689144,59.23
2019-12-27,INDHOTEL, EQ, 27-Dec-2019,143.6,144.0,149.75,143.1,147.3,148.7,147.79,1854091,2740.19,16648,1294413,69.81
2019-12-30,INDHOTEL, EQ, 30-Dec-2019,148.7,147.95,150.5,142.1,142.95,143.65,147.18,1726708,2541.37,27280,1248570,72.31
2019-12-31,INDHOTEL, EQ, 31-Dec-2019,143.65,142.8,145.6,141.3,144.35,145.0,143.41,1230725,1764.94,18793,630553,51.23
