Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,INDIACEM, EQ, 23-Aug-2019,70.95,70.7,72.4,67.75,70.6,70.75,70.35,2558224,1799.81,17939,732450,28.63
2019-10-01,INDIACEM, EQ, 01-Oct-2019,79.05,79.65,82.75,79.0,80.75,80.6,80.15,1488020,1192.63,8466,424736,28.54
2019-10-03,INDIACEM, EQ, 03-Oct-2019,80.6,80.35,80.5,79.0,79.3,79.65,79.73,940763,750.04,6639,194264,20.65
2019-10-04,INDIACEM, EQ, 04-Oct-2019,79.65,80.45,80.45,79.0,79.1,79.25,79.43,749252,595.15,4939,180902,24.14
2019-10-07,INDIACEM, EQ, 07-Oct-2019,79.25,79.0,79.7,79.0,79.0,79.1,79.13,715320,566.02,3026,313861,43.88
2019-10-09,INDIACEM, EQ, 09-Oct-2019,79.1,81.5,81.9,79.6,81.1,81.35,81.03,1889983,1531.4,12283,364662,19.29
2019-10-10,INDIACEM, EQ, 10-Oct-2019,81.35,81.2,81.95,80.3,81.35,81.4,81.34,854392,694.94,5658,206715,24.19
2019-10-11,INDIACEM, EQ, 11-Oct-2019,81.4,81.8,83.25,81.2,81.9,82.0,82.15,1132698,930.5,7700,234081,20.67
2019-10-14,INDIACEM, EQ, 14-Oct-2019,82.0,82.9,83.5,81.2,81.45,81.85,82.44,874187,720.66,7287,204870,23.44
2019-10-15,INDIACEM, EQ, 15-Oct-2019,81.85,82.0,82.4,79.05,79.15,79.25,79.82,1388659,1108.44,13877,605015,43.57
2019-10-16,INDIACEM, EQ, 16-Oct-2019,79.25,80.1,81.45,79.05,79.1,79.3,79.95,1468359,1173.95,13809,522302,35.57
2019-10-17,INDIACEM, EQ, 17-Oct-2019,79.3,79.3,80.2,79.05,79.7,79.85,79.79,785345,626.64,5057,305300,38.87
2019-10-18,INDIACEM, EQ, 18-Oct-2019,79.85,79.5,81.5,79.5,80.65,80.65,80.75,1799317,1452.89,12449,832761,46.28
2019-10-22,INDIACEM, EQ, 22-Oct-2019,80.65,81.6,81.95,79.0,79.1,79.3,80.56,1328912,1070.62,16690,557708,41.97
2019-10-23,INDIACEM, EQ, 23-Oct-2019,79.3,78.95,83.8,78.95,82.5,82.6,81.87,3870185,3168.65,20157,2215910,57.26
2019-10-24,INDIACEM, EQ, 24-Oct-2019,82.6,83.05,83.35,80.5,81.55,81.95,81.47,3026806,2466.03,13720,1729588,57.14
2019-10-25,INDIACEM, EQ, 25-Oct-2019,81.95,81.95,82.05,79.8,81.5,81.45,81.04,2339028,1895.55,12793,1363460,58.29
2019-10-27,INDIACEM, EQ, 27-Oct-2019,81.45,81.55,83.5,81.55,82.7,82.6,82.61,402657,332.63,2216,255228,63.39
2019-10-29,INDIACEM, EQ, 29-Oct-2019,82.6,82.8,85.0,80.6,83.05,83.15,82.36,3514798,2894.77,12916,2027609,57.69
2019-10-30,INDIACEM, EQ, 30-Oct-2019,83.15,83.65,86.0,83.4,84.15,84.1,84.67,1976526,1673.6,9371,563265,28.5
2019-10-31,INDIACEM, EQ, 31-Oct-2019,84.1,84.55,85.7,83.05,83.9,83.85,84.55,1332774,1126.87,7782,505524,37.93
2019-11-01,INDIACEM, EQ, 01-Nov-2019,83.85,84.2,85.2,83.25,84.6,84.45,84.25,1417378,1194.19,10973,421007,29.7
2019-11-04,INDIACEM, EQ, 04-Nov-2019,84.45,85.75,88.9,85.75,86.9,87.05,87.34,3555021,3105.1,17821,1348653,37.94
2019-11-05,INDIACEM, EQ, 05-Nov-2019,87.05,87.3,88.8,84.6,85.8,85.8,86.84,1539859,1337.24,7436,518556,33.68
2019-11-06,INDIACEM, EQ, 06-Nov-2019,85.8,85.0,87.75,83.0,84.55,84.75,85.52,1890926,1617.18,9616,553796,29.29
2019-11-07,INDIACEM, EQ, 07-Nov-2019,84.75,86.0,86.7,84.3,85.1,85.0,85.24,1286145,1096.29,6870,470381,36.57
2019-11-08,INDIACEM, EQ, 08-Nov-2019,85.0,84.6,86.85,84.2,85.4,85.3,85.67,1298543,1112.47,6103,491626,37.86
2019-11-11,INDIACEM, EQ, 11-Nov-2019,85.3,85.75,86.8,83.0,84.1,84.35,84.65,1983806,1679.26,10646,507203,25.57
