Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,INDIAMART, EQ, 23-Aug-2019,1150.3,1150.0,1160.0,1130.05,1150.0,1152.7,1152.44,7353,84.74,1144,4090,55.62
2019-10-01,INDIAMART, EQ, 01-Oct-2019,1769.05,1780.0,1841.4,1765.25,1780.0,1788.55,1795.59,39092,701.93,2758,24591,62.91
2019-10-03,INDIAMART, EQ, 03-Oct-2019,1788.55,1799.5,1893.0,1737.25,1885.0,1863.85,1816.61,31152,565.91,4594,13223,42.45
2019-10-04,INDIAMART, EQ, 04-Oct-2019,1863.85,1903.95,1938.7,1880.0,1900.0,1919.4,1906.86,34455,657.01,6554,16154,46.88
2019-10-07,INDIAMART, EQ, 07-Oct-2019,1919.4,1900.0,1930.0,1872.05,1921.9,1920.05,1916.71,15621,299.41,2226,8744,55.98
2019-10-09,INDIAMART, EQ, 09-Oct-2019,1920.05,1933.0,2304.05,1933.0,2225.0,2264.05,2179.24,289700,6313.27,30692,76606,26.44
2019-10-10,INDIAMART, EQ, 10-Oct-2019,2264.05,2249.8,2299.0,2001.0,2195.0,2196.65,2224.88,113933,2534.87,15242,31003,27.21
2019-10-11,INDIAMART, EQ, 11-Oct-2019,2196.65,2229.9,2278.0,2145.15,2165.0,2164.15,2200.88,49589,1091.39,6395,14012,28.26
2019-10-14,INDIAMART, EQ, 14-Oct-2019,2164.15,2200.0,2240.0,2133.65,2165.0,2163.15,2186.96,36663,801.8,3784,13359,36.44
2019-10-15,INDIAMART, EQ, 15-Oct-2019,2163.15,2186.0,2205.05,2025.65,2080.0,2092.95,2131.54,71714,1528.61,9137,28306,39.47
2019-10-16,INDIAMART, EQ, 16-Oct-2019,2092.95,2099.45,2099.45,2011.0,2020.0,2019.0,2044.44,43007,879.25,4319,17428,40.52
