Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,INDIGO, EQ, 23-Aug-2019,1621.1,1610.0,1655.15,1581.7,1648.0,1645.5,1616.8,1222090,19758.7,49542,142023,11.62,Aviation
2019-10-01,INDIGO, EQ, 01-Oct-2019,1889.65,1878.0,1888.85,1854.0,1871.5,1869.9,1876.09,811298,15220.66,46906,296426,36.54,Aviation
2019-10-03,INDIGO, EQ, 03-Oct-2019,1869.9,1812.1,1847.7,1780.55,1837.0,1826.05,1825.01,1184111,21610.1,61659,188051,15.88,Aviation
2019-10-04,INDIGO, EQ, 04-Oct-2019,1826.05,1843.75,1843.75,1788.05,1805.0,1809.6,1807.19,910904,16461.76,54757,283186,31.09,Aviation
2019-10-07,INDIGO, EQ, 07-Oct-2019,1809.6,1805.0,1821.0,1771.0,1791.0,1795.15,1790.89,539117,9655.0,29633,143711,26.66,Aviation
2019-10-09,INDIGO, EQ, 09-Oct-2019,1795.15,1800.0,1804.0,1763.05,1795.45,1796.45,1784.45,681454,12160.19,53610,261763,38.41,Aviation
2019-10-10,INDIGO, EQ, 10-Oct-2019,1796.45,1790.0,1814.3,1780.3,1787.15,1790.1,1794.37,409189,7342.38,21151,103632,25.33,Aviation
2019-10-11,INDIGO, EQ, 11-Oct-2019,1790.1,1799.0,1800.0,1741.55,1745.0,1749.65,1760.98,688813,12129.89,34195,101126,14.68,Aviation
2019-10-14,INDIGO, EQ, 14-Oct-2019,1749.65,1750.0,1772.9,1738.55,1763.15,1766.75,1760.01,456697,8037.92,21830,82005,17.96,Aviation
2019-10-15,INDIGO, EQ, 15-Oct-2019,1766.75,1769.1,1771.7,1748.0,1752.55,1752.05,1758.56,561407,9872.65,31229,157400,28.04,Aviation
2019-10-16,INDIGO, EQ, 16-Oct-2019,1752.05,1753.0,1763.65,1706.3,1719.7,1725.8,1730.1,926096,16022.38,33068,146066,15.77,Aviation
2019-10-17,INDIGO, EQ, 17-Oct-2019,1725.8,1717.0,1742.15,1692.15,1734.0,1736.35,1716.31,1367203,23465.48,64616,272590,19.94,Aviation
2019-10-18,INDIGO, EQ, 18-Oct-2019,1736.35,1729.0,1748.0,1706.05,1724.1,1729.9,1727.16,1000146,17274.1,38322,250521,25.05,Aviation
2019-10-22,INDIGO, EQ, 22-Oct-2019,1729.9,1719.0,1719.0,1666.5,1668.8,1674.35,1686.57,1111643,18748.63,75568,333385,29.99,Aviation
2019-10-23,INDIGO, EQ, 23-Oct-2019,1674.35,1667.0,1689.9,1641.1,1645.6,1654.55,1667.13,1049669,17499.34,37333,215572,20.54,Aviation
2019-10-24,INDIGO, EQ, 24-Oct-2019,1654.55,1658.7,1692.35,1637.45,1665.0,1664.9,1662.13,1157546,19239.88,55453,301750,26.07,Aviation
2019-10-25,INDIGO, EQ, 25-Oct-2019,1664.9,1611.0,1644.3,1452.55,1469.5,1467.8,1521.14,11229256,170812.23,309503,2389869,21.28,Aviation
2019-10-27,INDIGO, EQ, 27-Oct-2019,1467.8,1466.95,1478.9,1446.0,1458.0,1453.35,1457.41,504081,7346.5,18268,41735,8.28,Aviation
2019-10-29,INDIGO, EQ, 29-Oct-2019,1453.35,1394.0,1434.45,1377.95,1415.0,1409.75,1407.53,4126810,58086.2,129470,849107,20.58,Aviation
2019-10-30,INDIGO, EQ, 30-Oct-2019,1409.75,1450.0,1534.4,1420.0,1511.0,1512.05,1490.58,6003645,89489.15,178324,736813,12.27,Aviation
2019-10-31,INDIGO, EQ, 31-Oct-2019,1512.05,1521.5,1537.85,1450.0,1456.1,1456.85,1488.0,3358096,49968.32,103252,784129,23.35,Aviation
2019-11-01,INDIGO, EQ, 01-Nov-2019,1456.85,1472.3,1507.35,1429.0,1435.05,1438.65,1467.36,4453395,65347.32,158728,755523,16.97,Aviation
2019-11-04,INDIGO, EQ, 04-Nov-2019,1438.65,1440.05,1459.65,1421.6,1435.1,1436.4,1440.06,1638666,23597.79,69114,179350,10.94,Aviation
2019-11-05,INDIGO, EQ, 05-Nov-2019,1436.4,1432.0,1503.0,1411.85,1465.0,1462.45,1464.5,4797987,70266.34,172554,392139,8.17,Aviation
2019-11-06,INDIGO, EQ, 06-Nov-2019,1462.45,1474.0,1494.75,1451.05,1463.55,1468.65,1470.31,1114009,16379.36,46268,208413,18.71,Aviation
