Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,INDUSINDBK, EQ, 23-Aug-2019,1335.65,1339.6,1343.65,1280.1,1311.85,1310.5,1315.2,7921907,104189.19,176575,2739142,34.58
2019-10-01,INDUSINDBK, EQ, 01-Oct-2019,1383.55,1397.0,1410.2,1188.05,1306.0,1298.05,1306.83,13839863,180862.88,351623,3049512,22.03
2019-10-03,INDUSINDBK, EQ, 03-Oct-2019,1298.05,1295.0,1309.45,1220.0,1258.0,1255.5,1262.85,13455663,169925.29,332191,3134380,23.29
2019-10-04,INDUSINDBK, EQ, 04-Oct-2019,1255.5,1280.0,1292.95,1255.25,1259.0,1265.3,1274.22,7423301,94589.11,211000,1778582,23.96
2019-10-07,INDUSINDBK, EQ, 07-Oct-2019,1265.3,1275.0,1276.0,1215.0,1245.0,1241.05,1241.09,5212929,64696.88,145285,821267,15.75
2019-10-09,INDUSINDBK, EQ, 09-Oct-2019,1241.05,1241.0,1319.0,1235.6,1309.5,1308.65,1282.42,6865376,88042.68,216675,1253079,18.25
2019-10-10,INDUSINDBK, EQ, 10-Oct-2019,1308.65,1310.0,1321.0,1220.0,1229.55,1228.5,1272.91,13975918,177901.5,406438,1760815,12.6
2019-10-11,INDUSINDBK, EQ, 11-Oct-2019,1228.5,1235.95,1253.95,1191.35,1227.0,1223.2,1219.08,12987781,158331.58,342995,2820169,21.71
2019-10-14,INDUSINDBK, EQ, 14-Oct-2019,1223.2,1240.0,1264.9,1227.9,1250.45,1250.6,1249.68,4786662,59817.77,130588,555633,11.61
2019-10-15,INDUSINDBK, EQ, 15-Oct-2019,1250.6,1256.95,1277.55,1236.0,1271.55,1272.25,1258.71,4669980,58781.38,135025,940186,20.13
2019-10-16,INDUSINDBK, EQ, 16-Oct-2019,1272.25,1274.95,1285.0,1265.0,1275.0,1274.5,1275.23,4118174,52516.07,107233,1482378,36.0
2019-10-17,INDUSINDBK, EQ, 17-Oct-2019,1274.5,1276.0,1345.0,1270.0,1340.0,1340.1,1312.56,5237964,68751.26,138069,1096978,20.94
2019-10-18,INDUSINDBK, EQ, 18-Oct-2019,1340.1,1332.0,1361.7,1317.1,1338.5,1342.65,1340.42,5604223,75120.09,126249,1404930,25.07
2019-10-22,INDUSINDBK, EQ, 22-Oct-2019,1342.65,1340.0,1357.85,1320.0,1341.0,1341.0,1344.01,3577455,48081.21,122420,1013240,28.32
2019-10-23,INDUSINDBK, EQ, 23-Oct-2019,1341.0,1339.0,1347.95,1309.65,1332.5,1332.6,1326.67,3003881,39851.44,81080,633923,21.1
2019-10-24,INDUSINDBK, EQ, 24-Oct-2019,1332.6,1340.2,1347.85,1272.0,1289.0,1283.0,1298.96,6833303,88762.08,168672,2384091,34.89
2019-10-25,INDUSINDBK, EQ, 25-Oct-2019,1283.0,1288.0,1288.0,1260.1,1271.2,1272.05,1271.57,4141541,52662.62,109821,1529045,36.92
2019-10-27,INDUSINDBK, EQ, 27-Oct-2019,1272.05,1282.0,1284.0,1273.55,1274.0,1276.65,1277.76,303126,3873.23,8226,82033,27.06
2019-10-29,INDUSINDBK, EQ, 29-Oct-2019,1276.65,1275.0,1326.0,1264.15,1314.0,1315.3,1301.05,4248732,55278.03,115784,1470676,34.61
2019-10-30,INDUSINDBK, EQ, 30-Oct-2019,1315.3,1315.0,1323.95,1282.4,1294.0,1297.2,1304.56,3333740,43490.72,115798,954746,28.64
2019-10-31,INDUSINDBK, EQ, 31-Oct-2019,1297.2,1303.95,1344.0,1290.0,1313.25,1313.2,1314.32,7559742,99359.55,179325,3127272,41.37
2019-11-01,INDUSINDBK, EQ, 01-Nov-2019,1313.2,1328.0,1385.85,1316.2,1379.0,1379.85,1363.81,7803620,106426.73,184620,2313841,29.65
2019-11-04,INDUSINDBK, EQ, 04-Nov-2019,1379.85,1374.95,1393.9,1350.0,1351.9,1352.3,1371.86,3641707,49959.01,109587,1141437,31.34
2019-11-05,INDUSINDBK, EQ, 05-Nov-2019,1352.3,1354.0,1360.3,1315.0,1321.25,1320.1,1337.5,2656825,35535.09,102175,789248,29.71
2019-11-06,INDUSINDBK, EQ, 06-Nov-2019,1320.1,1321.25,1353.6,1310.0,1344.0,1343.0,1335.76,3214840,42942.6,82729,741575,23.07
2019-11-07,INDUSINDBK, EQ, 07-Nov-2019,1343.0,1350.0,1397.85,1350.0,1380.0,1381.9,1379.56,5563949,76757.95,141958,2211111,39.74
2019-11-08,INDUSINDBK, EQ, 08-Nov-2019,1381.9,1367.05,1453.95,1355.55,1422.0,1422.8,1419.09,8506906,120720.3,188884,2693740,31.67
2019-11-11,INDUSINDBK, EQ, 11-Nov-2019,1422.8,1416.0,1454.9,1407.4,1445.0,1445.05,1433.19,3521409,50468.34,96412,964973,27.4
2019-11-13,INDUSINDBK, EQ, 13-Nov-2019,1445.05,1445.0,1462.45,1408.55,1411.2,1414.2,1432.8,4578522,65600.97,108826,1518386,33.16
2019-11-14,INDUSINDBK, EQ, 14-Nov-2019,1414.2,1399.7,1399.7,1353.2,1373.0,1375.1,1371.43,5279888,72409.83,160818,1551517,29.39
2019-11-15,INDUSINDBK, EQ, 15-Nov-2019,1375.1,1377.1,1388.2,1345.7,1358.0,1359.0,1366.45,4476838,61173.9,109261,1356492,30.3
2019-11-18,INDUSINDBK, EQ, 18-Nov-2019,1359.0,1361.4,1379.9,1359.5,1374.5,1374.4,1370.91,2034198,27887.0,65229,264079,12.98
2019-11-19,INDUSINDBK, EQ, 19-Nov-2019,1374.4,1382.0,1409.0,1374.55,1395.0,1392.75,1390.29,4880427,67852.32,111271, 2247051, 46.04
2019-11-20,INDUSINDBK, EQ, 20-Nov-2019,1392.75,1402.0,1478.75,1402.0,1461.2,1469.3,1449.95,7334715,106349.66,161221, 2342906, 31.94
2019-11-21,INDUSINDBK, EQ, 21-Nov-2019,1469.3,1480.1,1502.05,1437.6,1448.0,1446.15,1463.43,6229283,91161.01,194618,2243742,36.02
2019-11-22,INDUSINDBK, EQ, 22-Nov-2019,1446.15,1449.95,1460.8,1437.0,1448.95,1446.15,1446.99,2062280,29840.95,62612,432186,20.96
2019-11-25,INDUSINDBK, EQ, 25-Nov-2019,1446.15,1446.15,1499.15,1446.15,1495.2,1496.85,1479.78,3029183,44825.4,83393,850568,28.08
2019-11-26,INDUSINDBK, EQ, 26-Nov-2019,1496.85,1495.0,1521.5,1480.5,1519.75,1515.9,1507.61,6748616,101742.61,128890, 3521344, 52.18
2019-11-27,INDUSINDBK, EQ, 27-Nov-2019,1515.9,1519.0,1537.4,1508.0,1526.0,1526.35,1523.5,4156766,63328.18,89766,1705782,41.04
2019-11-28,INDUSINDBK, EQ, 28-Nov-2019,1526.35,1526.0,1575.8,1520.0,1564.35,1568.25,1544.91,5080043,78482.21,98640,2328696,45.84
2019-11-29,INDUSINDBK, EQ, 29-Nov-2019,1568.25,1556.0,1581.6,1552.05,1569.0,1569.1,1567.82,5852032,91749.16,118902,2969036,50.74
2019-12-02,INDUSINDBK, EQ, 02-Dec-2019,1569.1,1592.0,1596.55,1561.2,1579.1,1576.0,1575.25,3906554,61538.08,101339, 2215934, 56.72
2019-12-03,INDUSINDBK, EQ, 03-Dec-2019,1576.0,1579.2,1580.0,1532.9,1542.15,1544.7,1552.14,3594869,55797.32,151802,1810105,50.35
2019-12-04,INDUSINDBK, EQ, 04-Dec-2019,1544.7,1538.4,1554.0,1523.0,1544.55,1544.3,1537.53,3417501,52545.01,108294,1275946,37.34
2019-12-05,INDUSINDBK, EQ, 05-Dec-2019,1544.3,1544.3,1548.9,1506.9,1508.8,1509.75,1523.81,3222397,49103.26,82559,1330287,41.28
2019-12-06,INDUSINDBK, EQ, 06-Dec-2019,1509.75,1517.0,1518.65,1456.0,1458.7,1465.85,1487.18,2990724,44477.51,82494,700282,23.42
2019-12-09,INDUSINDBK, EQ, 09-Dec-2019,1465.85,1457.0,1484.85,1445.35,1450.0,1450.0,1463.33,2831428,41433.2,81202,857722,30.29
2019-12-10,INDUSINDBK, EQ, 10-Dec-2019,1450.0,1460.0,1461.5,1408.6,1412.2,1411.6,1427.14,2751068,39261.69,109329,972039,35.33
2019-12-11,INDUSINDBK, EQ, 11-Dec-2019,1411.6,1418.7,1432.0,1396.15,1428.6,1420.65,1411.92,3263070,46071.81,142445,1068537,32.75
2019-12-12,INDUSINDBK, EQ, 12-Dec-2019,1420.65,1424.25,1451.0,1421.2,1440.8,1444.15,1439.47,2490582,35851.16,87652,537442,21.58
2019-12-13,INDUSINDBK, EQ, 13-Dec-2019,1444.15,1449.75,1493.95,1449.75,1493.0,1485.4,1471.24,3512530,51677.63,83358,1275829,36.32
2019-12-16,INDUSINDBK, EQ, 16-Dec-2019,1485.4,1504.5,1507.0,1483.25,1489.45,1493.4,1495.78,2909431,43518.74,88724,912893,31.38
2019-12-17,INDUSINDBK, EQ, 17-Dec-2019,1493.4,1500.1,1508.5,1486.2,1491.5,1492.75,1495.98,2861481,42807.2,95092,1250506,43.7
