Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2020-12-18,INDUSTOWER, EQ, 18-Dec-2020,241.65,242.9,242.9,230.0,232.1,231.15,233.98,4581029,10718.47,58267,1848985,40.36,Others
2020-12-21,INDUSTOWER, EQ, 21-Dec-2020,231.15,231.15,247.3,227.75,230.05,232.95,237.56,9342277,22193.45,83293,1283634,13.74,Others
2020-12-22,INDUSTOWER, EQ, 22-Dec-2020,232.95,231.0,234.25,224.2,231.9,232.75,230.74,3443881,7946.28,24334,1269046,36.85,Others
2020-12-23,INDUSTOWER, EQ, 23-Dec-2020,232.75,233.9,238.2,226.7,236.2,236.75,232.15,4527973,10511.55,34653,2260197,49.92,Others
2020-12-24,INDUSTOWER, EQ, 24-Dec-2020,236.75,237.6,243.5,235.15,239.45,239.1,240.17,3503211,8413.56,24291,1154348,32.95,Others
2020-12-28,INDUSTOWER, EQ, 28-Dec-2020,239.1,241.0,241.0,235.4,236.05,236.95,237.48,4188156,9945.99,20626,2598710,62.05,Others
2020-12-29,INDUSTOWER, EQ, 29-Dec-2020,236.95,237.3,239.9,230.2,233.4,235.0,234.45,4352673,10204.71,29241,1444685,33.19,Others
2020-12-30,INDUSTOWER, EQ, 30-Dec-2020,235.0,236.05,237.4,229.05,231.25,231.45,232.37,4714009,10954.16,36736,1575903,33.43,Others
2020-12-31,INDUSTOWER, EQ, 31-Dec-2020,231.45,233.25,233.25,229.1,229.95,229.9,230.95,2544436,5876.35,18472,1309967,51.48,Others
2021-01-01,INDUSTOWER, EQ, 01-Jan-2021,229.9,230.7,237.2,230.6,236.2,235.45,235.05,2760010,6487.49,19631,681018,24.67,Others
2021-01-04,INDUSTOWER, EQ, 04-Jan-2021,235.45,239.95,242.8,237.05,241.6,241.4,239.14,8979802,21474.35,40881,6396461,71.23,Others
