Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,INFY, EQ, 23-Aug-2019,795.7,796.45,809.95,795.8,801.25,802.2,802.51,6895015,55333.07,151009,3671650,53.25
2019-10-01,INFY, EQ, 01-Oct-2019,805.65,807.0,807.55,791.55,794.95,793.55,796.66,5881438,46854.87,172253,3614822,61.46
2019-10-03,INFY, EQ, 03-Oct-2019,793.55,792.55,797.85,784.15,786.4,785.6,791.93,5497672,43537.93,166567,3384617,61.56
2019-10-04,INFY, EQ, 04-Oct-2019,785.6,790.0,797.6,787.05,792.3,793.45,794.32,8201713,65148.2,114239,6218101,75.81
2019-10-07,INFY, EQ, 07-Oct-2019,793.45,794.85,802.0,786.1,788.8,789.55,791.09,3679845,29110.78,118304,1978821,53.77
2019-10-09,INFY, EQ, 09-Oct-2019,789.55,795.45,795.9,778.8,783.75,783.65,783.69,6335025,49646.69,148580,4154272,65.58
2019-10-10,INFY, EQ, 10-Oct-2019,783.65,785.4,794.7,776.6,782.5,783.05,786.97,10402917,81868.21,123048,7300873,70.18
2019-10-11,INFY, EQ, 11-Oct-2019,783.05,781.5,823.8,776.6,815.0,814.8,807.01,20636344,166537.58,318660,11225299,54.4
2019-10-14,INFY, EQ, 14-Oct-2019,814.8,786.75,797.0,780.0,786.3,786.1,789.64,15150858,119637.46,308844,7057980,46.58
2019-10-15,INFY, EQ, 15-Oct-2019,786.1,773.1,775.95,765.0,769.0,768.3,769.68,13762133,105923.76,298596,8337226,60.58
2019-10-16,INFY, EQ, 16-Oct-2019,768.3,765.25,775.95,761.55,771.0,771.45,770.12,10767032,82918.84,258065,5624891,52.24
2019-10-17,INFY, EQ, 17-Oct-2019,771.45,767.0,770.55,765.1,769.4,769.5,768.53,9860495,75781.23,202471,7175174,72.77
2019-10-18,INFY, EQ, 18-Oct-2019,769.5,763.8,773.8,760.0,767.5,767.85,767.62,10037200,77047.59,187743,5535843,55.15
2019-10-22,INFY, EQ, 22-Oct-2019,767.85,691.1,691.1,638.35,640.0,643.55,658.16,90152532,593344.53,1643015,57759158,64.07
2019-10-23,INFY, EQ, 23-Oct-2019,643.55,630.0,656.65,615.1,650.35,650.6,643.94,60516887,389691.48,1059289,28705698,47.43
2019-10-24,INFY, EQ, 24-Oct-2019,650.6,650.0,653.2,632.0,634.7,635.35,643.72,25666433,165218.76,393942,14070797,54.82
2019-10-25,INFY, EQ, 25-Oct-2019,635.35,647.0,652.5,636.0,637.1,637.45,643.66,16549337,106522.15,327171,8298797,50.15
2019-10-27,INFY, EQ, 27-Oct-2019,637.45,651.1,652.5,645.55,649.95,648.85,648.43,2945433,19099.15,67356,1646327,55.89
2019-10-29,INFY, EQ, 29-Oct-2019,648.85,651.0,653.75,647.0,650.9,650.65,650.33,16709764,108669.3,309792,11733053,70.22
2019-10-30,INFY, EQ, 30-Oct-2019,650.65,660.4,671.4,656.2,662.25,660.6,664.01,22879467,151922.77,319118,13197793,57.68
2019-10-31,INFY, EQ, 31-Oct-2019,660.6,668.4,695.45,666.1,687.0,685.6,685.39,27405901,187836.9,424958,12137949,44.29
2019-11-01,INFY, EQ, 01-Nov-2019,685.6,690.0,694.0,682.6,688.9,687.9,688.47,9713519,66874.69,181647,4209298,43.33
2019-11-04,INFY, EQ, 04-Nov-2019,687.9,681.8,732.5,678.15,710.1,709.0,714.2,29381982,209846.07,384467,7483448,25.47
2019-11-05,INFY, EQ, 05-Nov-2019,709.0,708.75,708.75,691.5,695.05,696.1,699.32,12897805,90197.5,204502,5126393,39.75
2019-11-06,INFY, EQ, 06-Nov-2019,696.1,695.8,721.5,692.0,712.5,712.3,710.66,21372589,151886.85,344247,7762086,36.32
2019-11-07,INFY, EQ, 07-Nov-2019,712.3,717.0,724.35,712.1,720.25,720.1,718.75,13733737,98711.54,205054,7318796,53.29
2019-11-08,INFY, EQ, 08-Nov-2019,720.1,722.0,724.25,705.5,708.3,708.15,716.33,8585630,61501.38,114589,4349437,50.66
2019-11-11,INFY, EQ, 11-Nov-2019,708.15,698.9,707.2,698.0,703.1,704.4,703.64,6951494,48913.36,118370,3050177,43.88
2019-11-13,INFY, EQ, 13-Nov-2019,704.4,696.5,700.0,687.75,691.45,691.35,695.08,9973690,69325.39,182739,4810242,48.23
2019-11-14,INFY, EQ, 14-Nov-2019,691.35,696.35,709.8,696.35,705.05,705.3,705.92,10539902,74403.18,172258,4673617,44.34
2019-11-15,INFY, EQ, 15-Nov-2019,705.3,709.05,712.95,702.3,704.6,703.9,705.52,7362623,51944.72,122419,4660400,63.3
2019-11-18,INFY, EQ, 18-Nov-2019,703.9,705.0,710.0,699.3,709.9,705.2,703.53,7490916,52700.94,140015,4896848,65.37
2019-11-19,INFY, EQ, 19-Nov-2019,705.2,709.9,714.0,705.0,712.8,712.85,710.87,6495885,46177.27,127941, 3654389, 56.26
2019-11-20,INFY, EQ, 20-Nov-2019,712.85,712.8,715.0,705.0,713.0,713.0,710.95,6142171,43667.91,87462, 3748676, 61.03
2019-11-21,INFY, EQ, 21-Nov-2019,713.0,715.5,721.45,710.5,712.15,713.25,714.88,9692973,69293.53,127699,6217311,64.14
2019-11-22,INFY, EQ, 22-Nov-2019,713.25,711.75,712.0,685.1,692.95,693.2,693.38,14415826,99956.52,223156,5835762,40.48
2019-11-25,INFY, EQ, 25-Nov-2019,693.2,693.35,705.15,693.2,699.0,698.1,698.13,7334511,51204.36,109264,3806774,51.9
2019-11-26,INFY, EQ, 26-Nov-2019,698.1,705.0,707.25,686.0,692.6,690.6,693.08,27253106,188887.02,163058, 18766289, 68.86
2019-11-27,INFY, EQ, 27-Nov-2019,690.6,694.25,697.65,690.1,696.15,695.75,694.39,3861635,26814.78,64039,2127806,55.1
2019-11-28,INFY, EQ, 28-Nov-2019,695.75,699.1,703.35,694.05,701.45,701.85,698.53,4837683,33792.7,84619,2196270,45.4
2019-11-29,INFY, EQ, 29-Nov-2019,701.85,700.9,702.3,691.55,695.8,696.35,695.72,4262379,29654.02,110226,2568211,60.25
2019-12-02,INFY, EQ, 02-Dec-2019,696.35,703.1,704.0,690.3,692.75,692.7,693.51,9383736,65076.84,102880, 7134359, 76.03
2019-12-03,INFY, EQ, 03-Dec-2019,692.7,692.7,699.7,688.55,699.0,698.35,696.23,5239013,36475.54,84499,2780779,53.08
2019-12-04,INFY, EQ, 04-Dec-2019,698.35,697.0,710.5,693.35,708.25,708.85,706.09,7427886,52447.68,169304,3885827,52.31
2019-12-05,INFY, EQ, 05-Dec-2019,708.85,706.45,715.9,703.8,714.1,714.85,712.06,4814422,34281.39,76989,1946177,40.42
2019-12-06,INFY, EQ, 06-Dec-2019,714.85,715.95,720.0,709.6,714.5,715.1,715.43,5226096,37388.86,79319,2470841,47.28
2019-12-09,INFY, EQ, 09-Dec-2019,715.1,716.0,722.35,714.25,716.05,717.25,718.66,6435865,46251.77,114112,3793800,58.95
2019-12-10,INFY, EQ, 10-Dec-2019,717.25,713.0,718.5,710.0,713.45,714.55,715.42,4457939,31892.85,81372,2491263,55.88
2019-12-11,INFY, EQ, 11-Dec-2019,714.55,716.6,722.7,713.0,720.0,721.05,718.49,6043554,43422.45,125702,3829712,63.37
2019-12-12,INFY, EQ, 12-Dec-2019,721.05,718.5,720.7,699.55,702.1,702.1,706.03,11112042,78454.17,163350,4701874,42.31
2019-12-13,INFY, EQ, 13-Dec-2019,702.1,700.35,712.9,700.35,711.5,711.3,708.5,10302412,72992.15,132030,5440986,52.81
2019-12-16,INFY, EQ, 16-Dec-2019,711.3,712.3,720.2,710.2,714.25,714.0,715.89,5616324,40206.94,116838,3181046,56.64
2019-12-17,INFY, EQ, 17-Dec-2019,714.0,719.7,731.25,715.0,730.5,729.7,726.51,10525565,76469.18,193372,5918984,56.23
2019-12-18,INFY, EQ, 18-Dec-2019,729.7,731.0,737.3,722.75,733.4,732.45,732.13,12215295,89432.42,210673,6987100,57.2
2019-12-19,INFY, EQ, 19-Dec-2019,732.45,733.5,735.95,724.6,732.0,730.85,729.59,7199210,52524.75,165219,3944237,54.79
2019-12-20,INFY, EQ, 20-Dec-2019,730.85,731.0,735.0,728.25,730.0,731.55,731.45,7794167,57010.77,131404,4269114,54.77
2019-12-23,INFY, EQ, 23-Dec-2019,731.55,732.15,737.3,731.65,735.95,736.0,734.61,4975608,36551.28,80052,3045794,61.21
2019-12-24,INFY, EQ, 24-Dec-2019,736.0,736.95,736.95,728.3,734.25,733.4,732.75,2890759,21181.93,50306,1365090,47.22
2019-12-26,INFY, EQ, 26-Dec-2019,733.4,732.0,734.55,726.55,729.5,728.95,730.42,3821806,27915.28,48763,2112825,55.28
2019-12-27,INFY, EQ, 27-Dec-2019,728.95,729.75,737.5,728.85,736.55,736.95,734.36,3399094,24961.72,65467,1848140,54.37
2019-12-30,INFY, EQ, 30-Dec-2019,736.95,736.1,737.95,727.25,732.5,732.9,732.53,5368416,39325.22,115398,3267316,60.86
2019-12-31,INFY, EQ, 31-Dec-2019,732.9,729.7,737.75,725.45,732.0,731.15,732.75,6927885,50764.2,156522,2954104,42.64
2020-01-01,INFY, EQ, 01-Jan-2020,731.15,735.0,740.0,732.55,739.35,736.85,735.35,2112415,15533.69,36769,561646,26.59
2020-01-02,INFY, EQ, 02-Jan-2020,736.85,738.9,740.8,730.9,735.75,734.7,735.22,5658200,41600.25,102483,3413440,60.33
2020-01-03,INFY, EQ, 03-Jan-2020,734.7,733.9,748.0,733.9,745.0,746.0,744.67,7882938,58701.73,105632,3682521,46.72
