Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,IOC, EQ, 23-Aug-2019,117.8,117.0,124.15,116.25,122.7,122.8,120.65,8058075,9722.05,60349,2530283,31.4
2019-10-01,IOC, EQ, 01-Oct-2019,147.4,149.8,156.0,145.15,149.0,148.55,151.04,27392972,41373.19,137908,5474922,19.99
2019-10-03,IOC, EQ, 03-Oct-2019,148.55,150.9,153.95,149.55,152.95,151.75,151.49,25503112,38633.98,118250,9687783,37.99
2019-10-04,IOC, EQ, 04-Oct-2019,151.75,153.25,153.8,147.3,150.85,151.05,150.07,18259486,27402.5,105668,6248460,34.22
2019-10-07,IOC, EQ, 07-Oct-2019,151.05,149.9,150.95,146.8,148.65,148.7,148.93,14942849,22254.86,59110,6784565,45.4
2019-10-09,IOC, EQ, 09-Oct-2019,148.7,147.55,150.0,147.0,148.15,148.2,148.7,16990515,25265.2,100409,9195072,54.12
2019-10-10,IOC, EQ, 10-Oct-2019,148.2,148.2,149.65,146.6,148.1,148.2,148.14,14129514,20931.4,44364,7087123,50.16
2019-10-11,IOC, EQ, 11-Oct-2019,148.2,147.2,147.85,140.65,143.3,143.4,144.43,11999248,17330.69,66719,2954532,24.62
2019-10-14,IOC, EQ, 14-Oct-2019,143.4,144.0,147.4,144.0,144.9,144.75,145.85,11156890,16272.13,51275,3460606,31.02
2019-10-15,IOC, EQ, 15-Oct-2019,144.75,145.0,148.35,145.0,146.7,146.45,147.05,9841005,14471.41,60352,2454522,24.94
2019-10-16,IOC, EQ, 16-Oct-2019,146.45,147.25,149.0,145.0,145.8,145.55,146.65,13185854,19336.58,75262,4413143,33.47
2019-10-17,IOC, EQ, 17-Oct-2019,145.55,145.9,147.0,143.75,146.4,146.4,145.64,9554558,13915.53,69943,3859655,40.4
2019-10-18,IOC, EQ, 18-Oct-2019,146.4,146.1,148.2,144.75,145.55,145.6,146.58,13907954,20385.77,72385,7280799,52.35
2019-10-22,IOC, EQ, 22-Oct-2019,145.6,147.1,148.1,145.55,146.75,146.45,146.69,11908068,17468.49,80210,5827298,48.94
2019-10-23,IOC, EQ, 23-Oct-2019,146.45,145.45,147.55,144.1,144.3,144.5,145.45,7145255,10392.49,67965,2962828,41.47
2019-10-24,IOC, EQ, 24-Oct-2019,144.5,144.65,144.95,141.0,141.45,141.3,142.07,7913928,11243.71,65819,3140134,39.68
2019-10-25,IOC, EQ, 25-Oct-2019,141.3,142.5,144.4,140.05,141.75,142.1,142.71,9777982,13953.9,64821,2206898,22.57
2019-10-27,IOC, EQ, 27-Oct-2019,142.1,143.4,143.45,142.15,142.7,142.7,142.66,628497,896.62,6370,286080,45.52
2019-10-29,IOC, EQ, 29-Oct-2019,142.7,143.25,146.25,143.2,144.3,144.35,144.78,9527101,13793.42,57953,4176274,43.84
2019-10-30,IOC, EQ, 30-Oct-2019,144.35,146.5,148.95,145.55,147.15,147.15,147.18,11020054,16219.08,78957,3805375,34.53
2019-10-31,IOC, EQ, 31-Oct-2019,147.15,148.0,148.75,143.65,144.0,146.8,147.19,14450893,21270.12,68928,5888673,40.75
2019-11-01,IOC, EQ, 01-Nov-2019,146.8,141.0,144.0,140.25,142.65,142.65,142.27,18291841,26023.74,104097,3511332,19.2
2019-11-04,IOC, EQ, 04-Nov-2019,142.65,142.65,142.7,138.1,138.55,138.7,140.25,11549826,16198.14,74529,4740728,41.05
2019-11-05,IOC, EQ, 05-Nov-2019,138.7,138.0,139.5,136.2,137.05,137.0,137.52,8989792,12362.4,79559,3339005,37.14
2019-11-06,IOC, EQ, 06-Nov-2019,137.0,137.35,138.15,135.3,135.65,135.6,136.08,10621064,14453.45,47215,5664543,53.33
2019-11-07,IOC, EQ, 07-Nov-2019,135.6,136.7,136.8,135.1,135.95,135.85,135.77,6545946,8887.12,31906,2445741,37.36
2019-11-08,IOC, EQ, 08-Nov-2019,135.85,135.95,135.95,133.7,133.8,134.05,134.72,6571737,8853.73,32877,2637677,40.14
2019-11-11,IOC, EQ, 11-Nov-2019,134.05,134.3,135.95,133.7,135.4,135.6,135.01,6224647,8403.65,33161,2025684,32.54
2019-11-13,IOC, EQ, 13-Nov-2019,135.6,135.6,135.6,133.15,133.95,133.85,134.18,5808305,7793.52,31355,2915868,50.2
2019-11-14,IOC, EQ, 14-Nov-2019,133.85,133.2,140.0,131.4,134.65,136.85,135.35,15719623,21276.02,74596,3825856,24.34
2019-11-15,IOC, EQ, 15-Nov-2019,136.85,136.85,136.9,131.2,131.55,131.7,132.95,11256676,14965.57,61354,4035839,35.85
2019-11-18,IOC, EQ, 18-Nov-2019,131.7,132.0,133.2,131.2,132.5,132.55,132.46,7987701,10580.24,53155,2038394,25.52
2019-11-19,IOC, EQ, 19-Nov-2019,132.55,132.4,133.6,131.75,133.5,133.0,132.66,5956180,7901.69,40775, 2710275, 45.50
2019-11-20,IOC, EQ, 20-Nov-2019,133.0,133.7,134.25,129.8,131.0,130.9,131.53,18009295,23687.06,90207, 8211109, 45.59
2019-11-21,IOC, EQ, 21-Nov-2019,130.9,131.4,131.8,128.4,128.55,128.9,129.97,9151096,11893.93,58311,3725973,40.72
2019-11-22,IOC, EQ, 22-Nov-2019,128.9,128.65,130.4,128.35,129.85,129.8,129.71,6729096,8728.19,31414,2126836,31.61
2019-11-25,IOC, EQ, 25-Nov-2019,129.8,129.8,131.7,129.15,130.7,130.85,130.72,5433980,7103.13,39639,1672412,30.78
2019-11-26,IOC, EQ, 26-Nov-2019,130.85,130.7,132.7,128.75,129.35,129.3,130.08,13821749,17978.86,62126, 6062947, 43.87
2019-11-27,IOC, EQ, 27-Nov-2019,129.3,129.35,131.65,129.05,131.05,131.1,130.25,6228951,8113.48,32173,1954605,31.38
2019-11-28,IOC, EQ, 28-Nov-2019,131.1,130.95,132.9,130.1,132.7,132.55,131.82,9785746,12899.62,39633,4565821,46.66
2019-11-29,IOC, EQ, 29-Nov-2019,132.55,133.0,133.7,130.7,130.9,131.4,132.18,6325190,8360.45,37829,2667256,42.17
2019-12-02,IOC, EQ, 02-Dec-2019,131.4,131.5,131.6,128.0,128.8,128.65,129.29,6852070,8858.79,40841, 3330835, 48.61
2019-12-03,IOC, EQ, 03-Dec-2019,128.65,128.95,129.5,127.65,128.2,128.5,128.43,5156477,6622.65,32757,1947102,37.76
2019-12-04,IOC, EQ, 04-Dec-2019,128.5,127.95,129.4,126.5,127.05,126.85,127.56,5662088,7222.82,33127,2819417,49.79
2019-12-05,IOC, EQ, 05-Dec-2019,126.85,126.45,128.95,125.8,125.9,125.95,127.15,8707119,11071.18,57543,2814504,32.32
