Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,IPCALAB, EQ, 23-Aug-2019,959.05,961.35,963.0,947.2,959.0,957.75,958.13,197809,1895.26,14054,168941,85.41,Others
2019-10-01,IPCALAB, EQ, 01-Oct-2019,903.0,915.0,915.0,884.3,893.5,894.85,890.27,273871,2438.19,16617,226594,82.74,Others
2019-10-03,IPCALAB, EQ, 03-Oct-2019,894.85,899.9,910.0,880.0,899.0,904.95,895.63,167787,1502.76,11750,137470,81.93,Others
2019-10-04,IPCALAB, EQ, 04-Oct-2019,904.95,905.3,907.9,890.3,895.0,895.0,897.35,101465,910.49,7429,72765,71.71,Others
2019-10-07,IPCALAB, EQ, 07-Oct-2019,895.0,901.05,901.05,861.25,875.95,875.15,876.04,273814,2398.73,9684,238279,87.02,Others
2019-10-09,IPCALAB, EQ, 09-Oct-2019,875.15,872.0,875.15,851.7,863.4,864.15,865.13,172226,1489.98,31221,134928,78.34,Others
2019-10-10,IPCALAB, EQ, 10-Oct-2019,864.15,864.15,869.9,844.65,858.1,856.5,854.51,566790,4843.27,8088,532002,93.86,Others
2019-10-11,IPCALAB, EQ, 11-Oct-2019,856.5,860.0,906.7,854.0,861.25,861.75,867.18,257113,2229.64,13010,182905,71.14,Others
2019-10-14,IPCALAB, EQ, 14-Oct-2019,861.75,864.0,894.3,856.75,893.8,890.05,874.31,191908,1677.87,18212,95906,49.97,Others
2019-10-15,IPCALAB, EQ, 15-Oct-2019,890.05,886.25,890.0,861.1,878.0,882.5,879.03,430945,3788.12,15038,378048,87.73,Others
2019-10-16,IPCALAB, EQ, 16-Oct-2019,882.5,884.9,897.55,877.1,894.4,892.3,887.45,71159,631.5,8639,42170,59.26,Others
2019-10-17,IPCALAB, EQ, 17-Oct-2019,892.3,890.0,918.8,886.85,912.0,913.2,909.05,60951,554.08,7649,30162,49.49,Others
2019-10-18,IPCALAB, EQ, 18-Oct-2019,913.2,915.0,954.0,915.0,949.7,946.7,936.24,168190,1574.66,10600,124511,74.03,Others
2019-10-22,IPCALAB, EQ, 22-Oct-2019,946.7,952.0,955.0,920.5,927.25,927.15,930.8,149393,1390.56,17077,67628,45.27,Others
2019-10-23,IPCALAB, EQ, 23-Oct-2019,927.15,932.95,950.45,927.2,942.7,945.45,944.07,77228,729.09,3959,47773,61.86,Others
2019-10-24,IPCALAB, EQ, 24-Oct-2019,945.45,950.4,984.0,941.05,975.0,972.85,968.67,129435,1253.8,18474,88933,68.71,Others
2019-10-25,IPCALAB, EQ, 25-Oct-2019,972.85,972.85,981.0,952.05,980.0,977.45,957.3,370049,3542.46,7560,340523,92.02,Others
2019-10-27,IPCALAB, EQ, 27-Oct-2019,977.45,982.0,990.05,962.0,962.0,965.85,969.53,13460,130.5,824,7111,52.83,Others
2019-10-29,IPCALAB, EQ, 29-Oct-2019,965.85,962.0,996.5,957.45,986.9,984.05,988.44,589981,5831.59,7335,542512,91.95,Others
2019-10-30,IPCALAB, EQ, 30-Oct-2019,984.05,988.0,996.0,965.05,975.0,974.65,975.01,88829,866.09,6434,58168,65.48,Others
2019-10-31,IPCALAB, EQ, 31-Oct-2019,974.65,974.0,993.95,964.7,980.0,980.75,981.0,55427,543.74,7283,29330,52.92,Others
2019-11-01,IPCALAB, EQ, 01-Nov-2019,980.75,982.0,1057.0,982.0,1024.0,1023.6,1013.16,596127,6039.7,22571,389709,65.37,Others
2019-11-04,IPCALAB, EQ, 04-Nov-2019,1023.6,1025.0,1039.15,1001.0,1004.5,1005.4,1013.79,182399,1849.14,11675,122802,67.33,Others
2019-11-05,IPCALAB, EQ, 05-Nov-2019,1005.4,1006.0,1054.9,990.0,993.0,994.9,1016.18,251731,2558.04,15289,154044,61.19,Others
2019-11-06,IPCALAB, EQ, 06-Nov-2019,994.9,997.95,1025.0,991.85,1010.0,1011.15,1011.76,82767,837.41,6616,33674,40.69,Others
2019-11-07,IPCALAB, EQ, 07-Nov-2019,1011.15,1010.0,1105.0,1003.6,1061.0,1063.2,1065.5,1039240,11073.13,36229,456279,43.91,Others
