Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-10-14,IRCTC, EQ, 14-Oct-2019,320.0,626.0,743.8,625.0,733.0,727.75,692.91,45270607,313685.34,872378,13696306,30.25,Services
2019-10-15,IRCTC, EQ, 15-Oct-2019,727.75,736.0,747.4,696.05,716.25,713.15,719.08,10530041,75719.72,247733,1311908,12.46,Services
2019-10-16,IRCTC, EQ, 16-Oct-2019,713.15,714.0,721.0,698.25,700.0,700.65,705.33,3476306,24519.28,84792,770776,22.17,Services
2019-10-17,IRCTC, EQ, 17-Oct-2019,700.65,700.1,733.0,687.15,729.55,724.3,707.99,5032930,35632.73,128184,1254924,24.93,Services
2019-10-18,IRCTC, EQ, 18-Oct-2019,724.3,725.0,789.9,716.05,778.0,779.15,767.61,9733230,74712.91,235191,913567,9.39,Services
2019-10-22,IRCTC, EQ, 22-Oct-2019,779.15,786.95,866.75,781.0,848.0,844.7,840.23,9346788,78534.14,267170,1073155,11.48,Services
2019-10-23,IRCTC, EQ, 23-Oct-2019,844.7,866.0,909.9,866.0,908.05,900.3,891.93,9023269,80481.55,278751,920227,10.2,Services
2019-10-24,IRCTC, EQ, 24-Oct-2019,900.3,924.95,953.5,862.65,899.0,902.05,915.74,11871313,108710.37,340377,1592558,13.42,Services
2019-10-25,IRCTC, EQ, 25-Oct-2019,902.05,905.0,916.0,876.0,900.6,899.05,891.11,3849535,34303.47,139353,452659,11.76,Services
2019-10-27,IRCTC, EQ, 27-Oct-2019,899.05,911.0,925.0,895.0,906.25,907.7,910.1,1342494,12218.04,38374,275656,20.53,Services
2019-10-29,IRCTC, EQ, 29-Oct-2019,907.7,907.0,907.4,878.65,880.9,883.1,890.65,2023748,18024.52,68162,383976,18.97,Services
2019-10-30,IRCTC, EQ, 30-Oct-2019,883.1,881.0,920.0,880.85,889.3,890.45,903.67,3276203,29606.04,103348,466631,14.24,Services
2019-10-31,IRCTC, EQ, 31-Oct-2019,890.45,900.0,907.7,877.0,878.25,881.7,893.14,1839718,16431.28,63946,539278,29.31,Services
2019-11-01,IRCTC, EQ, 01-Nov-2019,881.7,885.0,907.95,883.1,889.8,890.5,894.42,1882230,16835.02,56969,383749,20.39,Services
2019-11-04,IRCTC, EQ, 04-Nov-2019,890.5,895.0,898.0,880.25,882.5,883.45,888.23,839167,7453.72,26795,213298,25.42,Services
2019-11-05,IRCTC, EQ, 05-Nov-2019,883.45,886.7,907.0,871.3,883.0,881.5,890.54,2038067,18149.76,53775,300481,14.74,Services
2019-11-06,IRCTC, EQ, 06-Nov-2019,881.5,885.0,895.0,881.0,885.0,884.3,887.18,990090,8783.9,25233,204771,20.68,Services
2019-11-07,IRCTC, EQ, 07-Nov-2019,884.3,889.0,892.0,880.1,880.3,881.5,885.04,775102,6859.96,20351,160085,20.65,Services
2019-11-08,IRCTC, EQ, 08-Nov-2019,881.5,879.75,891.0,872.3,874.0,876.9,882.76,948769,8375.39,26403,252504,26.61,Services
2019-11-11,IRCTC, EQ, 11-Nov-2019,876.9,886.0,943.35,884.0,943.15,932.9,921.0,5501875,50672.01,132028,1110711,20.19,Services
2019-11-13,IRCTC, EQ, 13-Nov-2019,932.9,955.0,980.9,903.2,923.5,932.05,949.91,6174470,58651.92,177671,1129118,18.29,Services
