Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2023-11-29,IREDA, EQ, 29-Nov-2023,32.0,50.0,60.0,50.0,60.0,60.0,54.9,579810954,318336.32,1002326,265054271,45.71,Others
2023-11-30,IREDA, EQ, 30-Nov-2023,60.0,64.3,68.9,60.55,66.1,65.3,66.01,391471914,258417.97,1039210,112622270,28.77,Others
2023-12-01,IREDA, EQ, 01-Dec-2023,65.3,67.0,68.4,62.3,62.7,62.75,64.62,144125388,93138.49,433518,46251907,32.09,Others
2023-12-04,IREDA, EQ, 04-Dec-2023,62.75,64.9,65.9,63.15,64.7,64.55,64.28,59388902,38175.43,201870,23685857,39.88,Others
2023-12-05,IREDA, EQ, 05-Dec-2023,64.55,64.9,65.0,62.85,63.15,63.05,63.65,36397214,23168.64,158227,19364448,53.2,Others
2023-12-06,IREDA, EQ, 06-Dec-2023,63.05,63.5,64.95,61.5,64.1,64.15,63.19,47249714,29857.34,146646,17627058,37.31,Others
2023-12-07,IREDA, EQ, 07-Dec-2023,64.15,64.15,64.85,63.45,64.1,64.2,64.21,23388127,15016.53,81022,11162623,47.73,Others
2023-12-08,IREDA, EQ, 08-Dec-2023,64.2,64.2,73.7,64.2,71.6,70.85,70.55,232352550,163931.34,413752,53040979,22.83,Others
2023-12-11,IREDA, EQ, 11-Dec-2023,70.85,74.0,85.0,73.4,85.0,85.0,79.88,193564938,154615.36,353454,46187263,23.86,Others
2023-12-12,IREDA, EQ, 12-Dec-2023,85.0,94.0,102.0,92.55,102.0,101.85,98.74,352556081,348107.2,936454,70897914,20.11,Others
2023-12-13,IREDA, EQ, 13-Dec-2023,101.85,104.6,112.0,98.9,112.0,112.0,107.72,200767357,216271.72,464530,40184212,20.02,Others
2023-12-14,IREDA, EQ, 14-Dec-2023,112.0,121.3,123.2,113.8,119.1,120.3,119.27,233953872,279027.63,756763,64032892,27.37,Others
2023-12-15,IREDA, EQ, 15-Dec-2023,120.3,120.4,121.0,108.3,108.3,108.3,111.81,107529568,120233.17,513417,47661353,44.32,Others
2023-12-18,IREDA, EQ, 18-Dec-2023,108.3,102.0,114.2,98.3,111.15,110.75,107.87,167648627,180850.63,527506,35119921,20.95,Others
2023-12-19,IREDA, EQ, 19-Dec-2023,110.75,113.0,116.2,111.35,112.35,112.45,113.22,47989953,54332.78,198804,17378484,36.21,Others
2023-12-20,IREDA, EQ, 20-Dec-2023,112.45,114.0,114.7,103.3,105.9,104.95,108.43,54934849,59565.34,311088,23459078,42.7,Others
2023-12-21,IREDA, EQ, 21-Dec-2023,104.95,102.0,111.25,100.0,110.2,109.9,107.71,50301973,54179.88,212582,14503263,28.83,Others
2023-12-22,IREDA, EQ, 22-Dec-2023,109.9,111.3,111.8,108.25,109.5,109.85,109.93,25157149,27655.16,117590,9837755,39.11,Others
2023-12-26,IREDA, EQ, 26-Dec-2023,109.85,103.85,105.75,100.35,102.25,101.95,102.52,98548301,101030.67,472015,48854523,49.57,Others
2023-12-27,IREDA, EQ, 27-Dec-2023,101.95,104.0,104.35,97.35,99.85,99.8,100.79,55795339,56234.68,283283,21555189,38.63,Others
2023-12-28,IREDA, EQ, 28-Dec-2023,99.8,99.85,100.7,95.55,97.55,97.3,97.31,51912306,50515.64,259554,18339546,35.33,Others
2023-12-29,IREDA, EQ, 29-Dec-2023,97.3,97.5,105.65,96.0,102.6,102.8,102.34,85731200,87737.07,291943,26152972,30.51,Others
2024-01-01,IREDA, EQ, 01-Jan-2024,102.8,103.35,107.55,102.1,104.5,104.65,105.12,49275011,51799.59,187012,18571739,37.69,Others
2024-01-02,IREDA, EQ, 02-Jan-2024,104.65,105.3,105.4,101.75,103.65,103.5,103.61,23688907,24542.99,106209,8982168,37.92,Others
2024-01-03,IREDA, EQ, 03-Jan-2024,103.5,103.5,103.55,100.2,101.95,101.8,101.83,24148229,24589.95,122236,9924644,41.1,Others
2024-01-04,IREDA, EQ, 04-Jan-2024,101.8,102.7,106.25,102.45,104.2,104.4,104.35,37518306,39151.92,133228,12087479,32.22,Others
2024-01-05,IREDA, EQ, 05-Jan-2024,104.4,105.0,107.25,104.0,104.95,105.1,105.64,32759854,34607.7,125033,11253528,34.35,Others
2024-01-08,IREDA, EQ, 08-Jan-2024,105.1,105.8,106.3,103.15,103.9,103.9,104.41,22377695,23365.41,104063,8326908,37.21,Others
2024-01-09,IREDA, EQ, 09-Jan-2024,103.9,104.7,104.85,102.6,103.2,103.3,103.7,14941191,15493.64,83555,6054677,40.52,Others
2024-01-10,IREDA, EQ, 10-Jan-2024,103.3,103.5,103.8,101.2,102.75,102.8,102.41,14828774,15186.18,84258,6107486,41.19,Others
2024-01-11,IREDA, EQ, 11-Jan-2024,102.8,103.4,106.4,103.0,103.55,103.4,104.4,19177567,20022.15,88887,7754440,40.43,Others
2024-01-12,IREDA, EQ, 12-Jan-2024,103.4,104.3,112.5,103.8,109.55,110.75,109.12,82669666,90212.4,247478,30369611,36.74,Others
2024-01-15,IREDA, EQ, 15-Jan-2024,110.75,111.6,121.8,111.6,121.8,121.8,118.63,165494007,196328.83,469279,53779140,32.5,Others
2024-01-16,IREDA, EQ, 16-Jan-2024,121.8,125.0,127.4,116.75,119.4,119.5,122.19,109786020,134150.61,397266,41965832,38.23,Others
2024-01-17,IREDA, EQ, 17-Jan-2024,119.5,118.55,125.6,114.3,124.4,124.2,122.95,81578431,100299.39,315605,26854989,32.92,Others
2024-01-18,IREDA, EQ, 18-Jan-2024,124.2,125.0,126.4,116.0,122.7,123.05,121.91,55701971,67905.75,238175,17414144,31.26,Others
2024-01-19,IREDA, EQ, 19-Jan-2024,123.05,124.2,135.35,123.7,135.35,135.35,131.11,111113228,145678.47,391773,39875999,35.89,Others
2024-01-20,IREDA, EQ, 20-Jan-2024,135.35,141.0,148.85,141.0,148.85,148.85,146.52,64465781,94456.52,309570,24906024,38.63,Others
2024-01-23,IREDA, EQ, 23-Jan-2024,148.85,156.25,156.25,144.1,156.25,154.05,151.84,120793026,183417.97,583532,42117947,34.87,Others
2024-01-24,IREDA, EQ, 24-Jan-2024,154.05,157.5,161.75,148.55,161.75,161.75,158.34,73799763,116857.26,264171,20195317,27.37,Others
2024-01-25,IREDA, EQ, 25-Jan-2024,161.75,167.0,169.8,166.0,169.8,169.8,168.93,9149447,15456.05,37735,6391939,69.86,Others
2024-01-29,IREDA, EQ, 29-Jan-2024,169.8,177.8,178.25,175.9,178.25,178.25,178.0,7515722,13377.98,30319,5544113,73.77,Others
2024-01-30,IREDA, EQ, 30-Jan-2024,178.25,184.8,187.15,169.4,173.95,173.15,177.8,100689188,179023.24,595925,38377785,38.12,Others
2024-01-31,IREDA, EQ, 31-Jan-2024,173.15,174.9,181.8,169.6,181.8,181.8,180.23,51527355,92867.85,148486,18321245,35.56,Others
2024-02-01,IREDA, EQ, 01-Feb-2024,181.8,183.0,190.85,177.8,185.9,185.8,188.32,119539925,225120.13,480742,32896648,27.52,Others
2024-02-02,IREDA, EQ, 02-Feb-2024,185.8,191.4,195.05,186.3,195.05,195.05,192.97,59779078,115356.03,251424,21432003,35.85,Others
2024-02-05,IREDA, EQ, 05-Feb-2024,195.05,203.9,204.8,193.2,204.8,204.8,203.48,27925173,56822.32,135325,11860705,42.47,Others
2024-02-06,IREDA, EQ, 06-Feb-2024,204.8,214.8,214.8,198.05,209.4,209.45,208.18,71926776,149739.03,482129,24891429,34.61,Others
2024-02-07,IREDA, EQ, 07-Feb-2024,209.45,213.15,213.15,199.0,199.0,199.0,203.08,40621079,82494.11,338955,20632601,50.79,Others
