Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2021-01-29,IRFC, EQ, 29-Jan-2021,26.0,24.9,25.8,24.35,24.8,24.8,25.08,381938573,95788.17,496815,202093235,52.91
2021-02-01,IRFC, EQ, 01-Feb-2021,24.8,25.25,25.4,24.9,25.15,25.1,25.13,72044464,18103.82,153055,36416301,50.55
2021-02-02,IRFC, EQ, 02-Feb-2021,25.1,25.45,25.45,24.7,24.8,24.75,24.98,36735442,9176.4,102457,23249201,63.29
2021-02-03,IRFC, EQ, 03-Feb-2021,24.75,24.8,24.9,24.05,24.15,24.25,24.58,45816269,11261.59,105660,27243985,59.46
2021-02-04,IRFC, EQ, 04-Feb-2021,24.25,24.25,25.8,23.85,25.3,25.35,25.08,88486029,22194.41,135657,34571420,39.07
2021-02-05,IRFC, EQ, 05-Feb-2021,25.35,25.6,26.2,25.55,25.65,25.7,25.8,56318695,14531.81,95724,25712230,45.65
2021-02-08,IRFC, EQ, 08-Feb-2021,25.7,25.9,25.95,25.6,25.75,25.75,25.77,28324374,7300.15,55647,13288510,46.92
2021-02-09,IRFC, EQ, 09-Feb-2021,25.75,25.75,25.8,25.2,25.2,25.3,25.41,25243532,6414.83,59918,11932405,47.27
2021-02-10,IRFC, EQ, 10-Feb-2021,25.3,25.4,25.8,25.0,25.35,25.4,25.4,33132159,8415.5,49630,14723994,44.44
2021-02-11,IRFC, EQ, 11-Feb-2021,25.4,25.4,25.65,25.25,25.5,25.4,25.46,13586295,3458.8,34239,6860300,50.49
2021-02-12,IRFC, EQ, 12-Feb-2021,25.4,25.5,25.55,25.3,25.4,25.4,25.41,15658220,3978.49,32840,8698924,55.55
2021-02-15,IRFC, EQ, 15-Feb-2021,25.4,26.2,26.2,25.65,25.85,25.75,25.84,45629832,11791.7,91067,26254530,57.54
2021-02-16,IRFC, EQ, 16-Feb-2021,25.75,25.9,26.0,25.8,25.85,25.9,25.87,34557518,8940.72,63357,21864550,63.27
2021-02-17,IRFC, EQ, 17-Feb-2021,25.9,25.3,25.6,24.9,25.3,25.3,25.33,28638408,7255.44,53894,14485220,50.58
2021-02-18,IRFC, EQ, 18-Feb-2021,25.3,25.45,25.8,25.4,25.7,25.65,25.55,21022422,5370.85,26752,10322999,49.1
2021-02-19,IRFC, EQ, 19-Feb-2021,25.65,25.65,25.7,25.2,25.4,25.35,25.43,14542153,3697.57,36081,7516285,51.69
2021-02-22,IRFC, EQ, 22-Feb-2021,25.35,25.3,25.4,24.95,25.0,25.0,25.09,16652770,4178.02,55606,9264893,55.64
2021-02-23,IRFC, EQ, 23-Feb-2021,25.0,25.0,25.15,24.9,24.95,24.95,24.96,13021961,3250.13,38417,6695720,51.42
2021-02-24,IRFC, EQ, 24-Feb-2021,24.95,24.9,25.2,24.85,24.9,24.9,24.99,10958830,2738.51,20179,5223967,47.67
2021-02-25,IRFC, EQ, 25-Feb-2021,24.9,24.95,25.2,24.9,24.95,24.95,25.0,22761296,5690.94,33968,12304293,54.06
2021-02-26,IRFC, EQ, 26-Feb-2021,24.95,24.85,24.95,24.5,24.65,24.65,24.67,36424500,8987.08,83875,23490265,64.49
2021-03-01,IRFC, EQ, 01-Mar-2021,24.65,24.65,26.7,24.65,25.85,25.9,25.67,93579588,24026.07,110462,39763204,42.49
2021-03-02,IRFC, EQ, 02-Mar-2021,25.9,26.1,26.3,25.45,25.7,25.65,25.9,48494934,12562.02,63877,20010437,41.26
2021-03-03,IRFC, EQ, 03-Mar-2021,25.65,25.8,25.95,25.45,25.45,25.5,25.64,18806435,4821.65,30413,9628114,51.2
2021-03-04,IRFC, EQ, 04-Mar-2021,25.5,25.25,25.7,25.25,25.45,25.4,25.47,21742960,5538.86,34054,10006646,46.02
2021-03-05,IRFC, EQ, 05-Mar-2021,25.4,25.4,25.55,24.8,24.95,24.95,25.07,25255199,6331.48,47027,12799523,50.68
2021-03-08,IRFC, EQ, 08-Mar-2021,24.95,25.1,25.25,24.8,24.8,24.85,24.99,16353985,4086.3,34575,8109041,49.58
2021-03-09,IRFC, EQ, 09-Mar-2021,24.85,24.95,25.5,24.8,25.0,24.95,25.02,21380757,5350.08,35599,9770171,45.7
2021-03-10,IRFC, EQ, 10-Mar-2021,24.95,25.0,25.1,24.85,24.9,24.85,24.96,11360743,2835.91,25673,5729920,50.44
2021-03-12,IRFC, EQ, 12-Mar-2021,24.85,24.9,25.05,24.8,24.85,24.85,24.91,17086939,4256.03,30141,9349661,54.72
2021-03-15,IRFC, EQ, 15-Mar-2021,24.85,24.9,24.95,24.5,24.6,24.65,24.65,17385997,4286.07,41212,8223219,47.3
2021-03-16,IRFC, EQ, 16-Mar-2021,24.65,24.65,24.8,24.5,24.55,24.55,24.59,9649363,2372.31,26071,4506117,46.7
2021-03-17,IRFC, EQ, 17-Mar-2021,24.55,24.55,24.6,24.1,24.2,24.15,24.32,14312130,3481.24,43269,8083091,56.48
2021-03-18,IRFC, EQ, 18-Mar-2021,24.15,24.2,24.6,23.9,24.05,24.05,24.12,16168159,3899.44,36717,7704264,47.65
2021-03-19,IRFC, EQ, 19-Mar-2021,24.05,24.0,24.1,23.5,23.9,23.95,23.78,15260549,3629.58,35438,6139269,40.23
2021-03-22,IRFC, EQ, 22-Mar-2021,23.95,24.0,24.5,23.85,23.9,23.9,24.01,13817385,3317.35,27700,6117821,44.28
2021-03-23,IRFC, EQ, 23-Mar-2021,23.9,23.9,24.1,23.75,23.8,23.8,23.89,13742805,3282.59,33537,6888643,50.13
2021-03-24,IRFC, EQ, 24-Mar-2021,23.8,23.8,23.9,23.4,23.5,23.45,23.59,16788250,3960.68,41700,9918695,59.08
2021-03-25,IRFC, EQ, 25-Mar-2021,23.45,23.45,23.55,22.9,22.95,22.95,23.06,19233029,4435.65,66507,10480539,54.49
2021-03-26,IRFC, EQ, 26-Mar-2021,22.95,23.2,23.3,22.9,23.0,23.05,23.05,16323314,3762.25,31263,8128022,49.79
2021-03-30,IRFC, EQ, 30-Mar-2021,23.05,23.15,23.3,22.9,23.0,22.95,22.99,14310179,3290.54,42774,7669060,53.59
2021-03-31,IRFC, EQ, 31-Mar-2021,22.95,22.95,23.1,22.9,22.9,22.9,22.96,11770453,2702.25,31969,6574481,55.86
