Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ITC, EQ, 23-Aug-2019,240.05,239.0,239.45,234.65,236.45,236.1,236.55,16440329,38889.35,166327,10156459,61.78
2019-10-01,ITC, EQ, 01-Oct-2019,259.85,259.1,262.45,255.0,256.15,255.9,258.41,15440899,39900.06,151731,6609806,42.81
2019-10-03,ITC, EQ, 03-Oct-2019,255.9,257.7,262.15,256.05,261.25,261.65,259.37,12356337,32048.32,161071,7945513,64.3
2019-10-04,ITC, EQ, 04-Oct-2019,261.65,263.0,263.9,255.2,257.5,257.25,258.07,18085064,46671.99,196876,11546845,63.85
2019-10-07,ITC, EQ, 07-Oct-2019,257.25,257.5,258.0,250.7,251.2,251.9,254.82,21263568,54184.29,107061,13108539,61.65
2019-10-09,ITC, EQ, 09-Oct-2019,251.9,251.3,252.2,246.3,247.0,247.1,248.56,21503869,53449.13,118978,14665271,68.2
2019-10-10,ITC, EQ, 10-Oct-2019,247.1,247.0,247.65,242.65,243.1,243.2,244.36,24294966,59366.66,137402,18190923,74.88
2019-10-11,ITC, EQ, 11-Oct-2019,243.2,243.2,246.2,241.1,244.15,243.95,244.16,25072193,61216.68,132632,18495851,73.77
2019-10-14,ITC, EQ, 14-Oct-2019,243.95,245.45,246.4,243.0,244.15,244.1,244.6,14713799,35989.83,105998,10271479,69.81
2019-10-15,ITC, EQ, 15-Oct-2019,244.1,245.05,249.2,245.05,247.8,247.6,247.71,9989191,24743.75,184999,4957458,49.63
2019-10-16,ITC, EQ, 16-Oct-2019,247.6,247.4,247.6,242.15,244.0,243.65,244.04,16063295,39201.44,152479,10943776,68.13
2019-10-17,ITC, EQ, 17-Oct-2019,243.65,244.0,246.7,243.85,245.95,245.85,245.51,13649598,33510.85,158356,8984413,65.82
2019-10-18,ITC, EQ, 18-Oct-2019,245.85,246.0,247.8,245.1,246.35,246.5,246.55,12833554,31641.47,103099,8972562,69.91
2019-10-22,ITC, EQ, 22-Oct-2019,246.5,245.0,251.1,244.95,248.5,248.9,249.13,18275636,45529.89,135996,12677210,69.37
2019-10-23,ITC, EQ, 23-Oct-2019,248.9,250.4,251.95,249.05,250.75,251.05,250.64,12831461,32160.63,126405,8942131,69.69
2019-10-24,ITC, EQ, 24-Oct-2019,251.05,252.6,254.0,247.95,249.25,249.05,251.28,16791340,42193.15,148136,8706725,51.85
2019-10-25,ITC, EQ, 25-Oct-2019,249.05,256.9,257.2,247.0,247.7,247.7,251.46,32591192,81953.73,236984,13983794,42.91
2019-10-27,ITC, EQ, 27-Oct-2019,247.7,249.95,251.1,249.7,250.6,250.4,250.32,3132126,7840.21,42658,2077229,66.32
2019-10-29,ITC, EQ, 29-Oct-2019,250.4,250.95,255.1,249.55,253.1,253.25,253.11,11937562,30215.07,101270,6876990,57.61
