Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,JINDALSTEL, EQ, 23-Aug-2019,96.95,96.9,102.85,95.1,101.85,101.95,100.05,21483497,21493.45,73728,1054192,4.91
2019-10-01,JINDALSTEL, EQ, 01-Oct-2019,103.55,104.0,104.75,93.4,98.1,97.45,99.47,24057345,23929.36,91146,2857380,11.88
2019-10-03,JINDALSTEL, EQ, 03-Oct-2019,97.45,95.5,99.5,94.5,96.65,95.9,96.5,18649281,17995.64,69631,678227,3.64
2019-10-04,JINDALSTEL, EQ, 04-Oct-2019,95.9,96.9,97.9,92.45,93.3,93.7,95.56,18291036,17479.68,64441,1475074,8.06
2019-10-07,JINDALSTEL, EQ, 07-Oct-2019,93.7,93.9,96.3,91.3,93.45,93.35,93.72,22709072,21282.13,74331,899475,3.96
2019-10-09,JINDALSTEL, EQ, 09-Oct-2019,93.35,93.35,98.25,91.9,97.75,97.6,94.82,24143941,22894.02,76986,1723902,7.14
2019-10-10,JINDALSTEL, EQ, 10-Oct-2019,97.6,96.9,97.85,94.6,95.2,95.65,96.22,17559085,16894.98,52467,1087038,6.19
2019-10-11,JINDALSTEL, EQ, 11-Oct-2019,95.65,96.65,100.25,95.25,98.7,97.45,97.45,26700762,26018.71,81205,1109857,4.16
2019-10-14,JINDALSTEL, EQ, 14-Oct-2019,97.45,99.55,102.7,98.75,99.4,99.5,100.7,21326087,21475.84,72153,1474790,6.92
2019-10-15,JINDALSTEL, EQ, 15-Oct-2019,99.5,99.55,104.95,96.25,103.5,103.1,100.22,33002841,33075.35,111288,2304741,6.98
2019-10-16,JINDALSTEL, EQ, 16-Oct-2019,103.1,103.5,104.2,101.25,102.0,102.4,102.47,15985718,16380.73,55995,924956,5.79
2019-10-17,JINDALSTEL, EQ, 17-Oct-2019,102.4,101.25,105.9,99.8,105.65,104.55,102.1,18532554,18921.43,56090,2214456,11.95
2019-10-18,JINDALSTEL, EQ, 18-Oct-2019,104.55,104.4,108.4,103.7,107.0,107.65,106.76,18095628,19318.49,64691,992726,5.49
2019-10-22,JINDALSTEL, EQ, 22-Oct-2019,107.65,106.0,108.1,102.55,103.2,103.4,105.79,20481332,21667.76,74444,3496035,17.07
2019-10-23,JINDALSTEL, EQ, 23-Oct-2019,103.4,103.2,103.4,100.35,100.75,101.2,101.89,19338850,19704.64,63661,3228995,16.7
2019-10-24,JINDALSTEL, EQ, 24-Oct-2019,101.2,101.5,103.9,99.05,102.9,102.8,101.89,24157758,24613.84,70219,4217866,17.46
2019-10-25,JINDALSTEL, EQ, 25-Oct-2019,102.8,102.65,105.8,101.75,104.5,104.85,104.17,17513992,18244.24,49201,2320765,13.25
2019-10-27,JINDALSTEL, EQ, 27-Oct-2019,104.85,105.95,107.65,105.0,107.6,107.2,106.81,2720903,2906.16,11416,713041,26.21
2019-10-29,JINDALSTEL, EQ, 29-Oct-2019,107.2,107.4,116.25,106.65,112.2,112.65,112.67,25236074,28433.15,92862,3620779,14.35
2019-10-30,JINDALSTEL, EQ, 30-Oct-2019,112.65,112.9,116.5,111.15,116.35,115.2,113.45,17240594,19559.2,58093,2055378,11.92
2019-10-31,JINDALSTEL, EQ, 31-Oct-2019,115.2,117.0,119.3,113.85,115.75,116.25,117.04,24486750,28659.6,92498,2526966,10.32
2019-11-01,JINDALSTEL, EQ, 01-Nov-2019,116.25,116.0,123.95,116.0,123.15,123.35,120.83,30028955,36282.67,101979,2827584,9.42
