Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,JKCEMENT, EQ, 23-Aug-2019,994.4,994.4,1004.55,973.6,990.0,990.7,986.81,12632,124.65,1590,5208,41.23
2019-10-01,JKCEMENT, EQ, 01-Oct-2019,1050.35,1069.0,1069.0,1027.0,1040.0,1039.2,1039.95,27919,290.34,2109,22488,80.55
2019-10-03,JKCEMENT, EQ, 03-Oct-2019,1039.2,1039.2,1043.0,1015.2,1020.0,1027.2,1032.6,10784,111.36,1321,3041,28.2
2019-10-04,JKCEMENT, EQ, 04-Oct-2019,1027.2,1032.0,1040.0,1005.15,1040.0,1027.25,1022.61,12910,132.02,1297,5379,41.67
2019-10-07,JKCEMENT, EQ, 07-Oct-2019,1027.25,1027.25,1048.0,1016.05,1030.0,1032.6,1030.26,8703,89.66,1044,5800,66.64
2019-10-09,JKCEMENT, EQ, 09-Oct-2019,1032.6,1036.6,1054.0,1028.1,1046.0,1048.75,1043.67,6891,71.92,934,3044,44.17
2019-10-10,JKCEMENT, EQ, 10-Oct-2019,1048.75,1046.7,1046.7,1028.0,1035.0,1040.4,1038.75,16115,167.39,967,13586,84.31
2019-10-11,JKCEMENT, EQ, 11-Oct-2019,1040.4,1042.5,1056.95,1030.0,1040.0,1040.2,1051.25,107031,1125.16,1159,103039,96.27
2019-10-14,JKCEMENT, EQ, 14-Oct-2019,1040.2,1029.2,1055.9,1029.2,1035.0,1035.45,1043.87,61935,646.52,1630,54813,88.5
2019-10-15,JKCEMENT, EQ, 15-Oct-2019,1035.45,1038.55,1064.65,1038.55,1062.0,1061.05,1057.44,32648,345.23,1807,25509,78.13
2019-10-16,JKCEMENT, EQ, 16-Oct-2019,1061.05,1065.0,1078.0,1044.4,1055.0,1051.4,1063.92,58351,620.81,2073,51463,88.2
2019-10-17,JKCEMENT, EQ, 17-Oct-2019,1051.4,1063.3,1073.2,1051.8,1065.0,1067.25,1060.93,95569,1013.92,1994,86821,90.85
2019-10-18,JKCEMENT, EQ, 18-Oct-2019,1067.25,1075.9,1143.75,1059.8,1131.05,1129.9,1115.49,81643,910.72,10074,46283,56.69
2019-10-22,JKCEMENT, EQ, 22-Oct-2019,1129.9,1149.0,1149.0,1103.8,1115.0,1121.2,1135.95,64212,729.42,3681,52241,81.36
2019-10-23,JKCEMENT, EQ, 23-Oct-2019,1121.2,1135.0,1135.0,1100.0,1105.0,1103.0,1105.87,22578,249.68,1427,16509,73.12
2019-10-24,JKCEMENT, EQ, 24-Oct-2019,1103.0,1116.75,1120.0,1108.05,1114.9,1115.5,1115.55,9626,107.38,829,5156,53.56
2019-10-25,JKCEMENT, EQ, 25-Oct-2019,1115.5,1135.0,1136.0,1110.05,1120.0,1115.15,1117.61,22041,246.33,1865,15269,69.28
2019-10-27,JKCEMENT, EQ, 27-Oct-2019,1115.15,1145.0,1154.0,1120.0,1154.0,1144.25,1143.18,14156,161.83,1256,6204,43.83
