Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,JSWSTEEL, EQ, 23-Aug-2019,217.0,214.5,223.6,213.75,221.7,220.65,220.09,4978377,10957.07,43683,700632,14.07
2019-10-01,JSWSTEEL, EQ, 01-Oct-2019,229.95,229.1,231.75,220.4,223.2,222.65,226.25,6026952,13636.17,35459,1061088,17.61
2019-10-03,JSWSTEEL, EQ, 03-Oct-2019,222.65,220.95,225.7,218.3,220.2,221.55,222.79,5324110,11861.54,42057,932052,17.51
2019-10-04,JSWSTEEL, EQ, 04-Oct-2019,221.55,222.3,223.9,212.45,213.0,214.65,218.97,6600815,14453.67,43718,1013414,15.35
2019-10-07,JSWSTEEL, EQ, 07-Oct-2019,214.65,214.9,215.8,207.0,208.05,208.0,211.99,7420654,15731.16,48468,972533,13.11
2019-10-09,JSWSTEEL, EQ, 09-Oct-2019,208.0,207.3,213.75,205.95,213.3,212.8,210.25,5958422,12527.68,43644,520548,8.74
2019-10-10,JSWSTEEL, EQ, 10-Oct-2019,212.8,211.3,214.9,209.1,212.95,213.75,212.17,6693227,14201.04,38136,1548664,23.14
2019-10-11,JSWSTEEL, EQ, 11-Oct-2019,213.75,215.0,220.9,212.8,216.35,217.25,216.62,8965423,19420.71,52633,1219888,13.61
2019-10-14,JSWSTEEL, EQ, 14-Oct-2019,217.25,218.8,225.0,218.35,221.5,221.45,222.65,7515730,16733.48,43213,1254468,16.69
2019-10-15,JSWSTEEL, EQ, 15-Oct-2019,221.45,221.0,226.9,214.25,219.5,219.65,219.53,14900735,32711.2,94504,1865044,12.52
2019-10-16,JSWSTEEL, EQ, 16-Oct-2019,219.65,222.25,223.65,218.45,219.75,220.3,220.51,7753169,17096.64,58753,1482119,19.12
2019-10-17,JSWSTEEL, EQ, 17-Oct-2019,220.3,218.3,224.7,214.35,223.75,222.95,218.47,10798747,23591.61,65257,2256036,20.89
2019-10-18,JSWSTEEL, EQ, 18-Oct-2019,222.95,222.1,225.2,220.3,222.15,223.35,223.3,9026105,20155.28,46096,1918328,21.25
2019-10-22,JSWSTEEL, EQ, 22-Oct-2019,223.35,223.0,225.9,219.2,219.5,219.7,222.64,8305579,18491.32,47356,2081588,25.06
2019-10-23,JSWSTEEL, EQ, 23-Oct-2019,219.7,218.6,224.8,215.75,224.35,222.7,220.32,8030559,17693.11,51366,1241255,15.46
2019-10-24,JSWSTEEL, EQ, 24-Oct-2019,222.7,215.2,225.1,215.2,223.7,222.85,222.12,15890442,35295.33,83437,2883227,18.14
2019-10-25,JSWSTEEL, EQ, 25-Oct-2019,222.85,222.5,224.15,216.1,216.8,217.35,221.3,8612440,19059.66,45771,3007042,34.92
2019-10-27,JSWSTEEL, EQ, 27-Oct-2019,217.35,218.0,221.4,218.0,219.45,219.35,219.33,756987,1660.31,5642,183534,24.25
2019-10-29,JSWSTEEL, EQ, 29-Oct-2019,219.35,219.6,236.4,219.6,234.0,234.25,230.58,13887709,32022.7,91597,4349582,31.32
2019-10-30,JSWSTEEL, EQ, 30-Oct-2019,234.25,236.95,236.95,231.25,234.5,234.4,233.84,5246865,12269.35,35316,619583,11.81
2019-10-31,JSWSTEEL, EQ, 31-Oct-2019,234.4,235.7,236.5,227.05,227.7,228.0,232.67,6994856,16274.92,50711,1380880,19.74
2019-11-01,JSWSTEEL, EQ, 01-Nov-2019,228.0,227.7,239.5,227.5,236.8,237.6,234.49,9208037,21591.87,61820,1374887,14.93
2019-11-04,JSWSTEEL, EQ, 04-Nov-2019,237.6,238.7,254.85,238.7,249.5,250.2,250.34,17613567,44093.68,131959,2369783,13.45
2019-11-05,JSWSTEEL, EQ, 05-Nov-2019,250.2,253.35,254.15,244.25,246.9,246.05,249.49,10394354,25932.45,67154,1240312,11.93
2019-11-06,JSWSTEEL, EQ, 06-Nov-2019,246.05,245.95,251.3,244.3,248.15,248.25,248.65,7121343,17707.37,48651,584696,8.21
2019-11-07,JSWSTEEL, EQ, 07-Nov-2019,248.25,250.2,254.8,243.1,253.1,252.65,249.23,12103874,30166.55,76153,1036211,8.56
2019-11-08,JSWSTEEL, EQ, 08-Nov-2019,252.65,252.75,256.5,248.5,249.6,250.0,252.07,7150985,18025.34,46018,460396,6.44
2019-11-11,JSWSTEEL, EQ, 11-Nov-2019,250.0,249.1,253.25,248.05,251.6,251.9,251.39,5599046,14075.67,47881,823272,14.7
2019-11-13,JSWSTEEL, EQ, 13-Nov-2019,251.9,251.5,254.7,247.35,247.75,248.75,251.47,6493201,16328.55,39198,1450878,22.34
2019-11-14,JSWSTEEL, EQ, 14-Nov-2019,248.75,248.0,249.7,244.25,246.0,245.75,246.19,4522524,11134.0,31885,1027600,22.72
2019-11-15,JSWSTEEL, EQ, 15-Nov-2019,245.75,246.0,250.0,242.2,244.6,244.75,245.68,5246862,12890.75,32611,783683,14.94
