Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,JUBLFOOD, EQ, 23-Aug-2019,1105.6,1105.6,1172.25,1077.9,1165.0,1154.5,1125.26,1637222,18423.03,57343,393980,24.06
2019-10-01,JUBLFOOD, EQ, 01-Oct-2019,1359.4,1360.5,1371.0,1321.2,1333.05,1334.65,1343.54,1349992,18137.69,52562,476800,35.32
2019-10-03,JUBLFOOD, EQ, 03-Oct-2019,1334.65,1322.0,1348.8,1312.4,1320.0,1322.7,1327.51,588810,7816.52,36171,118810,20.18
2019-10-04,JUBLFOOD, EQ, 04-Oct-2019,1322.7,1330.0,1330.55,1278.4,1289.9,1288.4,1303.6,924451,12051.15,35768,263914,28.55
2019-10-07,JUBLFOOD, EQ, 07-Oct-2019,1288.4,1280.0,1322.0,1271.2,1314.0,1319.2,1299.28,972944,12641.24,33617,293987,30.22
2019-10-09,JUBLFOOD, EQ, 09-Oct-2019,1319.2,1319.9,1319.9,1251.05,1297.0,1307.55,1281.26,2056246,26345.85,64812,793821,38.61
2019-10-10,JUBLFOOD, EQ, 10-Oct-2019,1307.55,1292.45,1331.5,1291.05,1323.0,1325.9,1319.97,1000376,13204.64,39807,315724,31.56
2019-10-11,JUBLFOOD, EQ, 11-Oct-2019,1325.9,1330.3,1340.0,1302.0,1320.0,1323.85,1318.27,743864,9806.1,23110,66367,8.92
2019-10-14,JUBLFOOD, EQ, 14-Oct-2019,1323.85,1310.0,1341.0,1309.2,1324.0,1322.1,1326.96,521877,6925.09,16622,124138,23.79
2019-10-15,JUBLFOOD, EQ, 15-Oct-2019,1322.1,1326.0,1338.0,1303.7,1318.0,1317.6,1321.39,633567,8371.88,24576,167216,26.39
2019-10-16,JUBLFOOD, EQ, 16-Oct-2019,1317.6,1329.8,1335.0,1290.0,1298.0,1299.9,1312.17,875663,11490.2,25403,199530,22.79
2019-10-17,JUBLFOOD, EQ, 17-Oct-2019,1299.9,1308.0,1354.8,1302.15,1340.0,1343.2,1331.0,1197606,15940.09,39339,263822,22.03
2019-10-18,JUBLFOOD, EQ, 18-Oct-2019,1343.2,1344.05,1380.0,1331.05,1365.0,1359.6,1352.2,702710,9502.03,23941,147999,21.06
2019-10-22,JUBLFOOD, EQ, 22-Oct-2019,1359.6,1356.9,1450.0,1344.55,1435.0,1428.85,1409.69,3927218,55361.65,126710,745120,18.97
2019-10-23,JUBLFOOD, EQ, 23-Oct-2019,1428.85,1470.0,1558.55,1463.0,1552.5,1546.4,1521.25,4640803,70598.17,152259,507307,10.93
2019-10-24,JUBLFOOD, EQ, 24-Oct-2019,1546.4,1546.4,1552.55,1521.6,1543.0,1539.9,1536.3,1288460,19794.59,47892,209914,16.29
2019-10-25,JUBLFOOD, EQ, 25-Oct-2019,1539.9,1538.0,1538.0,1493.0,1526.75,1523.0,1514.47,1271804,19261.12,58107,281601,22.14
2019-10-27,JUBLFOOD, EQ, 27-Oct-2019,1523.0,1528.0,1544.0,1526.4,1530.25,1535.25,1537.4,161371,2480.91,5848,23573,14.61
2019-10-29,JUBLFOOD, EQ, 29-Oct-2019,1535.25,1542.0,1601.5,1510.05,1578.5,1579.65,1554.39,1326856,20624.48,57652,316010,23.82
2019-10-30,JUBLFOOD, EQ, 30-Oct-2019,1579.65,1570.0,1612.4,1538.0,1558.0,1564.0,1579.24,1383147,21843.2,53538,262535,18.98
2019-10-31,JUBLFOOD, EQ, 31-Oct-2019,1564.0,1564.0,1605.85,1561.0,1595.3,1600.9,1589.67,925887,14718.56,26757,197253,21.3
2019-11-01,JUBLFOOD, EQ, 01-Nov-2019,1600.9,1595.3,1602.0,1565.5,1574.0,1575.5,1581.5,743052,11751.4,29389,160329,21.58
2019-11-04,JUBLFOOD, EQ, 04-Nov-2019,1575.5,1581.9,1593.0,1554.9,1561.0,1563.6,1569.61,491399,7713.04,20042,80157,16.31
2019-11-05,JUBLFOOD, EQ, 05-Nov-2019,1563.6,1555.0,1590.95,1551.0,1584.5,1583.85,1578.43,643713,10160.53,25564,141538,21.99
2019-11-06,JUBLFOOD, EQ, 06-Nov-2019,1583.85,1571.0,1578.0,1548.8,1554.0,1557.75,1560.06,478733,7468.54,23996,109054,22.78
2019-11-07,JUBLFOOD, EQ, 07-Nov-2019,1557.75,1561.0,1624.0,1558.8,1617.05,1617.25,1597.66,1419412,22677.43,43334,249090,17.55
2019-11-08,JUBLFOOD, EQ, 08-Nov-2019,1617.25,1616.95,1632.0,1606.95,1609.0,1614.2,1622.04,935316,15171.2,32437,159764,17.08
2019-11-11,JUBLFOOD, EQ, 11-Nov-2019,1614.2,1607.0,1638.0,1594.05,1636.35,1633.1,1620.05,555753,9003.48,20442,47250,8.5
2019-11-13,JUBLFOOD, EQ, 13-Nov-2019,1633.1,1623.3,1629.7,1569.3,1575.95,1577.9,1591.89,834228,13279.97,34292,299892,35.95
2019-11-14,JUBLFOOD, EQ, 14-Nov-2019,1577.9,1584.85,1633.05,1580.0,1616.5,1613.05,1616.82,1183626,19137.11,43391,184075,15.55
2019-11-15,JUBLFOOD, EQ, 15-Nov-2019,1613.05,1620.0,1632.7,1610.45,1621.85,1622.75,1622.06,572904,9292.84,20530,115763,20.21
2019-11-18,JUBLFOOD, EQ, 18-Nov-2019,1622.75,1622.75,1622.75,1579.2,1587.5,1586.5,1593.58,657954,10485.05,23069,124069,18.86
2019-11-19,JUBLFOOD, EQ, 19-Nov-2019,1586.5,1590.0,1606.0,1575.2,1591.3,1592.25,1590.83,527920,8398.29,25650, 131086, 24.83
2019-11-20,JUBLFOOD, EQ, 20-Nov-2019,1592.25,1591.3,1605.0,1580.0,1588.0,1590.9,1592.24,508109,8090.32,21652, 135120, 26.59
2019-11-21,JUBLFOOD, EQ, 21-Nov-2019,1590.9,1580.1,1614.8,1559.1,1590.2,1591.15,1592.36,947763,15091.83,31432,336350,35.49
2019-11-22,JUBLFOOD, EQ, 22-Nov-2019,1591.15,1589.4,1590.75,1553.05,1565.0,1562.7,1570.05,617057,9688.11,22769,113131,18.33
2019-11-25,JUBLFOOD, EQ, 25-Nov-2019,1562.7,1571.0,1618.85,1556.9,1605.35,1610.6,1587.09,759987,12061.67,34765,194717,25.62
2019-11-26,JUBLFOOD, EQ, 26-Nov-2019,1610.6,1608.0,1650.0,1603.25,1634.05,1629.65,1635.56,1109860,18152.43,40530, 194088, 17.49
2019-11-27,JUBLFOOD, EQ, 27-Nov-2019,1629.65,1629.55,1645.6,1609.0,1625.0,1627.2,1624.1,567539,9217.38,21395,48253,8.5
2019-11-28,JUBLFOOD, EQ, 28-Nov-2019,1627.2,1630.0,1646.6,1614.0,1620.5,1626.0,1630.52,706197,11514.68,20173,43885,6.21
2019-11-29,JUBLFOOD, EQ, 29-Nov-2019,1626.0,1619.9,1632.4,1577.2,1615.0,1618.2,1602.72,839577,13456.04,38859,199691,23.78
2019-12-02,JUBLFOOD, EQ, 02-Dec-2019,1618.2,1615.0,1618.2,1587.0,1595.0,1594.6,1599.06,415646,6646.43,17124, 109076, 26.24
2019-12-03,JUBLFOOD, EQ, 03-Dec-2019,1594.6,1595.55,1629.7,1572.0,1572.0,1578.35,1602.94,1319113,21144.53,52117,365631,27.72
2019-12-04,JUBLFOOD, EQ, 04-Dec-2019,1578.35,1575.0,1590.0,1558.8,1580.25,1583.35,1575.35,852868,13435.64,29121,356582,41.81
2019-12-05,JUBLFOOD, EQ, 05-Dec-2019,1583.35,1579.8,1590.9,1571.0,1575.2,1579.5,1581.21,416840,6591.12,17067,86011,20.63
2019-12-06,JUBLFOOD, EQ, 06-Dec-2019,1579.5,1585.0,1605.0,1562.5,1574.2,1569.2,1588.37,581216,9231.88,16540,83852,14.43
2019-12-09,JUBLFOOD, EQ, 09-Dec-2019,1569.2,1579.0,1617.0,1567.8,1582.0,1577.4,1597.94,1000398,15985.75,37042,146878,14.68
2019-12-10,JUBLFOOD, EQ, 10-Dec-2019,1577.4,1585.0,1586.7,1558.0,1563.0,1561.95,1572.86,606819,9544.4,29126,126104,20.78
2019-12-11,JUBLFOOD, EQ, 11-Dec-2019,1561.95,1564.0,1589.0,1564.0,1580.2,1585.35,1579.69,715142,11297.0,31279,235628,32.95
