Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2021-03-26,KALYANKJIL, EQ, 26-Mar-2021,87.0,73.95,81.0,72.9,74.35,75.2,77.14,51421860,39664.3,360101,18436639,35.85
2021-03-30,KALYANKJIL, EQ, 30-Mar-2021,75.2,75.95,77.9,69.65,71.15,70.85,73.38,11092972,8139.95,100487,4400158,39.67
2021-03-31,KALYANKJIL, EQ, 31-Mar-2021,70.85,71.75,71.75,67.65,68.0,68.1,69.2,4659613,3224.62,39047,2087369,44.8
2021-04-01,KALYANKJIL, EQ, 01-Apr-2021,68.1,68.6,72.75,68.2,70.9,71.4,71.49,7403570,5292.92,48608,1813708,24.5
2021-04-05,KALYANKJIL, EQ, 05-Apr-2021,71.4,71.5,71.5,68.55,70.05,69.9,69.78,2399032,1674.12,21877,1025158,42.73
2021-04-06,KALYANKJIL, EQ, 06-Apr-2021,69.9,70.3,71.25,69.1,70.35,70.35,70.42,2379469,1675.53,15437,1018675,42.81
2021-04-07,KALYANKJIL, EQ, 07-Apr-2021,70.35,70.55,70.9,69.8,70.0,69.9,70.14,1625067,1139.79,12288,836364,51.47
2021-04-08,KALYANKJIL, EQ, 08-Apr-2021,69.9,71.9,75.0,71.4,72.75,72.85,73.16,4824848,3529.91,31839,1883525,39.04
2021-04-09,KALYANKJIL, EQ, 09-Apr-2021,72.85,73.0,73.1,70.45,71.0,71.0,71.51,2357516,1685.84,14790,1460379,61.95
2021-04-12,KALYANKJIL, EQ, 12-Apr-2021,71.0,70.9,70.9,68.0,68.4,68.35,68.67,2042113,1402.3,18127,1266324,62.01
2021-04-13,KALYANKJIL, EQ, 13-Apr-2021,68.35,69.0,69.85,68.05,69.35,69.3,69.02,1439847,993.84,11258,755365,52.46
2021-04-15,KALYANKJIL, EQ, 15-Apr-2021,69.3,69.0,69.85,68.55,68.95,69.0,68.94,896321,617.91,8901,480156,53.57
2021-04-16,KALYANKJIL, EQ, 16-Apr-2021,69.0,69.0,69.7,68.8,68.85,68.9,69.14,909629,628.92,9114,544465,59.86
2021-04-19,KALYANKJIL, EQ, 19-Apr-2021,68.9,67.8,67.8,65.7,66.85,66.85,66.77,1228866,820.54,13911,729530,59.37
2021-04-20,KALYANKJIL, EQ, 20-Apr-2021,66.85,67.2,68.35,66.8,67.1,67.15,67.55,797720,538.86,8147,426242,53.43
2021-04-22,KALYANKJIL, EQ, 22-Apr-2021,67.15,67.0,67.15,66.4,66.75,66.7,66.73,851612,568.26,9336,532283,62.5
2021-04-23,KALYANKJIL, EQ, 23-Apr-2021,66.7,66.6,66.7,65.5,65.6,65.6,65.9,1823091,1201.35,18330,1213513,66.56
