Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,KEI, EQ, 23-Aug-2019,415.95,413.15,459.2,413.15,448.5,450.95,444.5,204604,909.47,12702,38918,19.02
2019-10-01,KEI, EQ, 01-Oct-2019,543.4,544.9,544.9,505.1,514.9,513.7,522.72,179960,940.69,10313,115712,64.3
2019-10-03,KEI, EQ, 03-Oct-2019,513.7,512.0,530.95,497.35,526.0,526.45,520.16,130170,677.1,6856,56046,43.06
2019-10-04,KEI, EQ, 04-Oct-2019,526.45,529.0,536.7,526.5,532.2,532.2,531.75,88734,471.84,6113,42819,48.26
2019-10-07,KEI, EQ, 07-Oct-2019,532.2,525.0,545.0,525.0,529.0,529.35,534.76,100266,536.19,6630,44204,44.09
2019-10-09,KEI, EQ, 09-Oct-2019,529.35,534.5,535.95,526.5,529.95,529.1,530.93,85380,453.31,9530,48645,56.97
2019-10-10,KEI, EQ, 10-Oct-2019,529.1,534.0,538.9,525.0,535.5,533.45,530.9,64818,344.12,5583,38471,59.35
2019-10-11,KEI, EQ, 11-Oct-2019,533.45,535.0,537.5,531.35,535.0,534.95,535.03,45600,243.97,3890,28417,62.32
2019-10-14,KEI, EQ, 14-Oct-2019,534.95,537.45,545.0,528.0,537.0,534.7,537.68,122923,660.93,5860,90717,73.8
2019-10-15,KEI, EQ, 15-Oct-2019,534.7,539.9,545.0,533.0,543.0,543.05,540.04,135188,730.07,4422,112921,83.53
2019-10-16,KEI, EQ, 16-Oct-2019,543.05,553.0,554.0,540.0,543.0,546.6,547.45,80312,439.67,2818,46764,58.23
2019-10-17,KEI, EQ, 17-Oct-2019,546.6,545.0,549.8,541.5,543.0,543.15,543.79,64086,348.49,4919,43412,67.74
2019-10-18,KEI, EQ, 18-Oct-2019,543.15,542.0,549.8,536.15,545.0,544.85,545.1,115907,631.81,8153,85138,73.45
2019-10-22,KEI, EQ, 22-Oct-2019,544.85,552.4,552.4,530.1,532.6,532.35,536.54,117623,631.09,11920,79151,67.29
2019-10-23,KEI, EQ, 23-Oct-2019,532.35,539.9,544.8,533.0,540.85,539.6,540.42,107561,581.29,7299,70778,65.8
2019-10-24,KEI, EQ, 24-Oct-2019,539.6,544.45,544.45,535.0,538.7,539.25,539.52,99960,539.31,8089,77812,77.84
2019-10-25,KEI, EQ, 25-Oct-2019,539.25,542.0,544.8,536.0,541.0,541.55,540.38,115557,624.44,12417,73869,63.92
2019-10-27,KEI, EQ, 27-Oct-2019,541.55,544.0,550.0,542.0,543.0,546.85,547.31,26657,145.9,1481,18552,69.6
2019-10-29,KEI, EQ, 29-Oct-2019,546.85,548.0,577.7,544.05,574.95,575.25,569.91,361117,2058.05,23296,210163,58.2
2019-10-30,KEI, EQ, 30-Oct-2019,575.25,579.85,614.65,577.35,593.0,593.95,598.27,660436,3951.17,27929,198532,30.06
2019-10-31,KEI, EQ, 31-Oct-2019,593.95,599.9,600.1,583.8,590.0,590.45,591.71,117143,693.14,6608,71887,61.37
2019-11-01,KEI, EQ, 01-Nov-2019,590.45,595.8,595.8,580.2,582.2,582.95,586.75,125324,735.34,5741,96913,77.33
2019-11-04,KEI, EQ, 04-Nov-2019,582.95,586.0,586.0,565.05,566.9,568.05,570.91,85198,486.4,7280,42012,49.31
2019-11-05,KEI, EQ, 05-Nov-2019,568.05,568.05,572.9,543.1,547.9,546.15,557.85,213890,1193.19,20575,152506,71.3
2019-11-06,KEI, EQ, 06-Nov-2019,546.15,546.0,546.0,522.1,525.0,525.5,528.65,180141,952.31,9372,101706,56.46
2019-11-07,KEI, EQ, 07-Nov-2019,525.5,528.15,546.7,526.1,541.7,540.8,540.76,190836,1031.97,7667,68093,35.68
2019-11-08,KEI, EQ, 08-Nov-2019,540.8,540.9,575.0,536.1,573.85,570.75,560.51,289328,1621.71,10603,85612,29.59
2019-11-11,KEI, EQ, 11-Nov-2019,570.75,573.85,580.0,546.5,552.5,551.35,561.38,312746,1755.7,13427,128528,41.1
2019-11-13,KEI, EQ, 13-Nov-2019,551.35,550.0,551.35,535.3,539.8,540.65,542.59,297200,1612.57,15203,196369,66.07
2019-11-14,KEI, EQ, 14-Nov-2019,540.65,545.8,545.8,534.0,538.0,536.2,538.59,101644,547.44,5316,59663,58.7
2019-11-15,KEI, EQ, 15-Nov-2019,536.2,537.9,543.5,528.65,533.6,531.1,537.15,82328,442.23,4878,50291,61.09
2019-11-18,KEI, EQ, 18-Nov-2019,531.1,534.0,536.5,523.8,526.0,525.95,529.88,97843,518.45,5781,67277,68.76
2019-11-19,KEI, EQ, 19-Nov-2019,525.95,533.3,533.3,526.0,531.8,530.8,529.2,129187,683.65,10825, 102647, 79.46
2019-11-20,KEI, EQ, 20-Nov-2019,530.8,536.0,537.45,530.0,533.0,532.85,532.3,105930,563.87,4990, 74774, 70.59
2019-11-21,KEI, EQ, 21-Nov-2019,532.85,535.0,535.0,515.0,519.0,520.1,528.12,105742,558.44,6384,80572,76.2
2019-11-22,KEI, EQ, 22-Nov-2019,520.1,524.6,524.6,507.0,508.9,510.95,515.0,111237,572.87,7395,76340,68.63
2019-11-25,KEI, EQ, 25-Nov-2019,510.95,511.0,535.0,510.45,535.0,531.45,526.77,154897,815.96,5628,85073,54.92
2019-11-26,KEI, EQ, 26-Nov-2019,531.45,534.9,546.65,533.0,543.0,542.55,540.62,174376,942.71,9564, 100534, 57.65
2019-11-27,KEI, EQ, 27-Nov-2019,542.55,543.05,546.55,532.0,536.9,537.15,537.53,75212,404.29,4670,34618,46.03
2019-11-28,KEI, EQ, 28-Nov-2019,537.15,535.15,538.15,514.0,523.0,524.95,528.44,66197,349.81,3030,43141,65.17
2019-11-29,KEI, EQ, 29-Nov-2019,524.95,524.95,530.95,515.4,517.5,519.05,522.0,78559,410.08,4635,53322,67.88
2019-12-02,KEI, EQ, 02-Dec-2019,519.05,522.5,528.0,512.5,518.85,515.05,516.6,75189,388.43,4275, 42901, 57.06
2019-12-03,KEI, EQ, 03-Dec-2019,515.05,515.95,522.0,511.15,514.9,514.75,516.85,90680,468.68,8141,67668,74.62
2019-12-04,KEI, EQ, 04-Dec-2019,514.75,515.0,515.4,509.0,511.0,511.75,511.66,70794,362.22,6917,49344,69.7
2019-12-05,KEI, EQ, 05-Dec-2019,511.75,512.0,515.9,501.0,502.0,503.2,505.99,131824,667.02,8630,83831,63.59
2019-12-06,KEI, EQ, 06-Dec-2019,503.2,498.0,506.5,490.3,490.3,495.45,499.62,123135,615.21,8603,77549,62.98
2019-12-09,KEI, EQ, 09-Dec-2019,495.45,490.5,495.0,470.2,473.45,475.1,482.22,152276,734.3,8155,92858,60.98
2019-12-10,KEI, EQ, 10-Dec-2019,475.1,471.5,484.75,462.45,468.4,471.95,474.18,224248,1063.34,15095,117141,52.24
2019-12-11,KEI, EQ, 11-Dec-2019,471.95,477.2,480.6,467.05,475.8,476.05,476.16,160804,765.69,15678,97154,60.42
2019-12-12,KEI, EQ, 12-Dec-2019,476.05,482.9,483.5,455.5,459.1,458.75,464.38,156031,724.58,17353,96100,61.59
2019-12-13,KEI, EQ, 13-Dec-2019,458.75,460.9,466.75,443.0,445.0,445.25,449.27,260575,1170.68,16742,154465,59.28
2019-12-16,KEI, EQ, 16-Dec-2019,445.25,448.7,448.8,434.1,435.5,437.15,439.14,174160,764.8,9235,88083,50.58
2019-12-17,KEI, EQ, 17-Dec-2019,437.15,444.45,452.6,438.45,442.85,443.4,446.45,414782,1851.81,37021,217237,52.37
2019-12-18,KEI, EQ, 18-Dec-2019,443.4,445.0,448.2,440.0,442.4,443.25,443.68,254560,1129.44,13378,194991,76.6
2019-12-19,KEI, EQ, 19-Dec-2019,443.25,442.2,442.8,430.3,433.5,433.5,435.29,149850,652.28,5648,85998,57.39
2019-12-20,KEI, EQ, 20-Dec-2019,433.5,436.8,440.0,431.0,436.35,437.05,432.78,561948,2431.99,10471,477305,84.94
2019-12-23,KEI, EQ, 23-Dec-2019,437.05,439.25,449.45,438.05,448.0,447.95,446.28,224328,1001.13,9835,149509,66.65
2019-12-24,KEI, EQ, 24-Dec-2019,447.95,451.0,453.6,443.5,447.55,449.7,449.36,169364,761.05,8567,115147,67.99
2019-12-26,KEI, EQ, 26-Dec-2019,449.7,451.8,468.7,448.15,467.35,465.35,458.33,461882,2116.92,11457,316696,68.57
2019-12-27,KEI, EQ, 27-Dec-2019,465.35,474.0,484.9,470.1,477.65,477.9,478.77,307785,1473.59,7791,114569,37.22
2019-12-30,KEI, EQ, 30-Dec-2019,477.9,479.9,485.0,463.35,466.0,468.45,476.82,154564,737.0,6716,88395,57.19
2019-12-31,KEI, EQ, 31-Dec-2019,468.45,470.85,470.85,452.65,457.45,458.25,459.5,309565,1422.44,12318,124629,40.26
2020-01-01,KEI, EQ, 01-Jan-2020,458.25,464.0,484.35,458.25,471.45,474.95,471.59,201518,950.34,5320,59183,29.37
2020-01-02,KEI, EQ, 02-Jan-2020,474.95,470.0,477.95,469.9,470.05,473.25,474.77,97618,463.46,3234,45175,46.28
2020-01-03,KEI, EQ, 03-Jan-2020,473.25,474.4,474.95,465.0,469.0,467.4,469.3,74621,350.2,2931,33881,45.4
2020-01-06,KEI, EQ, 06-Jan-2020,467.4,458.2,463.95,451.2,460.0,460.05,458.71,157459,722.28,5274,100728,63.97
2020-01-07,KEI, EQ, 07-Jan-2020,460.05,466.0,477.05,460.9,462.75,471.0,467.02,155540,726.4,3843,64560,41.51
2020-01-08,KEI, EQ, 08-Jan-2020,471.0,461.0,496.5,460.0,488.5,489.6,484.22,523550,2535.12,17097,149670,28.59
2020-01-09,KEI, EQ, 09-Jan-2020,489.6,498.0,509.7,491.0,503.15,506.4,500.78,278362,1393.98,12066,106370,38.21
2020-01-10,KEI, EQ, 10-Jan-2020,506.4,507.9,508.9,488.05,499.0,496.9,503.22,214726,1080.55,4717,133527,62.18
2020-01-13,KEI, EQ, 13-Jan-2020,496.9,499.7,505.0,491.05,497.15,499.9,499.32,119999,599.18,4074,47006,39.17
2020-01-14,KEI, EQ, 14-Jan-2020,499.9,496.0,515.8,496.0,507.0,507.85,509.64,127620,650.4,6034,58631,45.94
2020-01-15,KEI, EQ, 15-Jan-2020,507.85,508.65,529.5,508.55,526.0,527.1,520.19,277944,1445.84,7505,147241,52.98
2020-01-16,KEI, EQ, 16-Jan-2020,527.1,530.0,538.4,525.0,529.45,530.35,532.05,190796,1015.12,6725,100874,52.87
2020-01-17,KEI, EQ, 17-Jan-2020,530.35,533.95,537.0,521.6,531.0,528.4,528.85,301545,1594.72,14322, 159158, 52.78
2020-01-20,KEI, EQ, 20-Jan-2020,528.4,534.9,537.5,490.1,516.0,517.35,525.05,253761,1332.38,8105,101150,39.86
2020-01-21,KEI, EQ, 21-Jan-2020,517.35,534.0,550.9,527.35,531.0,531.2,536.95,1155461,6204.22,28832,199740,17.29
2020-01-22,KEI, EQ, 22-Jan-2020,531.2,537.7,547.0,518.85,527.0,521.9,531.29,375332,1994.11,11556,153341,40.85
2020-01-23,KEI, EQ, 23-Jan-2020,521.9,525.1,537.9,519.6,524.55,523.95,525.77,205073,1078.21,9757,68573,33.44
2020-01-24,KEI, EQ, 24-Jan-2020,523.95,530.9,551.0,530.9,551.0,547.95,543.16,693006,3764.16,25808,254364,36.7
2020-01-27,KEI, EQ, 27-Jan-2020,547.95,546.9,567.3,545.0,564.5,560.5,559.7,472320,2643.56,17969,176285,37.32
2020-01-28,KEI, EQ, 28-Jan-2020,560.5,562.0,579.9,562.0,577.55,574.95,575.27,387391,2228.56,13191,177741,45.88
2020-01-29,KEI, EQ, 29-Jan-2020,574.95,579.45,579.9,554.5,563.2,562.35,563.21,376038,2117.88,17749,208722,55.51
2020-01-30,KEI, EQ, 30-Jan-2020,562.35,560.0,564.5,551.7,557.7,558.45,556.97,204378,1138.33,8905,123201,60.28
2020-01-31,KEI, EQ, 31-Jan-2020,558.45,555.15,574.0,555.15,565.7,566.85,567.72,391707,2223.8,12079,260332,66.46
2020-02-01,KEI, EQ, 01-Feb-2020,566.85,566.9,569.4,540.3,555.0,545.15,551.72,117548,648.53,7295,47918,40.76
2020-02-03,KEI, EQ, 03-Feb-2020,545.15,546.0,565.0,546.0,561.0,560.3,558.09,136329,760.84,11701,72659,53.3
2020-02-04,KEI, EQ, 04-Feb-2020,560.3,560.3,563.75,542.5,547.05,548.85,549.69,382448,2102.3,30256,289398,75.67
2020-02-05,KEI, EQ, 05-Feb-2020,548.85,551.0,555.6,536.35,540.0,538.95,545.99,238642,1302.96,9127,169180,70.89
2020-02-06,KEI, EQ, 06-Feb-2020,538.95,540.5,546.5,535.0,536.75,537.15,539.77,150351,811.55,9753,77552,51.58
2020-02-07,KEI, EQ, 07-Feb-2020,537.15,540.5,540.5,529.9,530.05,531.45,532.73,145840,776.94,8545,104328,71.54
2020-02-10,KEI, EQ, 10-Feb-2020,531.45,526.2,544.5,525.0,533.0,532.7,536.23,129281,693.25,5859,85090,65.82
2020-02-11,KEI, EQ, 11-Feb-2020,532.7,533.0,541.5,528.85,534.95,532.6,533.67,74405,397.08,6598,38575,51.84
2020-02-12,KEI, EQ, 12-Feb-2020,532.6,533.3,538.0,527.5,532.0,529.55,531.82,224570,1194.3,17153,163338,72.73
2020-02-13,KEI, EQ, 13-Feb-2020,529.55,541.0,542.55,530.0,536.0,535.05,536.99,119157,639.86,6038,58370,48.99
2020-02-14,KEI, EQ, 14-Feb-2020,535.05,537.75,540.0,531.3,534.0,534.5,535.07,291911,1561.93,7396, 256181, 87.76
2020-02-17,KEI, EQ, 17-Feb-2020,534.5,540.0,540.0,526.85,529.0,528.8,530.32,61679,327.1,4966,36652,59.42
2020-02-18,KEI, EQ, 18-Feb-2020,528.8,531.9,534.45,527.25,530.0,529.95,530.0,98666,522.93,6032,76639,77.68
2020-02-19,KEI, EQ, 19-Feb-2020,529.95,534.0,537.55,528.05,532.6,536.5,534.9,116581,623.6,7055, 84427, 72.42
2020-02-20,KEI, EQ, 20-Feb-2020,536.5,538.0,538.0,519.0,522.0,522.1,527.38,129949,685.33,10353,93012,71.58
2020-02-24,KEI, EQ, 24-Feb-2020,522.1,524.5,524.5,504.0,506.05,506.15,511.08,516956,2642.06,14787,464244,89.8
2020-02-25,KEI, EQ, 25-Feb-2020,506.15,507.5,529.0,498.65,508.0,506.75,505.9,270601,1368.98,15125,210244,77.7
