Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,KOTAKBANK, EQ, 23-Aug-2019,1478.25,1479.9,1487.0,1446.1,1469.45,1470.2,1464.43,3615793,52950.78,127744,1652501,45.7
2019-10-01,KOTAKBANK, EQ, 01-Oct-2019,1644.45,1638.8,1657.0,1623.7,1648.0,1648.2,1645.42,2925536,48137.46,101251,1270563,43.43
2019-10-03,KOTAKBANK, EQ, 03-Oct-2019,1648.2,1644.25,1644.25,1607.0,1613.2,1615.75,1623.61,2654566,43099.7,120348,1332363,50.19
2019-10-04,KOTAKBANK, EQ, 04-Oct-2019,1615.75,1630.0,1633.7,1557.3,1559.95,1563.15,1581.9,5487681,86809.57,117644,3184607,58.03
2019-10-07,KOTAKBANK, EQ, 07-Oct-2019,1563.15,1563.0,1593.6,1549.3,1560.1,1555.65,1574.41,3045534,47949.32,93516,1423975,46.76
2019-10-09,KOTAKBANK, EQ, 09-Oct-2019,1555.65,1559.3,1627.75,1547.75,1611.0,1612.35,1592.09,2598430,41369.44,114701,881648,33.93
2019-10-10,KOTAKBANK, EQ, 10-Oct-2019,1612.35,1599.9,1607.35,1567.0,1588.15,1584.8,1583.93,1569421,24858.57,66075,435924,27.78
2019-10-11,KOTAKBANK, EQ, 11-Oct-2019,1584.8,1595.2,1625.0,1575.2,1589.35,1587.75,1595.25,2425841,38698.34,80917,637768,26.29
2019-10-14,KOTAKBANK, EQ, 14-Oct-2019,1587.75,1598.0,1609.0,1576.25,1582.1,1585.5,1592.47,2010190,32011.65,58832,771306,38.37
2019-10-15,KOTAKBANK, EQ, 15-Oct-2019,1585.5,1595.4,1629.5,1577.5,1617.0,1615.6,1610.47,2706471,43586.88,71523,929008,34.33
