Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,LALPATHLAB, EQ, 23-Aug-2019,1177.85,1190.0,1193.2,1124.55,1134.5,1144.3,1168.92,56274,657.8,8512,21294,37.84
2019-10-01,LALPATHLAB, EQ, 01-Oct-2019,1392.75,1398.2,1398.2,1311.0,1338.0,1335.6,1337.32,98340,1315.12,7480,71274,72.48
2019-10-03,LALPATHLAB, EQ, 03-Oct-2019,1335.6,1343.0,1398.0,1321.25,1381.95,1389.85,1372.6,57138,784.28,10467,24420,42.74
2019-10-04,LALPATHLAB, EQ, 04-Oct-2019,1389.85,1394.35,1394.35,1342.1,1350.0,1350.8,1354.94,47747,646.94,9548,28758,60.23
2019-10-07,LALPATHLAB, EQ, 07-Oct-2019,1350.8,1368.7,1368.7,1329.1,1335.0,1340.4,1349.75,66122,892.48,8058,51136,77.34
2019-10-09,LALPATHLAB, EQ, 09-Oct-2019,1340.4,1340.0,1348.15,1310.0,1322.0,1320.2,1326.72,56471,749.21,11450,36241,64.18
2019-10-10,LALPATHLAB, EQ, 10-Oct-2019,1320.2,1336.0,1423.0,1336.0,1365.1,1367.4,1378.61,133359,1838.51,15428,56962,42.71
2019-10-11,LALPATHLAB, EQ, 11-Oct-2019,1367.4,1368.0,1384.95,1336.0,1377.0,1373.7,1351.73,158590,2143.7,10452,133800,84.37
2019-10-14,LALPATHLAB, EQ, 14-Oct-2019,1373.7,1376.75,1400.0,1356.05,1390.0,1389.9,1386.98,46018,638.26,8008,25406,55.21
2019-10-15,LALPATHLAB, EQ, 15-Oct-2019,1389.9,1395.05,1395.05,1361.3,1380.05,1373.8,1372.69,25868,355.09,5725,13495,52.17
2019-10-16,LALPATHLAB, EQ, 16-Oct-2019,1373.8,1387.95,1389.8,1363.55,1375.0,1373.95,1379.13,22271,307.15,7080,12073,54.21
2019-10-17,LALPATHLAB, EQ, 17-Oct-2019,1373.95,1373.95,1391.0,1367.3,1387.5,1388.15,1385.42,51576,714.54,9641,37541,72.79
