Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,LT, EQ, 23-Aug-2019,1294.25,1290.0,1297.45,1274.0,1290.0,1286.5,1286.94,5252370,67594.67,145346,2972943,56.6
2019-10-01,LT, EQ, 01-Oct-2019,1474.25,1480.0,1496.45,1439.15,1467.0,1464.05,1466.82,2578275,37818.67,95145,1277929,49.57
2019-10-03,LT, EQ, 03-Oct-2019,1464.05,1445.45,1475.5,1422.25,1459.9,1458.05,1452.04,1966976,28561.2,80338,693501,35.26
2019-10-04,LT, EQ, 04-Oct-2019,1458.05,1463.8,1474.0,1420.1,1427.0,1424.9,1444.82,3266487,47194.97,136460,1220502,37.36
2019-10-07,LT, EQ, 07-Oct-2019,1424.9,1420.0,1429.0,1381.05,1399.4,1397.85,1408.41,2192329,30876.99,74295,613599,27.99
2019-10-09,LT, EQ, 09-Oct-2019,1397.85,1401.0,1433.4,1399.1,1428.0,1426.25,1420.66,1818865,25839.89,72729,753092,41.4
2019-10-10,LT, EQ, 10-Oct-2019,1426.25,1423.0,1432.0,1407.05,1426.0,1425.1,1420.68,1626821,23111.85,79999,711352,43.73
2019-10-11,LT, EQ, 11-Oct-2019,1425.1,1431.0,1450.0,1420.2,1426.05,1427.7,1432.81,2024214,29003.21,58335,715872,35.37
2019-10-14,LT, EQ, 14-Oct-2019,1427.7,1435.0,1439.9,1418.35,1418.35,1423.95,1428.92,2220364,31727.31,52144,905967,40.8
2019-10-15,LT, EQ, 15-Oct-2019,1423.95,1429.1,1444.8,1420.65,1434.45,1432.25,1433.86,1797471,25773.24,44576,641624,35.7
2019-10-16,LT, EQ, 16-Oct-2019,1432.25,1440.0,1441.8,1416.25,1422.0,1424.2,1425.02,2446615,34864.87,98414,1498309,61.24
2019-10-17,LT, EQ, 17-Oct-2019,1424.2,1428.0,1438.6,1420.2,1425.0,1424.35,1426.22,2304434,32866.23,89322,1329386,57.69
2019-10-18,LT, EQ, 18-Oct-2019,1424.35,1428.0,1457.0,1425.4,1452.0,1447.8,1447.17,3516394,50888.28,126937,1766826,50.25
2019-10-22,LT, EQ, 22-Oct-2019,1447.8,1448.5,1467.8,1439.15,1441.6,1442.55,1455.17,2858390,41594.49,107914,1693070,59.23
2019-10-23,LT, EQ, 23-Oct-2019,1442.55,1445.0,1448.9,1418.6,1431.4,1431.8,1431.4,2410781,34507.85,91315,1132360,46.97
2019-10-24,LT, EQ, 24-Oct-2019,1431.8,1460.0,1467.0,1426.35,1433.7,1432.25,1443.19,3646005,52618.9,133796,1353454,37.12
2019-10-25,LT, EQ, 25-Oct-2019,1432.25,1439.95,1441.7,1420.1,1424.0,1425.0,1430.18,2013793,28800.94,75402,902480,44.81
2019-10-27,LT, EQ, 27-Oct-2019,1425.0,1436.7,1438.95,1428.85,1435.45,1434.4,1433.97,398268,5711.02,19137,232716,58.43
2019-10-29,LT, EQ, 29-Oct-2019,1434.4,1435.5,1464.8,1431.0,1462.9,1461.1,1454.29,3351491,48740.49,105684,1858772,55.46
