Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2024-04-23,LTF, EQ, 23-Apr-2024,163.75,163.75,168.6,163.05,168.05,167.85,166.15,3303800,5489.11,30489,1699936,51.45
2024-04-24,LTF, EQ, 24-Apr-2024,167.85,168.5,169.5,165.9,166.9,166.8,167.8,2610949,4381.22,23638,1360895,52.12
2024-04-25,LTF, EQ, 25-Apr-2024,166.8,166.0,168.3,165.05,167.75,167.75,166.82,5033663,8397.08,36677,3198984,63.55
2024-04-26,LTF, EQ, 26-Apr-2024,167.75,167.35,169.5,161.1,163.65,163.8,164.7,6578217,10834.17,45987,2508525,38.13
2024-04-29,LTF, EQ, 29-Apr-2024,163.8,163.8,172.15,161.45,168.05,168.8,167.6,12524749,20991.77,67427,3653976,29.17
2024-04-30,LTF, EQ, 30-Apr-2024,168.8,170.0,170.85,166.0,167.0,166.65,168.26,4080553,6865.81,31638,1330284,32.6
2024-05-02,LTF, EQ, 02-May-2024,166.65,167.4,170.25,166.4,169.3,169.75,168.35,4336832,7300.87,48760,2360507,54.43
2024-05-03,LTF, EQ, 03-May-2024,169.75,170.45,171.4,165.8,167.95,167.75,168.49,4561558,7685.73,30783,2341583,51.33
2024-05-06,LTF, EQ, 06-May-2024,167.75,168.9,169.0,162.3,163.1,162.9,164.03,4415585,7242.97,33224,1960778,44.41
2024-05-07,LTF, EQ, 07-May-2024,162.9,163.15,164.25,160.05,160.8,160.95,161.66,3936687,6364.2,47773,1781661,45.26
2024-05-08,LTF, EQ, 08-May-2024,160.95,160.95,163.45,160.3,161.5,161.7,162.03,2488886,4032.83,26655,1144513,45.98
2024-05-09,LTF, EQ, 09-May-2024,161.7,162.0,162.6,156.3,157.2,157.05,159.59,3820801,6097.6,33053,1982353,51.88
2024-05-10,LTF, EQ, 10-May-2024,157.05,157.05,159.7,153.45,155.8,155.2,156.49,4513527,7063.14,35280,1924905,42.65
2024-05-13,LTF, EQ, 13-May-2024,155.2,155.9,158.0,150.75,157.25,157.2,154.38,9010412,13910.47,45084,5131257,56.95
2024-05-14,LTF, EQ, 14-May-2024,157.2,157.2,158.05,155.4,157.45,157.4,156.8,2714284,4255.91,30682,1293475,47.65
2024-05-15,LTF, EQ, 15-May-2024,157.4,158.5,162.7,157.25,158.85,158.45,159.63,2976208,4750.87,36396,847916,28.49
2024-05-16,LTF, EQ, 16-May-2024,158.45,159.5,159.9,156.65,159.3,158.75,158.48,1772521,2809.15,23148,728628,41.11
2024-05-17,LTF, EQ, 17-May-2024,158.75,159.05,161.15,157.6,161.0,160.7,159.9,2954770,4724.71,21489,1711795,57.93
