Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2022-12-05,LTIM, EQ, 05-Dec-2022,5065.75,5080.0,5107.75,4970.0,4973.35,4975.4,5000.25,286244,14312.91,22091,176737,61.74
2022-12-06,LTIM, EQ, 06-Dec-2022,4975.4,4951.0,4951.0,4800.0,4800.5,4815.55,4844.26,529007,25626.48,65605,240891,45.54
2022-12-07,LTIM, EQ, 07-Dec-2022,4815.55,4815.4,4815.4,4672.6,4690.0,4687.6,4708.15,622933,29328.64,67202,291115,46.73
2022-12-08,LTIM, EQ, 08-Dec-2022,4687.6,4690.0,4698.85,4550.9,4562.0,4558.8,4593.47,705770,32419.31,68360,416031,58.95
2022-12-09,LTIM, EQ, 09-Dec-2022,4558.8,4590.0,4606.05,4393.15,4400.95,4401.75,4467.1,720644,32191.86,86983,340107,47.19
2022-12-12,LTIM, EQ, 12-Dec-2022,4401.75,4380.0,4390.0,4281.0,4336.0,4330.95,4329.99,671381,29070.72,77193,288848,43.02
2022-12-13,LTIM, EQ, 13-Dec-2022,4330.95,4368.0,4380.95,4310.65,4323.0,4317.8,4330.72,640427,27735.08,63663,350962,54.8
2022-12-14,LTIM, EQ, 14-Dec-2022,4317.8,4354.95,4465.0,4350.0,4446.0,4443.15,4434.29,881860,39104.2,84340,375515,42.58
2022-12-15,LTIM, EQ, 15-Dec-2022,4443.15,4446.0,4450.0,4316.0,4319.0,4331.3,4375.9,476697,20859.79,56069,231713,48.61
2022-12-16,LTIM, EQ, 16-Dec-2022,4331.3,4285.0,4388.95,4229.05,4350.0,4336.35,4312.99,728348,31413.59,73753,261102,35.85
2022-12-19,LTIM, EQ, 19-Dec-2022,4336.35,4261.0,4380.0,4261.0,4379.0,4372.6,4334.28,435967,18896.01,57912,231720,53.15
