Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,LUPIN, EQ, 23-Aug-2019,737.35,736.0,745.0,711.55,739.0,738.65,729.28,1197914,8736.17,30459,191151,15.96
2019-10-01,LUPIN, EQ, 01-Oct-2019,715.7,716.0,726.25,700.5,702.55,703.1,711.73,1161131,8264.17,62451,395523,34.06
2019-10-03,LUPIN, EQ, 03-Oct-2019,703.1,693.0,707.0,676.85,700.8,701.2,692.7,2504322,17347.43,65815,606531,24.22
2019-10-04,LUPIN, EQ, 04-Oct-2019,701.2,702.0,708.5,684.1,685.2,686.5,695.77,1105641,7692.77,31853,335749,30.37
2019-10-07,LUPIN, EQ, 07-Oct-2019,686.5,689.05,690.85,646.3,663.65,667.6,669.21,2576192,17240.03,61488,778480,30.22
2019-10-09,LUPIN, EQ, 09-Oct-2019,667.6,664.9,685.0,660.0,683.1,682.1,673.47,1500671,10106.63,29523,409303,27.27
2019-10-10,LUPIN, EQ, 10-Oct-2019,682.1,680.0,698.8,676.85,690.55,690.95,690.32,1507716,10408.07,37118,549781,36.46
2019-10-11,LUPIN, EQ, 11-Oct-2019,690.95,692.65,704.0,683.0,702.5,701.65,694.08,1131255,7851.78,29113,202792,17.93
2019-10-14,LUPIN, EQ, 14-Oct-2019,701.65,704.0,720.4,697.3,715.3,716.4,709.53,1302216,9239.64,22378,406280,31.2
2019-10-15,LUPIN, EQ, 15-Oct-2019,716.4,718.0,726.9,711.5,720.25,721.15,720.08,1438966,10361.67,31842,531781,36.96
2019-10-16,LUPIN, EQ, 16-Oct-2019,721.15,723.0,735.0,716.8,734.5,732.85,729.08,1140985,8318.71,28851,405993,35.58
2019-10-17,LUPIN, EQ, 17-Oct-2019,732.85,731.5,732.0,719.0,727.0,726.5,724.0,744122,5387.47,20984,195782,26.31
2019-10-18,LUPIN, EQ, 18-Oct-2019,726.5,726.5,746.15,722.85,739.8,739.1,735.44,1813831,13339.61,34751,763181,42.08
2019-10-22,LUPIN, EQ, 22-Oct-2019,739.1,738.9,748.35,733.95,744.8,745.85,743.52,712225,5295.53,17121,186108,26.13
2019-10-23,LUPIN, EQ, 23-Oct-2019,745.85,749.5,749.5,730.7,735.95,736.15,739.57,1362052,10073.38,21241,684996,50.29
2019-10-24,LUPIN, EQ, 24-Oct-2019,736.15,736.5,741.7,723.65,730.3,730.25,730.71,1003393,7331.85,22244,355133,35.39
2019-10-25,LUPIN, EQ, 25-Oct-2019,730.25,730.3,737.15,725.0,731.75,734.1,728.48,971238,7075.24,11819,631720,65.04
2019-10-27,LUPIN, EQ, 27-Oct-2019,734.1,735.0,739.3,728.85,735.0,734.35,734.9,82202,604.11,2274,19097,23.23
2019-10-29,LUPIN, EQ, 29-Oct-2019,734.35,733.5,740.9,728.0,732.5,734.15,732.84,1708254,12518.8,35252,1020182,59.72
2019-10-30,LUPIN, EQ, 30-Oct-2019,734.15,740.9,740.9,726.0,730.05,729.95,732.27,647084,4738.39,22117,205125,31.7
2019-10-31,LUPIN, EQ, 31-Oct-2019,729.95,729.9,748.2,728.0,744.25,745.1,740.65,1070150,7926.02,25023,464523,43.41
2019-11-01,LUPIN, EQ, 01-Nov-2019,745.1,754.0,775.0,751.75,765.5,766.3,763.76,2369230,18095.25,44944,473319,19.98
2019-11-04,LUPIN, EQ, 04-Nov-2019,766.3,768.2,769.6,756.0,759.1,759.95,762.02,737810,5622.24,24754,159694,21.64
2019-11-05,LUPIN, EQ, 05-Nov-2019,759.95,762.5,764.9,748.35,756.0,754.95,755.81,851794,6437.95,26269,267943,31.46
2019-11-06,LUPIN, EQ, 06-Nov-2019,754.95,757.75,787.6,740.2,759.0,771.45,764.74,4844748,37049.63,87109,881118,18.19
2019-11-07,LUPIN, EQ, 07-Nov-2019,771.45,745.0,754.15,735.25,739.0,737.45,740.91,6219780,46083.1,83993,3386383,54.45
2019-11-08,LUPIN, EQ, 08-Nov-2019,737.45,741.0,743.0,715.25,718.5,718.75,729.37,1523794,11114.15,31915,392955,25.79
2019-11-11,LUPIN, EQ, 11-Nov-2019,718.75,723.0,739.85,721.05,736.95,735.75,732.53,1502173,11003.83,27847,218617,14.55
2019-11-13,LUPIN, EQ, 13-Nov-2019,735.75,754.0,758.8,727.0,729.05,730.35,739.53,3036458,22455.62,61955,859152,28.29
2019-11-14,LUPIN, EQ, 14-Nov-2019,730.35,732.9,739.8,720.9,738.0,738.35,732.17,932902,6830.43,19214,194995,20.9
2019-11-15,LUPIN, EQ, 15-Nov-2019,738.35,739.85,747.8,731.55,742.7,742.25,741.28,1106828,8204.65,19753,317217,28.66
2019-11-18,LUPIN, EQ, 18-Nov-2019,742.25,742.3,759.2,742.25,745.55,746.55,751.39,1357203,10197.9,29083,280491,20.67
2019-11-19,LUPIN, EQ, 19-Nov-2019,746.55,746.8,754.85,740.7,748.0,747.7,747.54,888623,6642.85,18112, 254399, 28.63
