Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,M&M, EQ, 23-Aug-2019,511.8,511.0,536.3,509.25,536.0,533.25,526.4,2807785,14780.12,73473,885795,31.55,Auto
2019-10-01,M&M, EQ, 01-Oct-2019,547.15,551.0,566.1,536.6,559.0,556.7,555.06,5664019,31438.5,104246,1148975,20.29,Auto
2019-10-03,M&M, EQ, 03-Oct-2019,556.7,558.0,564.95,547.1,562.0,562.7,557.8,3797753,21183.89,68853,855822,22.53,Auto
2019-10-04,M&M, EQ, 04-Oct-2019,562.7,565.05,575.0,555.45,560.9,564.25,567.82,4653685,26424.46,87771,1274639,27.39,Auto
2019-10-07,M&M, EQ, 07-Oct-2019,564.25,561.1,562.9,546.5,554.2,552.95,554.38,2367535,13125.13,55176,371702,15.7,Auto
2019-10-09,M&M, EQ, 09-Oct-2019,552.95,556.0,578.8,550.95,576.9,576.55,568.5,4863273,27647.86,70213,1600029,32.9,Auto
2019-10-10,M&M, EQ, 10-Oct-2019,576.55,576.0,576.0,559.25,566.55,566.05,565.22,2156410,12188.41,52190,350906,16.27,Auto
2019-10-11,M&M, EQ, 11-Oct-2019,566.05,568.55,574.3,554.1,559.75,560.1,561.31,3133395,17588.05,56926,1023554,32.67,Auto
2019-10-14,M&M, EQ, 14-Oct-2019,560.1,562.9,572.35,554.55,567.8,568.65,565.05,2630640,14864.53,38514,715525,27.2,Auto
2019-10-15,M&M, EQ, 15-Oct-2019,568.65,568.0,586.55,565.2,582.5,583.4,579.97,4967499,28809.83,56680,1439677,28.98,Auto
2019-10-16,M&M, EQ, 16-Oct-2019,583.4,582.5,586.9,575.35,583.4,584.25,581.04,2279203,13242.97,55728,499405,21.91,Auto
2019-10-17,M&M, EQ, 17-Oct-2019,584.25,581.1,596.35,578.75,589.0,593.3,589.45,3744228,22070.27,93157,1426368,38.1,Auto
2019-10-18,M&M, EQ, 18-Oct-2019,593.3,589.0,595.5,583.6,594.2,593.3,590.14,2955289,17440.24,64281,963720,32.61,Auto
2019-10-22,M&M, EQ, 22-Oct-2019,593.3,593.4,601.2,587.45,596.85,595.8,595.39,3494913,20808.27,69733,1415725,40.51,Auto
2019-10-23,M&M, EQ, 23-Oct-2019,595.8,596.9,599.65,587.15,591.55,591.85,593.99,2371317,14085.43,55265,1049288,44.25,Auto
2019-10-24,M&M, EQ, 24-Oct-2019,591.85,592.0,595.5,578.6,582.0,581.05,584.51,2212393,12931.7,48698,657937,29.74,Auto
2019-10-25,M&M, EQ, 25-Oct-2019,581.05,585.7,585.7,570.25,576.75,577.7,575.81,2284548,13154.64,50533,720007,31.52,Auto
2019-10-27,M&M, EQ, 27-Oct-2019,577.7,584.45,595.0,580.0,589.5,591.5,589.28,852012,5020.76,15271,154974,18.19,Auto
2019-10-29,M&M, EQ, 29-Oct-2019,591.5,595.45,618.0,592.5,610.1,611.8,608.48,6543163,39813.56,96302,2839508,43.4,Auto
2019-10-30,M&M, EQ, 30-Oct-2019,611.8,617.2,619.9,605.0,618.0,616.55,612.78,4296705,26329.37,66355,2165298,50.39,Auto
2019-10-31,M&M, EQ, 31-Oct-2019,616.55,617.6,621.65,603.75,606.0,606.45,609.24,4595842,27999.54,83216,2227601,48.47,Auto
2019-11-01,M&M, EQ, 01-Nov-2019,606.45,609.0,609.75,581.0,590.0,589.75,591.99,7558094,44743.26,134414,3443121,45.56,Auto
2019-11-04,M&M, EQ, 04-Nov-2019,589.75,591.0,594.55,581.9,585.4,586.4,587.64,3128961,18387.17,62578,1168924,37.36,Auto
2019-11-05,M&M, EQ, 05-Nov-2019,586.4,583.3,590.6,577.1,579.0,580.15,583.04,2653917,15473.35,55723,974638,36.72,Auto
2019-11-06,M&M, EQ, 06-Nov-2019,580.15,590.25,590.3,577.1,578.0,579.8,581.92,2763550,16081.59,62094,710248,25.7,Auto
2019-11-07,M&M, EQ, 07-Nov-2019,579.8,579.8,583.5,572.0,580.05,580.35,578.01,3279435,18955.31,53215,1332390,40.63,Auto
2019-11-08,M&M, EQ, 08-Nov-2019,580.35,578.0,596.5,576.85,581.9,580.0,588.59,8374614,49292.42,110648,1145530,13.68,Auto
2019-11-11,M&M, EQ, 11-Nov-2019,580.0,581.7,586.95,570.0,576.15,575.0,576.6,3492576,20138.13,55706,863822,24.73,Auto
2019-11-13,M&M, EQ, 13-Nov-2019,575.0,574.0,580.9,572.0,573.05,574.7,576.22,3342543,19260.43,82429,1575005,47.12,Auto
2019-11-14,M&M, EQ, 14-Nov-2019,574.7,575.2,579.65,567.75,579.0,578.45,574.9,2193683,12611.51,38502,851844,38.83,Auto
2019-11-15,M&M, EQ, 15-Nov-2019,578.45,583.75,590.85,579.75,581.8,583.05,586.13,3063043,17953.57,55499,1204048,39.31,Auto
2019-11-18,M&M, EQ, 18-Nov-2019,583.05,580.1,582.6,571.8,573.4,573.7,574.68,3212994,18464.3,67530,1777776,55.33,Auto
2019-11-19,M&M, EQ, 19-Nov-2019,573.7,573.75,575.0,559.65,561.0,560.65,564.14,3208662,18101.28,72159,1494339,46.57,Auto
2019-11-20,M&M, EQ, 20-Nov-2019,560.65,562.25,568.45,557.5,560.15,560.45,563.15,2876499,16198.88,68274,966699,33.61,Auto
2019-11-21,M&M, EQ, 21-Nov-2019,560.45,560.5,562.65,550.2,550.9,551.8,554.81,3346254,18565.32,48636,1709428,51.08,Auto
