Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,M&MFIN, EQ, 23-Aug-2019,305.45,303.0,318.5,302.85,310.9,311.95,311.26,3049530,9491.89,54600,1201682,39.41,Financials
2019-10-01,M&MFIN, EQ, 01-Oct-2019,328.0,329.5,331.95,314.55,323.3,322.05,323.15,1772116,5726.53,27529,498745,28.14,Financials
2019-10-03,M&MFIN, EQ, 03-Oct-2019,322.05,321.0,327.0,315.55,326.0,325.95,323.43,1762532,5700.56,34698,877561,49.79,Financials
2019-10-04,M&MFIN, EQ, 04-Oct-2019,325.95,330.9,336.7,323.2,324.5,324.25,329.51,2230419,7349.41,29563,679401,30.46,Financials
2019-10-07,M&MFIN, EQ, 07-Oct-2019,324.25,325.0,327.8,318.0,326.1,325.7,324.24,1420935,4607.31,31829,634713,44.67,Financials
2019-10-09,M&MFIN, EQ, 09-Oct-2019,325.7,326.5,335.0,325.2,333.55,333.65,331.13,1093908,3622.24,21181,385882,35.28,Financials
2019-10-10,M&MFIN, EQ, 10-Oct-2019,333.65,331.1,334.6,324.3,325.3,326.0,327.95,1354129,4440.87,23165,728561,53.8,Financials
2019-10-11,M&MFIN, EQ, 11-Oct-2019,326.0,328.0,331.2,321.45,322.0,323.2,325.87,1076806,3508.94,16830,366380,34.02,Financials
2019-10-14,M&MFIN, EQ, 14-Oct-2019,323.2,324.0,331.05,316.85,318.2,320.7,324.07,1257525,4075.3,17738,264344,21.02,Financials
2019-10-15,M&MFIN, EQ, 15-Oct-2019,320.7,321.2,321.2,312.0,314.85,316.6,316.05,1877025,5932.33,26471,457907,24.4,Financials
2019-10-16,M&MFIN, EQ, 16-Oct-2019,316.6,316.9,319.2,299.7,304.35,304.95,306.04,4659101,14258.66,47197,1818629,39.03,Financials
2019-10-17,M&MFIN, EQ, 17-Oct-2019,304.95,306.0,317.8,304.0,316.5,316.1,312.71,1439799,4502.36,20286,359259,24.95,Financials
2019-10-18,M&MFIN, EQ, 18-Oct-2019,316.1,314.9,328.55,314.9,319.05,319.25,323.69,1870277,6053.94,31299,430088,23.0,Financials
2019-10-22,M&MFIN, EQ, 22-Oct-2019,319.25,315.2,347.55,312.4,343.35,341.15,338.85,3831490,12982.97,66884,889743,23.22,Financials
2019-10-23,M&MFIN, EQ, 23-Oct-2019,341.15,339.0,346.8,328.3,334.0,334.0,336.6,3371117,11347.32,39766,834293,24.75,Financials
2019-10-24,M&MFIN, EQ, 24-Oct-2019,334.0,336.5,341.5,325.45,330.65,330.85,333.56,4056905,13532.38,51309,2468289,60.84,Financials
2019-10-25,M&MFIN, EQ, 25-Oct-2019,330.85,332.9,338.5,327.35,337.05,337.25,334.28,2141364,7158.22,21598,1178781,55.05,Financials
2019-10-27,M&MFIN, EQ, 27-Oct-2019,337.25,338.9,339.5,336.05,338.2,338.05,338.03,141524,478.39,2188,28008,19.79,Financials
2019-10-29,M&MFIN, EQ, 29-Oct-2019,338.05,338.0,356.6,335.1,351.4,354.4,348.74,2341769,8166.75,47123,1024926,43.77,Financials
2019-10-30,M&MFIN, EQ, 30-Oct-2019,354.4,354.0,368.0,349.5,357.2,358.75,357.94,1711626,6126.57,26033,513772,30.02,Financials
2019-10-31,M&MFIN, EQ, 31-Oct-2019,358.75,360.9,362.7,351.95,355.35,353.0,356.32,1637629,5835.16,24087,799608,48.83,Financials
2019-11-01,M&MFIN, EQ, 01-Nov-2019,353.0,353.0,361.65,353.0,356.25,356.3,357.12,1511125,5396.58,17546,822708,54.44,Financials
2019-11-04,M&MFIN, EQ, 04-Nov-2019,356.3,357.0,367.35,356.25,359.75,359.7,361.49,1737324,6280.18,21228,739294,42.55,Financials
2019-11-05,M&MFIN, EQ, 05-Nov-2019,359.7,359.0,365.7,345.5,347.95,348.6,352.82,1631049,5754.69,20324,522055,32.01,Financials
2019-11-06,M&MFIN, EQ, 06-Nov-2019,348.6,349.9,352.85,342.65,344.75,345.3,347.22,711807,2471.55,14197,186399,26.19,Financials
2019-11-07,M&MFIN, EQ, 07-Nov-2019,345.3,350.0,356.55,339.3,339.5,340.35,345.07,1416300,4887.26,32583,547483,38.66,Financials
2019-11-08,M&MFIN, EQ, 08-Nov-2019,340.35,339.0,339.4,327.75,330.0,329.0,334.25,1099647,3675.62,12337,311948,28.37,Financials
2019-11-11,M&MFIN, EQ, 11-Nov-2019,329.0,328.9,335.25,327.25,333.15,333.15,332.49,502485,1670.72,12411,139622,27.79,Financials
2019-11-13,M&MFIN, EQ, 13-Nov-2019,333.15,331.3,337.9,323.1,324.55,326.15,328.87,1755456,5773.17,32072,886789,50.52,Financials
2019-11-14,M&MFIN, EQ, 14-Nov-2019,326.15,326.45,329.3,321.0,327.5,328.35,326.08,1125712,3670.68,23988,498061,44.24,Financials
2019-11-15,M&MFIN, EQ, 15-Nov-2019,328.35,328.95,331.05,322.3,325.0,324.3,325.01,1328052,4316.34,26063,542158,40.82,Financials
