Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,MANAPPURAM, EQ, 23-Aug-2019,118.1,116.1,120.95,113.9,120.45,120.1,118.06,4982484,5882.52,18254,866600,17.39
2019-10-01,MANAPPURAM, EQ, 01-Oct-2019,141.2,141.0,142.05,132.4,134.2,134.3,136.56,4817177,6578.12,33278,1873157,38.88
2019-10-03,MANAPPURAM, EQ, 03-Oct-2019,134.3,132.1,135.95,131.85,133.3,133.45,133.7,3371691,4507.98,16892,1303074,38.65
2019-10-04,MANAPPURAM, EQ, 04-Oct-2019,133.45,134.3,135.0,132.0,132.7,132.9,133.43,2511315,3350.76,17153,634557,25.27
2019-10-07,MANAPPURAM, EQ, 07-Oct-2019,132.9,133.0,134.85,132.0,133.0,132.7,133.38,2062979,2751.65,11393,667223,32.34
2019-10-09,MANAPPURAM, EQ, 09-Oct-2019,132.7,132.85,140.85,132.8,140.3,140.0,137.28,5963476,8186.9,30823,1847240,30.98
2019-10-10,MANAPPURAM, EQ, 10-Oct-2019,140.0,140.0,140.1,137.35,138.0,138.55,138.58,3502566,4854.01,19438,1260344,35.98
2019-10-11,MANAPPURAM, EQ, 11-Oct-2019,138.55,139.05,141.9,138.25,139.75,140.25,140.19,4452616,6242.19,28423,1675845,37.64
2019-10-14,MANAPPURAM, EQ, 14-Oct-2019,140.25,139.0,142.8,137.25,138.6,138.5,140.36,3561080,4998.33,19618,1273551,35.76
2019-10-15,MANAPPURAM, EQ, 15-Oct-2019,138.5,138.5,140.0,135.45,138.0,137.65,138.12,4315701,5960.74,31597,2158245,50.01
2019-10-16,MANAPPURAM, EQ, 16-Oct-2019,137.65,137.65,138.25,135.2,136.25,136.25,136.44,3168858,4323.6,21687,1300896,41.05
