Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,MARICO, EQ, 23-Aug-2019,391.6,390.0,392.0,377.65,378.0,380.05,383.07,3743198,14339.04,54595,2676043,71.49
2019-10-01,MARICO, EQ, 01-Oct-2019,394.25,394.0,397.9,379.5,387.95,387.8,389.08,2555372,9942.35,56228,1465302,57.34
2019-10-03,MARICO, EQ, 03-Oct-2019,387.8,386.4,390.0,380.3,383.2,384.0,383.39,1999508,7665.99,74595,1432355,71.64
2019-10-04,MARICO, EQ, 04-Oct-2019,384.0,384.6,385.1,376.8,378.2,378.8,379.83,1796297,6822.81,45732,1248110,69.48
2019-10-07,MARICO, EQ, 07-Oct-2019,378.8,378.8,381.5,375.0,379.6,379.25,378.82,647438,2452.61,27678,324819,50.17
2019-10-09,MARICO, EQ, 09-Oct-2019,379.25,379.0,385.05,378.0,383.85,383.6,382.36,1453314,5556.95,26298,1005731,69.2
2019-10-10,MARICO, EQ, 10-Oct-2019,383.6,382.95,388.35,380.9,385.75,384.5,383.81,1235106,4740.49,17981,717058,58.06
2019-10-11,MARICO, EQ, 11-Oct-2019,384.5,385.7,387.75,381.05,384.05,383.45,383.21,1273100,4878.68,34231,841292,66.08
2019-10-14,MARICO, EQ, 14-Oct-2019,383.45,384.55,389.0,382.55,385.0,384.95,385.05,1873572,7214.17,31404,1212882,64.74
2019-10-15,MARICO, EQ, 15-Oct-2019,384.95,385.5,385.55,379.0,382.75,382.95,381.76,1562818,5966.19,43574,1053214,67.39
2019-10-16,MARICO, EQ, 16-Oct-2019,382.95,383.4,385.0,377.55,381.8,380.45,381.16,1259137,4799.35,21685,857814,68.13
2019-10-17,MARICO, EQ, 17-Oct-2019,380.45,380.05,389.9,378.8,389.9,387.55,382.87,1438251,5506.66,27282,946723,65.82
2019-10-18,MARICO, EQ, 18-Oct-2019,387.55,387.75,392.9,385.5,392.5,391.85,389.3,1563849,6088.1,20597,911604,58.29
2019-10-22,MARICO, EQ, 22-Oct-2019,391.85,392.95,400.9,392.15,395.35,395.1,396.49,2136931,8472.77,45239,918070,42.96
2019-10-23,MARICO, EQ, 23-Oct-2019,395.1,395.35,395.95,389.75,393.5,393.75,392.46,1445027,5671.12,24481,918980,63.6
2019-10-24,MARICO, EQ, 24-Oct-2019,393.75,395.8,398.75,387.15,395.5,394.45,392.56,1746043,6854.3,51803,983797,56.34
2019-10-25,MARICO, EQ, 25-Oct-2019,394.45,395.4,396.0,386.0,393.15,393.8,391.1,2173362,8499.94,33956,1089570,50.13
2019-10-27,MARICO, EQ, 27-Oct-2019,393.8,389.9,394.6,383.7,392.7,391.1,389.66,559133,2178.72,8201,212310,37.97
2019-10-29,MARICO, EQ, 29-Oct-2019,391.1,389.1,389.1,362.25,365.4,366.6,367.8,8461743,31122.56,110743,4021119,47.52
