Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,MARUTI, EQ, 23-Aug-2019,6208.55,6160.0,6279.6,6040.0,6250.9,6254.35,6175.49,1232405,76107.0,138478,237375,19.26,Auto
2019-10-01,MARUTI, EQ, 01-Oct-2019,6715.8,6720.0,6850.0,6650.0,6786.6,6782.0,6762.4,1473158,99620.78,126618,123077,8.35,Auto
2019-10-03,MARUTI, EQ, 03-Oct-2019,6782.0,6786.6,6794.95,6680.0,6743.1,6754.05,6733.72,850852,57294.02,89067,172543,20.28,Auto
2019-10-04,MARUTI, EQ, 04-Oct-2019,6754.05,6793.0,6845.9,6618.4,6645.95,6649.6,6762.15,1065056,72020.67,93392,178145,16.73,Auto
2019-10-07,MARUTI, EQ, 07-Oct-2019,6649.6,6674.7,6699.0,6558.15,6639.0,6629.85,6636.21,696713,46235.35,68054,90886,13.04,Auto
2019-10-09,MARUTI, EQ, 09-Oct-2019,6629.85,6628.0,6743.8,6590.0,6730.0,6719.55,6691.03,1017731,68096.65,83048,218687,21.49,Auto
2019-10-10,MARUTI, EQ, 10-Oct-2019,6719.55,6700.0,6742.1,6558.25,6624.0,6605.45,6639.63,985523,65435.13,80370,84641,8.59,Auto
2019-10-11,MARUTI, EQ, 11-Oct-2019,6605.45,6626.3,6720.0,6626.3,6692.8,6698.9,6681.63,835065,55795.96,63691,105040,12.58,Auto
2019-10-14,MARUTI, EQ, 14-Oct-2019,6698.9,6697.95,6874.55,6696.05,6805.4,6821.1,6774.6,963217,65254.13,72532,229446,23.82,Auto
2019-10-15,MARUTI, EQ, 15-Oct-2019,6821.1,6811.0,7019.0,6809.0,6995.0,6985.75,6951.84,1276061,88709.78,98230,184230,14.44,Auto
2019-10-16,MARUTI, EQ, 16-Oct-2019,6985.75,7003.45,7013.9,6895.0,6977.0,6975.0,6958.16,876844,61012.25,84164,250951,28.62,Auto
2019-10-17,MARUTI, EQ, 17-Oct-2019,6975.0,6977.0,7155.55,6940.0,7126.0,7123.9,7027.01,1248295,87717.8,89325,415007,33.25,Auto
2019-10-18,MARUTI, EQ, 18-Oct-2019,7123.9,7081.3,7450.0,7061.65,7350.0,7302.3,7225.4,1463126,105716.73,114860,556218,38.02,Auto
2019-10-22,MARUTI, EQ, 22-Oct-2019,7302.3,7333.0,7392.0,7232.0,7262.25,7256.25,7313.8,959552,70179.69,90739,229762,23.94,Auto
2019-10-23,MARUTI, EQ, 23-Oct-2019,7256.25,7201.05,7472.0,7200.0,7415.2,7440.25,7381.04,1278695,94380.99,103063,258231,20.19,Auto
2019-10-24,MARUTI, EQ, 24-Oct-2019,7440.25,7460.0,7475.0,7271.0,7390.0,7391.4,7386.6,1658859,122533.27,157094,276210,16.65,Auto
2019-10-25,MARUTI, EQ, 25-Oct-2019,7391.4,7396.5,7509.0,7353.85,7460.3,7471.15,7442.2,1353615,100738.77,164781,297170,21.95,Auto
2019-10-27,MARUTI, EQ, 27-Oct-2019,7471.15,7477.0,7500.0,7392.05,7412.0,7422.1,7444.9,128352,9555.68,12869,22464,17.5,Auto
2019-10-29,MARUTI, EQ, 29-Oct-2019,7422.1,7416.0,7758.7,7381.85,7750.0,7721.3,7612.92,1396732,106332.13,157536,505877,36.22,Auto
2019-10-30,MARUTI, EQ, 30-Oct-2019,7721.3,7744.0,7753.65,7539.7,7562.0,7556.95,7625.75,1243366,94815.92,127442,314143,25.27,Auto
2019-10-31,MARUTI, EQ, 31-Oct-2019,7556.95,7612.9,7645.0,7502.0,7559.45,7559.4,7568.25,1067275,80774.06,109160,294848,27.63,Auto
2019-11-01,MARUTI, EQ, 01-Nov-2019,7559.4,7599.95,7649.0,7545.1,7602.0,7618.65,7603.25,1151035,87516.11,95019,212054,18.42,Auto
2019-11-04,MARUTI, EQ, 04-Nov-2019,7618.65,7550.0,7625.0,7407.45,7429.95,7424.0,7494.28,824953,61824.29,75458,162110,19.65,Auto
2019-11-05,MARUTI, EQ, 05-Nov-2019,7424.0,7429.95,7541.95,7325.0,7395.95,7389.0,7421.46,1207089,89583.57,100603,243140,20.14,Auto
2019-11-06,MARUTI, EQ, 06-Nov-2019,7389.0,7395.0,7415.0,7295.0,7310.0,7311.15,7338.92,923041,67741.24,76497,352481,38.19,Auto
