Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,MCX, EQ, 23-Aug-2019,838.35,836.6,857.3,818.7,852.0,849.6,842.37,269363,2269.02,14109,64194,23.83
2019-10-01,MCX, EQ, 01-Oct-2019,960.9,966.0,978.0,927.05,947.2,947.75,961.18,601266,5779.26,25978,184932,30.76
2019-10-03,MCX, EQ, 03-Oct-2019,947.75,951.0,968.0,940.35,955.0,956.5,955.61,369189,3527.99,14300,76360,20.68
2019-10-04,MCX, EQ, 04-Oct-2019,956.5,969.0,969.0,929.0,935.1,936.55,949.02,340497,3231.38,11241,94251,27.68
2019-10-07,MCX, EQ, 07-Oct-2019,936.55,941.9,974.95,927.85,959.9,962.25,957.32,450162,4309.5,15819,93341,20.73
2019-10-09,MCX, EQ, 09-Oct-2019,962.25,957.6,970.0,943.3,957.95,964.4,957.82,322172,3085.83,16647,101269,31.43
2019-10-10,MCX, EQ, 10-Oct-2019,964.4,954.65,1014.8,953.9,1005.85,1008.9,995.93,980815,9768.28,35554,237954,24.26
2019-10-11,MCX, EQ, 11-Oct-2019,1008.9,1010.0,1019.8,990.0,1000.0,1003.9,1005.24,1017426,10227.55,30389,490689,48.23
2019-10-14,MCX, EQ, 14-Oct-2019,1003.9,1003.9,1012.0,985.55,990.0,992.45,1002.53,552014,5534.1,22016,151998,27.54
2019-10-15,MCX, EQ, 15-Oct-2019,992.45,997.9,1022.8,992.0,1022.8,1015.65,1010.52,1261305,12745.69,41128,428813,34.0
2019-10-16,MCX, EQ, 16-Oct-2019,1015.65,1070.9,1110.0,1018.0,1021.45,1027.85,1062.31,5235582,55618.21,135564,1112238,21.24
2019-10-17,MCX, EQ, 17-Oct-2019,1027.85,1025.0,1037.0,999.25,1006.0,1005.05,1011.46,1305331,13202.87,41720,359215,27.52
2019-10-18,MCX, EQ, 18-Oct-2019,1005.05,1006.0,1088.0,1006.0,1066.0,1068.85,1058.17,2100971,22231.79,60066,495068,23.56
2019-10-22,MCX, EQ, 22-Oct-2019,1068.85,1066.0,1127.75,1046.1,1120.0,1119.0,1098.21,1584859,17405.12,56266,508058,32.06
2019-10-23,MCX, EQ, 23-Oct-2019,1119.0,1120.0,1200.0,1120.0,1169.65,1169.65,1162.37,2029887,23594.81,81942,450873,22.21
2019-10-24,MCX, EQ, 24-Oct-2019,1169.65,1170.0,1185.0,1122.0,1127.0,1128.15,1144.73,807572,9244.52,33275,185572,22.98
2019-10-25,MCX, EQ, 25-Oct-2019,1128.15,1130.5,1170.0,1120.0,1140.0,1138.25,1142.92,830771,9495.01,31099,149383,17.98
2019-10-27,MCX, EQ, 27-Oct-2019,1138.25,1150.8,1159.85,1130.8,1147.0,1145.4,1148.51,115317,1324.43,5311,31166,27.03
