Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,MFSL, EQ, 23-Aug-2019,439.55,439.0,451.0,436.0,450.95,447.15,443.09,673179,2982.78,12106,220905,32.82,Others
2019-10-01,MFSL, EQ, 01-Oct-2019,426.8,428.9,430.6,411.4,421.2,420.65,421.5,362839,1529.38,7413,96255,26.53,Others
2019-10-03,MFSL, EQ, 03-Oct-2019,420.65,417.0,428.3,414.1,418.0,418.6,421.05,374399,1576.42,11100,154093,41.16,Others
2019-10-04,MFSL, EQ, 04-Oct-2019,418.6,419.4,422.25,403.7,406.2,405.15,410.3,462660,1898.3,6479,257785,55.72,Others
2019-10-07,MFSL, EQ, 07-Oct-2019,405.15,406.0,412.75,398.15,408.65,409.1,409.03,470499,1924.47,8776,228559,48.58,Others
2019-10-09,MFSL, EQ, 09-Oct-2019,409.1,410.0,417.75,405.0,415.0,415.65,412.15,232902,959.89,5937,61076,26.22,Others
2019-10-10,MFSL, EQ, 10-Oct-2019,415.65,415.65,418.0,402.55,405.3,407.0,408.04,447187,1824.7,7161,279019,62.39,Others
2019-10-11,MFSL, EQ, 11-Oct-2019,407.0,407.95,413.6,402.95,407.05,409.3,408.33,212019,865.75,5430,63639,30.02,Others
2019-10-14,MFSL, EQ, 14-Oct-2019,409.3,409.55,416.0,405.9,409.85,411.95,411.94,285550,1176.29,6997,118141,41.37,Others
2019-10-15,MFSL, EQ, 15-Oct-2019,411.95,409.05,422.0,406.3,409.45,408.85,415.63,524099,2178.31,10374,165483,31.57,Others
2019-10-16,MFSL, EQ, 16-Oct-2019,408.85,407.5,417.1,396.8,405.5,405.05,407.77,1901490,7753.63,33654,1157410,60.87,Others
2019-10-17,MFSL, EQ, 17-Oct-2019,405.05,406.95,410.25,403.3,404.9,405.35,405.55,381723,1548.06,7312,226868,59.43,Others
2019-10-18,MFSL, EQ, 18-Oct-2019,405.35,406.0,411.5,405.25,410.65,410.4,409.31,352631,1443.35,8493,158543,44.96,Others
2019-10-22,MFSL, EQ, 22-Oct-2019,410.4,411.4,445.55,407.35,437.6,435.1,432.73,1260877,5456.2,20750,330779,26.23,Others
2019-10-23,MFSL, EQ, 23-Oct-2019,435.1,432.0,435.05,416.1,420.95,423.6,423.4,1657648,7018.54,23088,916612,55.3,Others
2019-10-24,MFSL, EQ, 24-Oct-2019,423.6,424.65,424.8,414.05,414.8,416.1,419.65,537823,2256.99,8153,364816,67.83,Others
2019-10-25,MFSL, EQ, 25-Oct-2019,416.1,415.0,422.8,401.75,405.0,404.65,410.12,1012573,4152.81,18376,640465,63.25,Others
2019-10-27,MFSL, EQ, 27-Oct-2019,404.65,408.6,414.0,406.25,411.95,412.65,411.24,44539,183.16,934,17783,39.93,Others
2019-10-29,MFSL, EQ, 29-Oct-2019,412.65,412.0,418.5,412.0,413.7,414.25,414.22,579405,2400.02,11377,423423,73.08,Others
2019-10-30,MFSL, EQ, 30-Oct-2019,414.25,417.8,419.7,405.6,409.95,411.25,410.23,704787,2891.25,8238,365972,51.93,Others
2019-10-31,MFSL, EQ, 31-Oct-2019,411.25,412.0,413.6,403.0,405.5,406.15,405.85,981630,3983.99,14956,643373,65.54,Others
2019-11-01,MFSL, EQ, 01-Nov-2019,406.15,407.95,410.4,402.75,404.35,403.6,405.86,527407,2140.51,6104,329963,62.56,Others
2019-11-04,MFSL, EQ, 04-Nov-2019,403.6,405.45,443.9,404.5,433.15,431.95,427.9,2439720,10439.47,45966,616588,25.27,Others
2019-11-05,MFSL, EQ, 05-Nov-2019,431.95,431.0,442.35,423.05,428.5,428.7,433.48,1942276,8419.41,25288,1028954,52.98,Others
2019-11-06,MFSL, EQ, 06-Nov-2019,428.7,428.5,443.45,423.65,438.05,438.7,437.67,1136020,4971.96,21650,431568,37.99,Others
2019-11-07,MFSL, EQ, 07-Nov-2019,438.7,423.8,489.05,414.1,476.0,478.25,461.27,9028838,41647.17,154044,2207172,24.45,Others
2019-11-08,MFSL, EQ, 08-Nov-2019,478.25,474.85,497.15,465.0,477.2,482.0,477.23,5903904,28175.29,80015,2274711,38.53,Others
2019-11-11,MFSL, EQ, 11-Nov-2019,482.0,484.7,489.85,467.8,468.0,469.55,474.17,1508727,7153.92,37712,521743,34.58,Others
2019-11-13,MFSL, EQ, 13-Nov-2019,469.55,469.0,482.85,457.35,473.15,472.35,469.16,2656610,12463.83,57795,953651,35.9,Others
2019-11-14,MFSL, EQ, 14-Nov-2019,472.35,470.0,488.0,466.6,478.55,479.35,479.69,2253411,10809.32,31147,877172,38.93,Others
2019-11-15,MFSL, EQ, 15-Nov-2019,479.35,480.0,486.0,473.45,474.8,476.45,480.48,1369781,6581.53,28925,537251,39.22,Others
