Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,MGL, EQ, 23-Aug-2019,834.1,826.1,849.75,822.55,845.0,846.25,840.17,834503,7011.28,35647,360274,43.17,Others
2019-10-01,MGL, EQ, 01-Oct-2019,911.7,921.0,931.45,889.0,901.15,902.5,908.55,448040,4070.68,15183,138423,30.9,Others
2019-10-03,MGL, EQ, 03-Oct-2019,902.5,902.2,904.95,877.05,893.55,891.35,892.15,283285,2527.32,16976,83635,29.52,Others
2019-10-04,MGL, EQ, 04-Oct-2019,891.35,891.1,904.3,877.0,877.0,878.0,889.36,229953,2045.11,9067,74116,32.23,Others
2019-10-07,MGL, EQ, 07-Oct-2019,878.0,882.4,892.95,870.55,891.6,889.85,882.15,163593,1443.14,6223,39273,24.01,Others
2019-10-09,MGL, EQ, 09-Oct-2019,889.85,897.75,918.0,892.85,915.5,912.5,902.78,379939,3430.01,13470,64469,16.97,Others
2019-10-10,MGL, EQ, 10-Oct-2019,912.5,916.0,927.2,909.45,917.0,917.55,919.49,549899,5056.26,20851,180666,32.85,Others
2019-10-11,MGL, EQ, 11-Oct-2019,917.55,920.0,927.8,912.1,915.05,916.05,918.36,415044,3811.59,19151,244514,58.91,Others
2019-10-14,MGL, EQ, 14-Oct-2019,916.05,922.5,952.9,922.5,942.0,942.4,943.91,1070202,10101.75,34808,201332,18.81,Others
2019-10-15,MGL, EQ, 15-Oct-2019,942.4,948.0,964.8,941.3,947.75,949.1,954.15,844828,8060.88,25773,209052,24.74,Others
2019-10-16,MGL, EQ, 16-Oct-2019,949.1,952.8,984.25,950.4,979.35,978.95,972.18,859574,8356.59,30977,264076,30.72,Others
2019-10-17,MGL, EQ, 17-Oct-2019,978.95,981.0,983.95,962.1,974.0,974.85,972.02,413506,4019.38,15616,133447,32.27,Others
2019-10-18,MGL, EQ, 18-Oct-2019,974.85,975.4,983.5,960.65,964.35,966.4,974.65,401923,3917.35,16314,199309,49.59,Others
2019-10-22,MGL, EQ, 22-Oct-2019,966.4,964.4,969.0,949.4,957.8,955.85,957.12,302924,2899.35,13267,84283,27.82,Others
2019-10-23,MGL, EQ, 23-Oct-2019,955.85,957.8,967.45,947.1,953.0,952.85,960.24,472012,4532.46,22058,153517,32.52,Others
2019-10-24,MGL, EQ, 24-Oct-2019,952.85,955.9,960.6,940.65,948.15,947.45,948.0,385820,3657.56,12664,97838,25.36,Others
2019-10-25,MGL, EQ, 25-Oct-2019,947.45,949.0,978.0,947.0,972.0,971.8,969.27,1250943,12125.07,70528,624356,49.91,Others
2019-10-27,MGL, EQ, 27-Oct-2019,971.8,976.8,985.0,976.0,983.0,983.15,982.09,83308,818.16,3223,29917,35.91,Others
2019-10-29,MGL, EQ, 29-Oct-2019,983.15,988.05,999.0,976.0,987.0,985.55,989.83,540740,5352.43,34993,225920,41.78,Others
2019-10-30,MGL, EQ, 30-Oct-2019,985.55,989.0,1013.0,987.0,1004.0,1004.45,1005.32,1052542,10581.44,37998,381301,36.23,Others
2019-10-31,MGL, EQ, 31-Oct-2019,1004.45,1009.0,1029.8,1005.6,1020.15,1019.75,1021.72,926424,9465.49,64593,535544,57.81,Others
