Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2022-06-09,MOTHERSON, EQ, 09-Jun-2022,124.0,123.0,124.7,122.5,124.25,124.4,124.12,2901819,3601.75,23652,2031805,70.02,Auto Ancillary
2022-06-10,MOTHERSON, EQ, 10-Jun-2022,124.4,123.0,124.6,122.1,122.55,122.7,123.5,1972170,2435.69,16864,962350,48.8,Auto Ancillary
2022-06-13,MOTHERSON, EQ, 13-Jun-2022,122.7,121.4,122.75,119.0,121.0,120.65,120.92,5133159,6206.83,27650,2909997,56.69,Auto Ancillary
2022-06-14,MOTHERSON, EQ, 14-Jun-2022,120.65,119.5,122.2,119.05,120.4,120.2,120.76,3381203,4083.18,27792,1397930,41.34,Auto Ancillary
2022-06-15,MOTHERSON, EQ, 15-Jun-2022,120.2,121.0,122.4,120.2,120.25,120.85,121.48,1891106,2297.27,12439,766349,40.52,Auto Ancillary
2022-06-16,MOTHERSON, EQ, 16-Jun-2022,120.85,122.7,123.3,117.0,117.35,117.35,119.89,3778592,4529.99,37075,1908442,50.51,Auto Ancillary
2022-06-17,MOTHERSON, EQ, 17-Jun-2022,117.35,117.3,118.15,114.8,116.0,116.2,116.65,4295883,5011.13,27586,2376348,55.32,Auto Ancillary
2022-06-20,MOTHERSON, EQ, 20-Jun-2022,116.2,116.2,117.8,112.0,113.2,112.95,115.32,5149447,5938.22,30484,2240962,43.52,Auto Ancillary
2022-06-21,MOTHERSON, EQ, 21-Jun-2022,112.95,114.0,120.2,113.8,119.15,118.75,118.09,4924946,5815.99,27449,2364920,48.02,Auto Ancillary
2022-06-22,MOTHERSON, EQ, 22-Jun-2022,118.75,118.0,118.5,114.3,115.85,115.6,115.81,4529210,5245.36,26574,1695906,37.44,Auto Ancillary
2022-06-23,MOTHERSON, EQ, 23-Jun-2022,115.6,115.9,119.8,115.9,119.3,119.45,118.37,4892190,5790.95,35723,1777116,36.33,Auto Ancillary
2022-06-24,MOTHERSON, EQ, 24-Jun-2022,119.45,120.9,123.0,119.15,122.95,122.3,121.63,5379023,6542.33,32238,2072620,38.53,Auto Ancillary
