Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,MPHASIS, EQ, 23-Aug-2019,964.85,960.55,985.9,960.55,984.5,982.75,981.46,109796,1077.6,7097,64698,58.93
2019-10-01,MPHASIS, EQ, 01-Oct-2019,957.0,957.1,962.95,934.4,938.95,937.45,943.41,583671,5506.41,10075,211687,36.27
2019-10-03,MPHASIS, EQ, 03-Oct-2019,937.45,940.0,944.75,936.2,937.0,937.75,939.32,173642,1631.05,7778,138557,79.79
2019-10-04,MPHASIS, EQ, 04-Oct-2019,937.75,940.0,947.55,936.0,938.0,938.7,938.21,256231,2403.99,5950,229529,89.58
2019-10-07,MPHASIS, EQ, 07-Oct-2019,938.7,946.7,959.25,935.15,945.0,953.45,946.85,277972,2631.98,8043,176329,63.43
2019-10-09,MPHASIS, EQ, 09-Oct-2019,953.45,951.6,951.6,924.2,929.5,929.4,934.45,264606,2472.62,19980,211863,80.07
2019-10-10,MPHASIS, EQ, 10-Oct-2019,929.4,929.9,939.0,900.05,908.0,909.2,916.24,408474,3742.58,16616,320195,78.39
2019-10-11,MPHASIS, EQ, 11-Oct-2019,909.2,914.45,914.45,880.1,887.0,884.1,898.15,377223,3388.02,22769,313689,83.16
2019-10-14,MPHASIS, EQ, 14-Oct-2019,884.1,889.15,909.0,887.0,905.05,904.65,901.64,107137,965.99,7672,68804,64.22
2019-10-15,MPHASIS, EQ, 15-Oct-2019,904.65,901.0,922.95,901.0,921.0,921.5,919.6,114430,1052.3,4807,96317,84.17
2019-10-16,MPHASIS, EQ, 16-Oct-2019,921.5,917.0,925.0,909.0,921.1,921.75,918.72,45483,417.86,4458,27465,60.39
2019-10-17,MPHASIS, EQ, 17-Oct-2019,921.75,924.0,924.95,917.1,923.05,923.65,921.43,49462,455.76,3905,36734,74.27
2019-10-18,MPHASIS, EQ, 18-Oct-2019,923.65,924.95,943.0,918.05,930.1,935.85,934.91,187638,1754.25,7940,108791,57.98
2019-10-22,MPHASIS, EQ, 22-Oct-2019,935.85,920.0,927.85,902.5,915.0,915.15,913.21,108447,990.35,10979,68847,63.48
2019-10-23,MPHASIS, EQ, 23-Oct-2019,915.15,910.5,938.0,910.5,926.5,927.3,929.05,183316,1703.09,9869,155277,84.7
2019-10-24,MPHASIS, EQ, 24-Oct-2019,927.3,921.55,942.85,898.5,927.0,927.4,927.26,340867,3160.74,10783,220241,64.61
2019-10-25,MPHASIS, EQ, 25-Oct-2019,927.4,931.75,948.95,921.0,940.1,944.75,938.01,122543,1149.46,10655,73598,60.06
2019-10-27,MPHASIS, EQ, 27-Oct-2019,944.75,944.0,944.0,927.0,938.0,937.15,935.77,3979,37.23,362,2200,55.29
2019-10-29,MPHASIS, EQ, 29-Oct-2019,937.15,944.0,955.9,921.9,943.05,948.8,939.65,100150,941.06,9888,60788,60.7
2019-10-30,MPHASIS, EQ, 30-Oct-2019,948.8,948.0,948.0,933.1,940.0,939.75,940.57,203000,1909.36,7647,166294,81.92
2019-10-31,MPHASIS, EQ, 31-Oct-2019,939.75,935.15,957.0,935.0,949.0,950.25,945.7,299095,2828.54,16683,237549,79.42
2019-11-01,MPHASIS, EQ, 01-Nov-2019,950.25,945.1,954.95,942.45,950.75,951.85,949.72,59602,566.05,3458,37415,62.77
2019-11-04,MPHASIS, EQ, 04-Nov-2019,951.85,951.2,954.75,935.45,937.0,938.95,942.89,74942,706.62,6477,39056,52.11
2019-11-05,MPHASIS, EQ, 05-Nov-2019,938.95,937.05,940.4,913.0,915.0,914.6,921.75,168201,1550.39,8716,139967,83.21
2019-11-06,MPHASIS, EQ, 06-Nov-2019,914.6,915.0,920.45,908.1,915.0,915.15,913.49,63133,576.71,3881,40658,64.4
2019-11-07,MPHASIS, EQ, 07-Nov-2019,915.15,918.35,920.0,900.25,909.1,904.7,908.37,58656,532.81,4633,25129,42.84
2019-11-08,MPHASIS, EQ, 08-Nov-2019,904.7,904.7,914.0,875.1,876.0,879.55,890.95,100609,896.38,7710,56577,56.23
2019-11-11,MPHASIS, EQ, 11-Nov-2019,879.55,874.2,894.0,874.2,890.45,890.85,888.77,81044,720.29,8662,50708,62.57
2019-11-13,MPHASIS, EQ, 13-Nov-2019,890.85,897.0,899.45,882.1,891.0,891.35,890.9,143355,1277.15,6146,115296,80.43
2019-11-14,MPHASIS, EQ, 14-Nov-2019,891.35,891.35,899.0,887.0,890.8,893.35,891.55,78354,698.57,5991,48080,61.36
2019-11-15,MPHASIS, EQ, 15-Nov-2019,893.35,898.6,914.0,885.0,907.0,907.1,895.74,129296,1158.16,10783,80069,61.93
2019-11-18,MPHASIS, EQ, 18-Nov-2019,907.1,913.0,930.4,908.05,919.75,922.05,915.29,758777,6944.99,10989,689164,90.83
2019-11-19,MPHASIS, EQ, 19-Nov-2019,922.05,925.0,925.0,908.0,913.0,914.25,914.2,107320,981.12,10438, 74767, 69.67
2019-11-20,MPHASIS, EQ, 20-Nov-2019,914.25,910.2,917.85,904.0,909.2,910.6,913.83,111307,1017.15,7689, 86273, 77.51
2019-11-21,MPHASIS, EQ, 21-Nov-2019,910.6,906.0,910.0,881.7,887.5,890.15,892.43,114983,1026.14,12046,76171,66.25
2019-11-22,MPHASIS, EQ, 22-Nov-2019,890.15,891.0,891.0,850.35,857.25,857.8,860.7,474983,4088.19,22262,299112,62.97
2019-11-25,MPHASIS, EQ, 25-Nov-2019,857.8,863.0,881.0,860.05,876.5,878.6,872.34,154970,1351.87,8017,63341,40.87
2019-11-26,MPHASIS, EQ, 26-Nov-2019,878.6,880.0,882.9,830.0,832.0,840.35,854.25,144288,1232.58,13750, 101736, 70.51
2019-11-27,MPHASIS, EQ, 27-Nov-2019,840.35,837.6,845.0,827.75,836.5,833.8,834.33,1069634,8924.29,10314,1002838,93.76
2019-11-28,MPHASIS, EQ, 28-Nov-2019,833.8,837.85,867.8,836.65,856.95,855.15,855.69,247582,2118.53,8134,151988,61.39
2019-11-29,MPHASIS, EQ, 29-Nov-2019,855.15,855.95,887.55,846.5,881.0,878.35,866.63,131681,1141.19,7653,83156,63.15
2019-12-02,MPHASIS, EQ, 02-Dec-2019,878.35,875.6,878.35,864.0,870.0,871.0,870.96,225320,1962.44,25558, 71561, 31.76
2019-12-03,MPHASIS, EQ, 03-Dec-2019,871.0,866.6,868.6,840.0,847.0,847.9,846.59,170725,1445.35,28790,116516,68.25
2019-12-04,MPHASIS, EQ, 04-Dec-2019,847.9,851.95,870.0,846.1,867.05,869.25,864.95,105926,916.21,6960,56667,53.5
2019-12-05,MPHASIS, EQ, 05-Dec-2019,869.25,869.0,869.0,852.55,855.1,854.3,857.41,104463,895.67,10907,71405,68.35
2019-12-06,MPHASIS, EQ, 06-Dec-2019,854.3,859.6,859.6,832.9,845.0,843.45,841.87,308098,2593.77,14251,224177,72.76
2019-12-09,MPHASIS, EQ, 09-Dec-2019,843.45,845.0,882.0,845.0,870.95,877.0,864.24,78382,677.41,6296,47598,60.73
2019-12-10,MPHASIS, EQ, 10-Dec-2019,877.0,870.0,875.4,854.2,870.0,871.45,864.85,62057,536.7,5956,36295,58.49
2019-12-11,MPHASIS, EQ, 11-Dec-2019,871.45,871.4,871.4,852.65,857.9,856.3,857.6,132421,1135.65,8981,79160,59.78
