Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,MRF, EQ, 23-Aug-2019,57572.45,57600.0,58400.0,56521.05,57989.75,57859.5,57735.1,5842,3372.88,3881,1788,30.61
2019-10-01,MRF, EQ, 01-Oct-2019,63291.55,63299.0,63949.0,60768.95,61753.5,61863.4,62272.36,9209,5734.66,5855,2325,25.25
2019-10-03,MRF, EQ, 03-Oct-2019,61863.4,61863.4,62065.0,61200.0,61350.0,61471.05,61628.38,5960,3673.05,3492,1518,25.47
2019-10-04,MRF, EQ, 04-Oct-2019,61471.05,61980.0,61980.0,60515.9,60831.0,60938.35,61468.11,4320,2655.42,2900,1070,24.77
2019-10-07,MRF, EQ, 07-Oct-2019,60938.35,60989.0,61559.0,60600.0,61250.0,61165.1,61245.69,3561,2180.96,2581,750,21.06
2019-10-09,MRF, EQ, 09-Oct-2019,61165.1,61250.5,61500.9,60283.55,61099.9,61186.1,60952.23,6263,3817.44,4050,1848,29.51
2019-10-10,MRF, EQ, 10-Oct-2019,61186.1,61200.0,61389.0,60736.85,61100.0,61174.0,61090.94,3047,1861.44,1754,954,31.31
2019-10-11,MRF, EQ, 11-Oct-2019,61174.0,61250.0,61887.55,61050.0,61630.0,61722.7,61552.41,4974,3061.62,3100,1940,39.0
2019-10-14,MRF, EQ, 14-Oct-2019,61722.7,61723.0,62717.55,61641.35,62165.4,61996.65,62276.05,4294,2674.13,2638,1203,28.02
2019-10-15,MRF, EQ, 15-Oct-2019,61996.65,62150.0,63297.9,61772.0,63289.9,63027.5,62473.55,4999,3123.05,3064,1782,35.65
2019-10-16,MRF, EQ, 16-Oct-2019,63027.5,63030.0,63615.95,62629.45,62841.8,62896.9,63190.09,3660,2312.76,2654,662,18.09
2019-10-17,MRF, EQ, 17-Oct-2019,62896.9,62896.0,65711.6,62656.0,65465.4,64901.9,64345.38,7039,4529.27,3806,3111,44.2
2019-10-18,MRF, EQ, 18-Oct-2019,64901.9,64900.0,65086.95,63800.0,64100.0,64019.75,64349.26,4473,2878.34,2889,789,17.64
2019-10-22,MRF, EQ, 22-Oct-2019,64019.75,64394.95,64749.9,64030.05,64295.0,64211.3,64311.72,3206,2061.83,2071,775,24.17
2019-10-23,MRF, EQ, 23-Oct-2019,64211.3,64288.0,64542.95,63866.45,64350.0,64321.3,64295.6,5771,3710.5,2162,3389,58.72
2019-10-24,MRF, EQ, 24-Oct-2019,64321.3,64650.0,64700.0,63055.0,63211.15,63480.2,63947.9,8461,5410.63,2595,5305,62.7
2019-10-25,MRF, EQ, 25-Oct-2019,63480.2,63830.0,63980.0,63025.35,63126.05,63285.6,63413.62,5263,3337.46,2035,2950,56.05
2019-10-27,MRF, EQ, 27-Oct-2019,63285.6,63749.0,63749.0,63011.85,63252.65,63324.35,63380.74,535,339.09,409,170,31.78
2019-10-29,MRF, EQ, 29-Oct-2019,63324.35,63579.0,65600.0,63334.15,65250.0,65171.15,65073.52,10839,7053.32,6635,4292,39.6
2019-10-30,MRF, EQ, 30-Oct-2019,65171.15,65250.0,65450.0,64103.45,64600.0,64893.3,64831.47,5400,3500.9,3330,1155,21.39
2019-10-31,MRF, EQ, 31-Oct-2019,64893.3,65200.0,66300.0,65105.1,65750.0,65673.75,65839.54,7189,4733.2,4688,1360,18.92
2019-11-01,MRF, EQ, 01-Nov-2019,65673.75,65990.0,66495.6,64684.4,65300.0,64965.8,65825.34,7154,4709.14,4671,1856,25.94
2019-11-04,MRF, EQ, 04-Nov-2019,64965.8,65301.0,65709.95,64200.0,64400.0,64440.35,64774.86,5008,3243.92,3571,1152,23.0
2019-11-05,MRF, EQ, 05-Nov-2019,64440.35,64738.0,65200.85,63231.4,63890.0,63855.75,63971.06,5484,3508.17,3700,1345,24.53
2019-11-06,MRF, EQ, 06-Nov-2019,63855.75,63880.0,64163.15,63365.05,63750.0,63637.75,63782.59,3245,2069.75,2251,398,12.27
2019-11-07,MRF, EQ, 07-Nov-2019,63637.75,63755.0,63921.9,63310.05,63400.05,63522.6,63523.91,2116,1344.17,1486,478,22.59
2019-11-08,MRF, EQ, 08-Nov-2019,63522.6,63681.4,65490.0,62855.7,64260.0,64454.45,64366.07,15991,10292.78,9942,1320,8.25
2019-11-11,MRF, EQ, 11-Nov-2019,64454.45,64001.0,64100.0,62950.0,62950.0,63085.2,63309.3,7175,4542.44,3504,2908,40.53
2019-11-13,MRF, EQ, 13-Nov-2019,63085.2,63380.0,63380.0,62400.0,62800.0,62959.15,62902.0,4688,2948.85,2909,1565,33.38
2019-11-14,MRF, EQ, 14-Nov-2019,62959.15,63068.8,63700.0,62785.3,63600.0,63621.5,63283.17,3395,2148.46,2089,926,27.28
2019-11-15,MRF, EQ, 15-Nov-2019,63621.5,63749.05,64460.25,63312.3,64079.95,63950.5,63950.76,3201,2047.06,2081,822,25.68
2019-11-18,MRF, EQ, 18-Nov-2019,63950.5,64110.4,64699.0,63850.0,64453.0,64393.55,64185.3,3043,1953.16,1673,1253,41.18
2019-11-19,MRF, EQ, 19-Nov-2019,64393.55,64440.0,64440.55,63420.0,63570.0,63539.35,63823.78,2672,1705.37,1713, 660, 24.70
2019-11-20,MRF, EQ, 20-Nov-2019,63539.35,63849.0,64111.95,62750.2,62963.8,63058.45,63442.7,2999,1902.65,2037, 910, 30.34
2019-11-21,MRF, EQ, 21-Nov-2019,63058.45,63100.0,63430.2,62446.2,62548.7,62546.5,62864.1,3752,2358.66,2392,1195,31.85
2019-11-22,MRF, EQ, 22-Nov-2019,62546.5,62546.0,63100.0,62500.05,62919.95,62651.35,62798.03,3155,1981.28,1743,1239,39.27
2019-11-25,MRF, EQ, 25-Nov-2019,62651.35,62652.0,63954.0,62652.0,63800.0,63860.15,63521.59,5750,3652.49,4059,2536,44.1
2019-11-26,MRF, EQ, 26-Nov-2019,63860.15,63865.0,64465.75,62933.75,63000.45,63092.35,63946.89,4604,2944.11,2695, 1880, 40.83
2019-11-27,MRF, EQ, 27-Nov-2019,63092.35,63100.0,63496.0,62851.0,62852.0,63004.0,63095.02,4315,2722.55,2231,2194,50.85
2019-11-28,MRF, EQ, 28-Nov-2019,63004.0,63200.0,64298.9,62812.0,64298.9,63982.6,63610.74,4581,2914.01,2800,1639,35.78
2019-11-29,MRF, EQ, 29-Nov-2019,63982.6,63855.05,64116.2,63200.1,63350.0,63397.05,63537.34,2797,1777.14,1747,769,27.49
2019-12-02,MRF, EQ, 02-Dec-2019,63397.05,63397.05,63597.5,62550.0,62710.0,62723.05,62843.93,4456,2800.33,2165, 2747, 61.65
2019-12-03,MRF, EQ, 03-Dec-2019,62723.05,62879.05,63044.2,61931.45,62091.3,62061.7,62221.13,4973,3094.26,2173,2839,57.09
2019-12-04,MRF, EQ, 04-Dec-2019,62061.7,62061.7,62555.1,61550.0,62150.0,62092.1,62232.84,4926,3065.59,2477,2742,55.66
2019-12-05,MRF, EQ, 05-Dec-2019,62092.1,62380.0,62597.85,61575.05,61799.0,61760.25,61847.77,7439,4600.86,3444,4461,59.97
2019-12-06,MRF, EQ, 06-Dec-2019,61760.25,62187.9,62750.0,61253.4,61503.25,61533.2,61993.8,6126,3797.74,3661,2361,38.54
2019-12-09,MRF, EQ, 09-Dec-2019,61533.2,61366.0,63097.15,61252.0,62399.8,62490.4,62377.57,3917,2443.33,2705,1038,26.5
2019-12-10,MRF, EQ, 10-Dec-2019,62490.4,62400.0,62458.95,61525.05,62354.55,62070.1,61926.45,3345,2071.44,2083,1442,43.11
2019-12-11,MRF, EQ, 11-Dec-2019,62070.1,62300.0,62348.95,61603.3,62100.0,62050.2,61964.21,2791,1729.42,1586,861,30.85
2019-12-12,MRF, EQ, 12-Dec-2019,62050.2,62100.0,62950.0,62061.9,62950.0,62692.1,62421.82,2718,1696.62,1486,1079,39.7
2019-12-13,MRF, EQ, 13-Dec-2019,62692.1,62800.0,64100.0,62800.0,63638.1,63926.35,63619.89,4829,3072.2,2872,1503,31.12
2019-12-16,MRF, EQ, 16-Dec-2019,63926.35,63600.0,64850.0,63600.0,64248.05,64254.25,64369.61,5929,3816.47,3437,2467,41.61
2019-12-17,MRF, EQ, 17-Dec-2019,64254.25,64254.0,64999.55,63879.0,64600.0,64703.75,64456.06,3451,2224.38,2368,1120,32.45
2019-12-18,MRF, EQ, 18-Dec-2019,64703.75,64603.15,64929.95,64000.0,64150.0,64126.9,64172.84,8346,5355.87,5081,4865,58.29
2019-12-19,MRF, EQ, 19-Dec-2019,64126.9,64250.0,64376.5,63728.05,64185.0,64080.05,64057.66,3274,2097.25,1961,1451,44.32
2019-12-20,MRF, EQ, 20-Dec-2019,64080.05,64080.05,64387.95,63457.9,63610.0,63765.2,63822.41,4087,2608.42,2130,2346,57.4
2019-12-23,MRF, EQ, 23-Dec-2019,63765.2,63600.0,63900.0,63387.6,63616.4,63680.9,63623.16,3576,2275.16,1635,2238,62.58
