Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,MUTHOOTFIN, EQ, 23-Aug-2019,597.95,592.6,618.45,592.6,610.05,611.95,608.53,802343,4882.52,19202,253928,31.65,Financials
2019-10-01,MUTHOOTFIN, EQ, 01-Oct-2019,675.9,679.05,686.0,659.1,674.5,672.8,671.09,1181129,7926.42,25665,420294,35.58,Financials
2019-10-03,MUTHOOTFIN, EQ, 03-Oct-2019,672.8,669.4,686.8,662.9,666.05,665.75,673.75,915774,6170.03,35666,332598,36.32,Financials
2019-10-04,MUTHOOTFIN, EQ, 04-Oct-2019,665.75,668.9,673.2,661.1,664.7,665.9,667.65,541720,3616.82,21612,213106,39.34,Financials
2019-10-07,MUTHOOTFIN, EQ, 07-Oct-2019,665.9,666.0,674.2,660.65,669.0,670.25,669.52,499850,3346.57,21165,238164,47.65,Financials
2019-10-09,MUTHOOTFIN, EQ, 09-Oct-2019,670.25,670.0,689.95,665.1,686.4,686.1,675.74,820272,5542.92,26238,354217,43.18,Financials
2019-10-10,MUTHOOTFIN, EQ, 10-Oct-2019,686.1,685.0,686.4,663.05,666.0,667.3,669.18,676392,4526.29,29261,260432,38.5,Financials
2019-10-11,MUTHOOTFIN, EQ, 11-Oct-2019,667.3,670.95,679.25,654.4,666.0,663.25,662.85,764787,5069.41,33070,265947,34.77,Financials
2019-10-14,MUTHOOTFIN, EQ, 14-Oct-2019,663.25,667.0,672.15,654.15,655.7,658.95,661.63,632814,4186.86,19020,262808,41.53,Financials
2019-10-15,MUTHOOTFIN, EQ, 15-Oct-2019,658.95,650.25,658.0,631.55,652.45,652.85,646.2,1770080,11438.22,38168,506342,28.61,Financials
2019-10-16,MUTHOOTFIN, EQ, 16-Oct-2019,652.85,656.0,663.0,642.0,643.05,643.6,647.53,722327,4677.3,32454,284257,39.35,Financials
2019-10-17,MUTHOOTFIN, EQ, 17-Oct-2019,643.6,647.6,656.9,637.6,653.7,654.1,646.09,828043,5349.88,27261,293630,35.46,Financials
2019-10-18,MUTHOOTFIN, EQ, 18-Oct-2019,654.1,648.3,678.45,648.3,676.0,675.8,668.04,752940,5029.94,15901,171198,22.74,Financials
2019-10-22,MUTHOOTFIN, EQ, 22-Oct-2019,675.8,678.5,693.35,676.7,687.7,686.9,685.66,835554,5729.04,18332,261118,31.25,Financials
2019-10-23,MUTHOOTFIN, EQ, 23-Oct-2019,686.9,686.9,696.8,681.5,686.0,683.95,689.17,687845,4740.45,15392,177834,25.85,Financials
2019-10-24,MUTHOOTFIN, EQ, 24-Oct-2019,683.95,688.0,688.0,666.65,669.2,669.65,671.75,1001303,6726.21,27081,474470,47.39,Financials
2019-10-25,MUTHOOTFIN, EQ, 25-Oct-2019,669.65,673.85,673.85,659.55,662.0,662.25,665.12,343226,2282.88,7428,55732,16.24,Financials
2019-10-27,MUTHOOTFIN, EQ, 27-Oct-2019,662.25,673.0,673.0,663.65,665.0,665.15,666.2,35204,234.53,1253,10828,30.76,Financials
2019-10-29,MUTHOOTFIN, EQ, 29-Oct-2019,665.15,665.15,713.55,661.5,704.9,707.2,698.5,1674717,11697.82,26534,505870,30.21,Financials
2019-10-30,MUTHOOTFIN, EQ, 30-Oct-2019,707.2,700.6,713.6,697.15,706.9,706.05,705.79,1068141,7538.8,29258,408726,38.27,Financials
2019-10-31,MUTHOOTFIN, EQ, 31-Oct-2019,706.05,708.5,718.65,699.7,705.0,707.65,709.5,1086375,7707.78,24505,368365,33.91,Financials
2019-11-01,MUTHOOTFIN, EQ, 01-Nov-2019,707.65,710.0,717.5,706.75,708.0,709.15,711.57,533996,3799.77,14127,116142,21.75,Financials
2019-11-04,MUTHOOTFIN, EQ, 04-Nov-2019,709.15,708.0,714.25,704.8,707.4,706.4,708.58,311815,2209.46,6246,65742,21.08,Financials
2019-11-05,MUTHOOTFIN, EQ, 05-Nov-2019,706.4,706.4,710.15,700.0,705.95,704.5,704.8,240137,1692.49,5862,40436,16.84,Financials
2019-11-06,MUTHOOTFIN, EQ, 06-Nov-2019,704.5,700.55,704.3,678.6,689.0,690.15,688.44,713743,4913.69,13614,226887,31.79,Financials
2019-11-07,MUTHOOTFIN, EQ, 07-Nov-2019,690.15,694.45,698.8,683.3,685.85,685.05,689.44,300378,2070.93,8428,91554,30.48,Financials
2019-11-08,MUTHOOTFIN, EQ, 08-Nov-2019,685.05,683.0,686.85,673.2,674.05,674.9,679.85,330246,2245.19,9609,107472,32.54,Financials
2019-11-11,MUTHOOTFIN, EQ, 11-Nov-2019,674.9,674.65,680.05,667.9,670.0,669.3,672.75,237653,1598.82,8405,73191,30.8,Financials
2019-11-13,MUTHOOTFIN, EQ, 13-Nov-2019,669.3,669.3,672.35,647.5,652.05,650.1,657.06,597227,3924.12,25239,202886,33.97,Financials
2019-11-14,MUTHOOTFIN, EQ, 14-Nov-2019,650.1,679.0,717.5,665.25,711.0,711.5,702.88,6338305,44550.76,120213,543731,8.58,Financials
2019-11-15,MUTHOOTFIN, EQ, 15-Nov-2019,711.5,711.0,714.0,700.0,701.5,701.65,705.87,1477005,10425.69,64018,471916,31.95,Financials
2019-11-18,MUTHOOTFIN, EQ, 18-Nov-2019,701.65,705.0,737.25,702.7,713.4,712.45,722.75,3792367,27409.27,86820,836608,22.06,Financials
2019-11-19,MUTHOOTFIN, EQ, 19-Nov-2019,712.45,715.75,727.6,698.4,700.0,708.2,716.82,2592903,18586.42,42114,834796,32.2,Financials
2019-11-20,MUTHOOTFIN, EQ, 20-Nov-2019,708.2,703.0,705.35,690.4,696.7,696.4,697.64,1208865,8433.55,41218,382885,31.67,Financials
2019-11-21,MUTHOOTFIN, EQ, 21-Nov-2019,696.4,696.15,704.2,685.2,687.2,687.1,694.29,1183967,8220.13,54303,638019,53.89,Financials
