Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,NATIONALUM, EQ, 23-Aug-2019,38.0,38.0,39.9,36.9,39.75,39.75,38.58,8875520,3423.79,18251,2744924,30.93
2019-10-01,NATIONALUM, EQ, 01-Oct-2019,46.45,46.5,46.6,44.4,45.85,45.75,45.52,9185846,4181.18,12649,1229126,13.38
2019-10-03,NATIONALUM, EQ, 03-Oct-2019,45.75,45.45,45.45,43.55,44.7,44.5,44.26,7824046,3463.02,16639,1737076,22.2
2019-10-04,NATIONALUM, EQ, 04-Oct-2019,44.5,44.7,45.25,42.85,43.4,43.25,43.65,12504396,5458.1,20788,4584756,36.67
2019-10-07,NATIONALUM, EQ, 07-Oct-2019,43.25,43.5,45.35,42.7,44.6,44.55,44.61,32316833,14416.6,35463,16992332,52.58
2019-10-09,NATIONALUM, EQ, 09-Oct-2019,44.55,43.7,46.0,43.6,45.0,44.9,45.04,31504681,14190.05,51228,16815109,53.37
2019-10-10,NATIONALUM, EQ, 10-Oct-2019,44.9,44.45,45.4,41.4,41.6,42.15,43.34,34659802,15019.92,65429,18084575,52.18
2019-10-11,NATIONALUM, EQ, 11-Oct-2019,42.15,42.0,42.9,40.55,41.2,41.05,41.58,12006904,4992.91,24130,2825098,23.53
2019-10-14,NATIONALUM, EQ, 14-Oct-2019,41.05,41.3,42.1,40.25,40.5,40.4,40.88,13743950,5618.1,25791,5037042,36.65
2019-10-15,NATIONALUM, EQ, 15-Oct-2019,40.4,40.65,41.7,40.45,41.5,41.45,41.05,7066422,2901.12,15108,2570409,36.37
2019-10-16,NATIONALUM, EQ, 16-Oct-2019,41.45,41.7,41.95,41.25,41.6,41.7,41.62,8042576,3347.3,17692,3253018,40.45
2019-10-17,NATIONALUM, EQ, 17-Oct-2019,41.7,40.1,40.55,39.6,40.5,40.4,40.1,19687056,7895.22,27702,9087244,46.16
2019-10-18,NATIONALUM, EQ, 18-Oct-2019,40.4,40.7,44.6,40.7,43.55,43.8,43.27,25177942,10895.38,42243,7598047,30.18
2019-10-22,NATIONALUM, EQ, 22-Oct-2019,43.8,44.0,45.5,43.0,43.9,43.8,44.15,15954242,7043.12,25671,5063504,31.74
2019-10-23,NATIONALUM, EQ, 23-Oct-2019,43.8,44.0,44.45,43.1,43.65,43.65,43.73,5173791,2262.6,11222,1129018,21.82
2019-10-24,NATIONALUM, EQ, 24-Oct-2019,43.65,43.9,44.05,42.5,43.2,43.2,43.2,7105412,3069.88,9734,2639378,37.15
2019-10-25,NATIONALUM, EQ, 25-Oct-2019,43.2,43.25,43.65,42.3,42.45,42.55,42.81,6159961,2637.3,11214,2174851,35.31
2019-10-27,NATIONALUM, EQ, 27-Oct-2019,42.55,42.8,43.2,42.65,43.15,43.15,43.08,779020,335.58,3514,498248,63.96
2019-10-29,NATIONALUM, EQ, 29-Oct-2019,43.15,43.15,44.3,43.05,43.6,43.65,43.73,5797670,2535.5,11091,1665603,28.73
2019-10-30,NATIONALUM, EQ, 30-Oct-2019,43.65,43.65,44.5,43.65,43.8,43.9,44.03,6825035,3004.81,10413,2012495,29.49
2019-10-31,NATIONALUM, EQ, 31-Oct-2019,43.9,44.0,45.65,43.8,45.3,45.4,44.87,21663906,9721.62,24459,9909944,45.74
2019-11-01,NATIONALUM, EQ, 01-Nov-2019,45.4,45.4,46.4,44.45,45.9,46.0,45.53,9563069,4353.95,18234,2665179,27.87
2019-11-04,NATIONALUM, EQ, 04-Nov-2019,46.0,46.4,47.75,46.15,46.95,46.8,47.16,11202833,5283.17,24617,3234346,28.87
2019-11-05,NATIONALUM, EQ, 05-Nov-2019,46.8,47.05,48.0,46.55,46.75,46.65,47.24,8195194,3871.75,18547,2225866,27.16
2019-11-06,NATIONALUM, EQ, 06-Nov-2019,46.65,46.75,47.1,46.05,46.6,46.65,46.62,4588579,2139.39,7766,955164,20.82
2019-11-07,NATIONALUM, EQ, 07-Nov-2019,46.65,46.5,47.45,45.95,47.1,47.15,46.8,6163262,2884.63,10780,1129488,18.33
2019-11-08,NATIONALUM, EQ, 08-Nov-2019,47.15,46.9,47.55,46.3,46.45,46.5,46.91,5417065,2541.14,9063,1198831,22.13
2019-11-11,NATIONALUM, EQ, 11-Nov-2019,46.5,46.75,46.75,45.6,46.05,46.0,46.12,3386892,1561.94,7822,922737,27.24
2019-11-13,NATIONALUM, EQ, 13-Nov-2019,46.0,46.0,46.1,43.2,43.3,43.55,44.23,9869505,4365.52,22254,3554228,36.01
2019-11-14,NATIONALUM, EQ, 14-Nov-2019,43.55,41.9,42.65,41.1,42.1,42.15,41.91,16975548,7115.06,25458,5632709,33.18
