Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,NAVINFLUOR, EQ, 23-Aug-2019,691.6,691.0,694.05,670.0,686.0,687.0,683.91,20867,142.71,1605,6710,32.16
2019-10-01,NAVINFLUOR, EQ, 01-Oct-2019,733.65,734.0,750.05,720.1,721.0,724.55,731.08,47855,349.86,2162,33307,69.6
2019-10-03,NAVINFLUOR, EQ, 03-Oct-2019,724.55,724.0,733.55,694.15,704.9,697.0,708.16,33809,239.42,2816,21500,63.59
2019-10-04,NAVINFLUOR, EQ, 04-Oct-2019,697.0,699.5,722.45,692.6,693.1,698.5,707.27,24831,175.62,1770,14459,58.23
2019-10-07,NAVINFLUOR, EQ, 07-Oct-2019,698.5,696.0,708.05,686.2,695.5,693.4,697.36,28162,196.39,1396,21373,75.89
2019-10-09,NAVINFLUOR, EQ, 09-Oct-2019,693.4,693.4,702.0,686.1,693.6,695.7,691.92,27708,191.72,2985,19793,71.43
2019-10-10,NAVINFLUOR, EQ, 10-Oct-2019,695.7,687.0,724.0,687.0,720.0,714.65,704.27,31017,218.44,2405,16878,54.42
2019-10-11,NAVINFLUOR, EQ, 11-Oct-2019,714.65,720.4,747.0,720.4,725.0,726.0,734.66,116108,853.0,5101,27459,23.65
2019-10-14,NAVINFLUOR, EQ, 14-Oct-2019,726.0,726.05,734.0,704.0,706.2,715.2,723.82,20813,150.65,2154,9487,45.58
2019-10-15,NAVINFLUOR, EQ, 15-Oct-2019,715.2,716.0,738.0,700.0,736.7,730.0,719.66,35506,255.52,2675,19872,55.97
2019-10-16,NAVINFLUOR, EQ, 16-Oct-2019,730.0,729.95,736.0,720.05,725.8,726.85,729.36,19809,144.48,2241,9303,46.96
2019-10-17,NAVINFLUOR, EQ, 17-Oct-2019,726.85,721.0,754.5,721.0,752.0,748.95,746.39,76244,569.08,6395,38765,50.84
2019-10-18,NAVINFLUOR, EQ, 18-Oct-2019,748.95,756.4,780.0,744.0,776.0,770.4,765.5,68131,521.54,3746,50554,74.2
2019-10-22,NAVINFLUOR, EQ, 22-Oct-2019,770.4,775.9,784.0,765.0,771.05,771.15,777.49,30289,235.49,2632,20371,67.26
2019-10-23,NAVINFLUOR, EQ, 23-Oct-2019,771.15,774.0,788.0,751.05,760.5,759.95,770.72,32426,249.91,2115,16772,51.72
2019-10-24,NAVINFLUOR, EQ, 24-Oct-2019,759.95,793.0,832.0,780.1,830.0,825.55,814.04,355031,2890.09,14011,131751,37.11
2019-10-25,NAVINFLUOR, EQ, 25-Oct-2019,825.55,831.9,855.0,815.05,852.1,849.15,838.42,409204,3430.84,12951,270548,66.12
2019-10-27,NAVINFLUOR, EQ, 27-Oct-2019,849.15,855.3,907.0,855.3,901.0,900.05,889.35,154667,1375.53,7364,54654,35.34
2019-10-29,NAVINFLUOR, EQ, 29-Oct-2019,900.05,895.0,898.75,881.0,890.0,890.5,889.17,71028,631.56,7578,31944,44.97
2019-10-30,NAVINFLUOR, EQ, 30-Oct-2019,890.5,893.0,897.0,875.0,890.0,890.65,886.41,101688,901.37,3391,76886,75.61
2019-10-31,NAVINFLUOR, EQ, 31-Oct-2019,890.65,892.0,919.0,880.1,900.0,897.5,903.24,67428,609.03,5871,29556,43.83
2019-11-01,NAVINFLUOR, EQ, 01-Nov-2019,897.5,906.6,914.45,884.55,887.85,894.0,902.13,46256,417.29,6133,27052,58.48
2019-11-04,NAVINFLUOR, EQ, 04-Nov-2019,894.0,898.9,906.0,877.0,890.2,892.1,894.13,65345,584.27,1818,49587,75.88
2019-11-05,NAVINFLUOR, EQ, 05-Nov-2019,892.1,890.0,896.5,848.05,866.4,867.25,872.51,51161,446.39,3836,36022,70.41
2019-11-06,NAVINFLUOR, EQ, 06-Nov-2019,867.25,860.0,879.95,840.15,845.0,847.55,849.75,32998,280.4,2502,19650,59.55
2019-11-07,NAVINFLUOR, EQ, 07-Nov-2019,847.55,859.6,862.7,825.0,850.0,851.55,844.96,71398,603.28,3080,52123,73.0
2019-11-08,NAVINFLUOR, EQ, 08-Nov-2019,851.55,870.0,899.7,844.05,859.5,859.6,882.36,132893,1172.59,7573,63719,47.95
2019-11-11,NAVINFLUOR, EQ, 11-Nov-2019,859.6,864.95,884.9,860.0,877.85,871.6,875.47,100681,881.43,4007,79632,79.09
