Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,NCC, EQ, 23-Aug-2019,51.85,51.35,55.3,48.4,54.05,53.9,52.33,27960996,14633.16,66755,2642051,9.45
2019-10-01,NCC, EQ, 01-Oct-2019,55.05,55.5,56.6,51.85,52.9,52.85,54.03,20244340,10938.86,47148,1726292,8.53
2019-10-03,NCC, EQ, 03-Oct-2019,52.85,52.05,54.35,51.55,52.8,52.85,53.13,14450449,7677.9,45312,1426302,9.87
2019-10-04,NCC, EQ, 04-Oct-2019,52.85,53.45,54.2,51.05,51.15,51.3,52.53,14944570,7849.65,32850,1805143,12.08
2019-10-07,NCC, EQ, 07-Oct-2019,51.3,51.5,51.5,45.4,46.75,47.1,48.09,27562802,13255.46,62131,6006224,21.79
2019-10-09,NCC, EQ, 09-Oct-2019,47.1,46.8,52.7,46.4,52.3,52.2,49.98,31824591,15905.44,59610,3799672,11.94
2019-10-10,NCC, EQ, 10-Oct-2019,52.2,52.0,52.8,49.05,49.15,49.55,50.43,26157689,13190.32,48546,1941995,7.42
2019-10-11,NCC, EQ, 11-Oct-2019,49.55,49.75,50.7,47.5,49.15,48.95,48.81,21178659,10337.87,41212,2557921,12.08
2019-10-14,NCC, EQ, 14-Oct-2019,48.95,49.45,49.6,47.9,47.95,48.1,48.57,13845314,6724.71,34190,1957696,14.14
2019-10-15,NCC, EQ, 15-Oct-2019,48.1,48.1,50.25,47.35,49.3,49.3,48.91,21608504,10569.53,42235,1831605,8.48
2019-10-16,NCC, EQ, 16-Oct-2019,49.3,49.6,50.55,47.8,48.5,48.55,49.15,19933865,9797.27,31418,1446646,7.26
2019-10-17,NCC, EQ, 17-Oct-2019,48.55,48.85,51.35,48.3,51.0,50.7,49.62,17769949,8817.62,33465,3200859,18.01
