Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,NESTLEIND, EQ, 23-Aug-2019,12470.0,12499.5,12547.6,12250.0,12479.9,12438.65,12424.08,58571,7276.91,16906,24728,42.22
2019-10-01,NESTLEIND, EQ, 01-Oct-2019,13889.65,13889.0,13946.95,13649.9,13692.05,13681.55,13755.79,83545,11492.28,25724,45301,54.22
2019-10-03,NESTLEIND, EQ, 03-Oct-2019,13681.55,13680.0,13749.6,13566.05,13700.0,13709.85,13676.76,40894,5592.98,15277,20942,51.21
2019-10-04,NESTLEIND, EQ, 04-Oct-2019,13709.85,13792.0,13792.0,13335.9,13495.0,13441.0,13477.26,91909,12386.81,25602,51960,56.53
2019-10-07,NESTLEIND, EQ, 07-Oct-2019,13441.0,13508.2,13698.0,13460.0,13600.25,13603.35,13609.4,42763,5819.79,10840,16250,38.0
2019-10-09,NESTLEIND, EQ, 09-Oct-2019,13603.35,13645.0,13910.0,13510.05,13816.0,13858.3,13787.68,93577,12902.09,26346,45770,48.91
2019-10-10,NESTLEIND, EQ, 10-Oct-2019,13858.3,13857.0,13857.0,13680.0,13836.0,13819.85,13772.21,27905,3843.14,8841,12034,43.12
2019-10-11,NESTLEIND, EQ, 11-Oct-2019,13819.85,13819.85,14075.0,13819.85,14050.0,14032.4,13974.94,61075,8535.2,14020,24720,40.47
2019-10-14,NESTLEIND, EQ, 14-Oct-2019,14032.4,14135.0,14215.0,13950.0,14110.0,14169.0,14152.53,70672,10001.87,13916,35907,50.81
2019-10-15,NESTLEIND, EQ, 15-Oct-2019,14169.0,14152.1,14205.0,14035.95,14085.0,14086.8,14094.71,97808,13785.75,28434,59189,60.52
2019-10-16,NESTLEIND, EQ, 16-Oct-2019,14086.8,14099.9,14403.55,14080.0,14385.45,14351.5,14249.01,67279,9586.59,19449,33223,49.38
2019-10-17,NESTLEIND, EQ, 17-Oct-2019,14351.5,14383.0,14630.35,14160.0,14505.0,14516.85,14381.74,114493,16466.09,27948,64588,56.41
2019-10-18,NESTLEIND, EQ, 18-Oct-2019,14516.85,14519.1,14943.35,14403.3,14900.0,14835.45,14682.35,121565,17848.6,21122,52137,42.89
2019-10-22,NESTLEIND, EQ, 22-Oct-2019,14835.45,14888.0,15110.95,14836.0,15100.0,15020.0,14974.01,138011,20665.78,25436,66326,48.06
2019-10-23,NESTLEIND, EQ, 23-Oct-2019,15020.0,15091.0,15125.85,14916.25,14983.0,14983.0,15014.27,58986,8856.32,16057,25183,42.69
2019-10-24,NESTLEIND, EQ, 24-Oct-2019,14983.0,15019.0,15048.0,14625.85,14661.05,14666.0,14722.68,114813,16903.55,28209,72634,63.26
2019-10-25,NESTLEIND, EQ, 25-Oct-2019,14666.0,14779.0,14900.0,14461.35,14785.0,14803.35,14671.15,131479,19289.49,27276,61289,46.62
2019-10-27,NESTLEIND, EQ, 27-Oct-2019,14803.35,14935.0,14949.5,14778.3,14822.0,14813.4,14840.76,11278,1673.74,2581,5586,49.53
2019-10-29,NESTLEIND, EQ, 29-Oct-2019,14813.4,14868.0,14868.0,14510.0,14725.0,14699.75,14723.91,99038,14582.26,23753,59148,59.72
2019-10-30,NESTLEIND, EQ, 30-Oct-2019,14699.75,14887.0,14998.9,14750.3,14972.0,14967.8,14923.14,58061,8664.52,17110,28436,48.98
2019-10-31,NESTLEIND, EQ, 31-Oct-2019,14967.8,14970.05,15146.9,14783.85,14961.0,14947.0,14988.23,80261,12029.7,17624,37633,46.89
2019-11-01,NESTLEIND, EQ, 01-Nov-2019,14947.0,14947.0,15069.6,14850.3,14982.95,14959.8,14965.84,49392,7391.93,14321,26317,53.28
2019-11-04,NESTLEIND, EQ, 04-Nov-2019,14959.8,14988.4,15091.7,14801.1,14838.0,14813.35,14884.27,39581,5891.34,13131,21185,53.52
2019-11-05,NESTLEIND, EQ, 05-Nov-2019,14813.35,14840.0,14885.0,14605.4,14652.1,14650.2,14677.84,83265,12221.5,21858,59373,71.31
