Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,NMDC, EQ, 23-Aug-2019,78.7,78.1,81.6,74.8,80.2,80.05,78.96,12564864,9920.84,39959,1873434,14.91,Metals
2019-10-01,NMDC, EQ, 01-Oct-2019,88.7,88.7,97.25,86.8,97.0,96.4,93.46,22401584,20937.09,68813,5819623,25.98,Metals
2019-10-03,NMDC, EQ, 03-Oct-2019,96.4,94.5,98.0,94.05,97.4,97.4,96.69,13061706,12629.4,59509,3046622,23.32,Metals
2019-10-04,NMDC, EQ, 04-Oct-2019,97.4,98.4,98.4,95.1,95.45,95.5,96.26,7347338,7072.56,30212,1579730,21.5,Metals
2019-10-07,NMDC, EQ, 07-Oct-2019,95.5,95.5,95.8,91.15,91.2,91.55,93.12,6936089,6458.93,30190,1385148,19.97,Metals
2019-10-09,NMDC, EQ, 09-Oct-2019,91.55,90.0,97.15,90.0,96.25,96.5,94.11,8411972,7916.71,41285,1642703,19.53,Metals
2019-10-10,NMDC, EQ, 10-Oct-2019,96.5,95.9,97.8,94.45,95.8,95.6,96.27,5801135,5584.68,33877,1245191,21.46,Metals
2019-10-11,NMDC, EQ, 11-Oct-2019,95.6,95.75,97.7,94.85,96.9,96.75,96.45,8192667,7901.53,20815,1251846,15.28,Metals
2019-10-14,NMDC, EQ, 14-Oct-2019,96.75,97.35,100.9,96.1,98.1,98.15,98.85,8209253,8114.92,28755,1234938,15.04,Metals
2019-10-15,NMDC, EQ, 15-Oct-2019,98.15,97.9,102.0,96.65,101.85,101.4,99.9,7725725,7718.22,29472,2552656,33.04,Metals
2019-10-16,NMDC, EQ, 16-Oct-2019,101.4,101.7,103.5,101.2,102.9,102.85,102.21,6100767,6235.76,22960,1901751,31.17,Metals
2019-10-17,NMDC, EQ, 17-Oct-2019,102.85,102.0,103.2,100.4,102.0,102.2,101.8,5030398,5121.06,18215,917621,18.24,Metals
2019-10-18,NMDC, EQ, 18-Oct-2019,102.2,106.95,110.5,102.7,109.8,108.85,106.94,21650530,23153.39,78326,3706300,17.12,Metals
2019-10-22,NMDC, EQ, 22-Oct-2019,108.85,110.0,110.7,107.6,109.4,109.6,109.4,6483715,7093.06,21470,1416962,21.85,Metals
2019-10-23,NMDC, EQ, 23-Oct-2019,109.6,108.1,110.3,106.6,107.1,107.2,108.24,4667092,5051.53,17273,985483,21.12,Metals
2019-10-24,NMDC, EQ, 24-Oct-2019,107.2,107.85,108.0,105.0,105.4,105.45,106.17,2799339,2972.08,13198,550963,19.68,Metals
2019-10-25,NMDC, EQ, 25-Oct-2019,105.45,104.1,108.2,104.1,107.85,107.2,106.56,5558552,5923.08,22045,2448643,44.05,Metals
2019-10-27,NMDC, EQ, 27-Oct-2019,107.2,107.8,109.0,106.75,107.2,107.35,107.55,336208,361.6,2236,101860,30.3,Metals
2019-10-29,NMDC, EQ, 29-Oct-2019,107.35,111.0,112.75,108.6,112.15,112.2,111.34,5408624,6021.94,21576,1125223,20.8,Metals
2019-10-30,NMDC, EQ, 30-Oct-2019,112.2,112.2,113.6,110.25,110.6,110.7,111.4,4080680,4545.8,15854,1656264,40.59,Metals
2019-10-31,NMDC, EQ, 31-Oct-2019,110.7,111.2,114.35,110.2,112.8,112.6,112.35,6787179,7625.24,21429,3239247,47.73,Metals
2019-11-01,NMDC, EQ, 01-Nov-2019,112.6,112.6,112.6,108.8,110.5,110.45,110.5,3761295,4156.23,28930,1292735,34.37,Metals
2019-11-04,NMDC, EQ, 04-Nov-2019,110.45,110.0,112.5,109.6,110.05,110.0,111.1,4313000,4791.71,16945,1715544,39.78,Metals
2019-11-05,NMDC, EQ, 05-Nov-2019,110.0,110.0,112.35,109.8,111.7,111.65,111.1,3085676,3428.1,16593,1077623,34.92,Metals
2019-11-06,NMDC, EQ, 06-Nov-2019,111.65,112.3,114.95,110.5,113.05,113.45,113.44,4859630,5512.66,18073,1004268,20.67,Metals
