Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,NTPC, EQ, 23-Aug-2019,114.75,115.0,118.95,114.1,118.5,118.5,116.61,9284204,10826.47,41592,5101433,54.95
2019-10-01,NTPC, EQ, 01-Oct-2019,117.5,118.0,118.9,116.25,117.05,117.05,117.11,9718865,11381.49,61343,4694484,48.3
2019-10-03,NTPC, EQ, 03-Oct-2019,117.05,117.55,117.55,114.6,117.0,116.75,116.37,10477900,12193.3,60817,7343901,70.09
2019-10-04,NTPC, EQ, 04-Oct-2019,116.75,117.3,120.5,116.5,117.25,117.4,117.84,20289650,23908.94,100981,10017329,49.37
2019-10-07,NTPC, EQ, 07-Oct-2019,117.4,117.45,117.95,114.7,115.55,115.95,116.04,14111765,16375.44,54968,9032090,64.0
2019-10-09,NTPC, EQ, 09-Oct-2019,115.95,116.0,118.0,115.4,117.3,117.25,117.18,8413122,9858.67,47881,5113333,60.78
2019-10-10,NTPC, EQ, 10-Oct-2019,117.25,117.2,117.5,116.35,117.2,117.25,117.05,6885340,8059.61,26023,4533653,65.85
2019-10-11,NTPC, EQ, 11-Oct-2019,117.25,117.2,118.35,115.9,116.85,116.7,117.19,9176578,10754.33,50655,5607574,61.11
2019-10-14,NTPC, EQ, 14-Oct-2019,116.7,116.55,118.15,116.2,117.75,117.75,117.29,12146203,14246.88,43817,6135697,50.52
2019-10-15,NTPC, EQ, 15-Oct-2019,117.75,117.0,119.8,117.0,119.35,119.4,119.04,7630007,9082.9,38754,4475585,58.66
2019-10-16,NTPC, EQ, 16-Oct-2019,119.4,118.8,119.8,116.9,117.45,117.4,117.95,10206387,12038.65,54625,5911745,57.92
2019-10-17,NTPC, EQ, 17-Oct-2019,117.4,117.7,119.2,116.95,118.4,118.7,117.88,10163035,11979.71,55353,6134107,60.36
2019-10-18,NTPC, EQ, 18-Oct-2019,118.7,118.8,121.5,118.4,120.9,121.05,120.41,16961782,20423.44,68779,10719360,63.2
2019-10-22,NTPC, EQ, 22-Oct-2019,121.05,121.65,121.65,119.95,120.65,120.9,120.66,12091476,14589.53,75048,7539557,62.35
2019-10-23,NTPC, EQ, 23-Oct-2019,120.9,120.25,121.7,120.25,121.1,121.05,121.05,6580501,7965.56,48029,4112715,62.5
2019-10-24,NTPC, EQ, 24-Oct-2019,121.05,122.0,122.0,119.2,120.1,120.2,120.68,8009018,9665.5,44665,4235960,52.89
2019-10-25,NTPC, EQ, 25-Oct-2019,120.2,120.85,120.85,118.2,118.4,118.5,118.86,8505881,10110.08,50215,4967530,58.4
2019-10-27,NTPC, EQ, 27-Oct-2019,118.5,119.0,119.1,118.55,118.75,118.8,118.82,312159,370.9,3195,194613,62.34
2019-10-29,NTPC, EQ, 29-Oct-2019,118.8,118.7,120.35,117.6,120.15,119.9,118.92,8581053,10204.34,53621,5426774,63.24
2019-10-30,NTPC, EQ, 30-Oct-2019,119.9,121.0,121.75,119.25,121.15,120.95,120.51,12119474,14604.95,52503,7135765,58.88
2019-10-31,NTPC, EQ, 31-Oct-2019,120.95,121.5,124.2,120.8,122.45,122.4,122.21,16511583,20178.67,65573,9964418,60.35
2019-11-01,NTPC, EQ, 01-Nov-2019,122.4,123.0,123.2,121.1,121.8,121.5,122.11,4170369,5092.45,41468,1917996,45.99
2019-11-04,NTPC, EQ, 04-Nov-2019,121.5,121.65,122.6,119.9,120.4,120.55,121.01,7894331,9553.01,34540,4430288,56.12
2019-11-05,NTPC, EQ, 05-Nov-2019,120.55,120.2,121.5,119.55,120.6,120.6,120.58,6156847,7423.81,40555,3228710,52.44
2019-11-06,NTPC, EQ, 06-Nov-2019,120.6,120.1,121.75,119.95,120.45,120.65,120.84,5317553,6425.52,31551,2638216,49.61
2019-11-07,NTPC, EQ, 07-Nov-2019,120.65,121.15,121.2,119.1,119.35,119.55,119.75,6794239,8136.15,34379,3736761,55.0
2019-11-08,NTPC, EQ, 08-Nov-2019,119.55,119.1,119.35,117.0,117.3,117.4,118.03,9771715,11533.7,54854,5546143,56.76
2019-11-11,NTPC, EQ, 11-Nov-2019,117.4,118.95,121.75,117.75,118.0,118.25,119.35,22943443,27381.99,91662,9065385,39.51
2019-11-13,NTPC, EQ, 13-Nov-2019,118.25,117.9,119.25,117.55,118.4,118.3,118.39,12220298,14468.05,62585,8109116,66.36
2019-11-14,NTPC, EQ, 14-Nov-2019,118.3,118.5,119.15,117.55,118.5,118.55,118.44,5208393,6168.73,26406,2639727,50.68
2019-11-15,NTPC, EQ, 15-Nov-2019,118.55,118.55,118.85,116.95,117.25,117.35,117.86,4650424,5480.9,29938,2422151,52.08
2019-11-18,NTPC, EQ, 18-Nov-2019,117.35,117.05,117.85,116.8,117.75,117.45,117.34,4727251,5547.16,38234,2911763,61.6
2019-11-19,NTPC, EQ, 19-Nov-2019,117.45,117.75,118.3,116.8,117.5,117.35,117.43,7577320,8898.25,49120, 4423989, 58.38
